EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,LATFC,DTWT,MWTD,TDFD,TDFC,ROFD,ROSD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW8D,SW9D,SW10D,SW11D,SW12D
016_AAAF,CRGRO048,1,1,2016-05-04T00:00:00Z,0,256,64,0,0,0,0,0,0,174,0,0,0,0,0,0.086,0.086,0.086,0.086,0.086,0.118,0.118,0.135,0.129,0.129,0.178,0.258
016_AAAF,CRGRO048,1,1,2016-05-05T00:00:00Z,1,252,61,0,7,0,1,8,0,179,0,0,0,0,0,0.064,0.086,0.079,0.13,0.1,0.118,0.118,0.135,0.129,0.129,0.178,0.228
016_AAAF,CRGRO048,1,1,2016-05-06T00:00:00Z,2,247,55,0,10,0,1,8,0,181,0,0,0,0,0,0.013,0.066,0.063,0.123,0.119,0.146,0.118,0.135,0.129,0.129,0.178,0.214
016_AAAF,CRGRO048,1,1,2016-05-07T00:00:00Z,3,246,54,0,12,0,1,8,0,182,0,0,0,0,0,0.014,0.058,0.057,0.121,0.119,0.162,0.118,0.135,0.129,0.13,0.178,0.209
016_AAAF,CRGRO048,1,1,2016-05-08T00:00:00Z,4,245,53,0,12,0,1,8,0,183,0,0,0,0,0,0.014,0.054,0.055,0.121,0.119,0.167,0.119,0.135,0.129,0.13,0.178,0.206
016_AAAF,CRGRO048,1,1,2016-05-09T00:00:00Z,5,245,53,0,12,0,1,8,0,183,0,0,0,0,0,0.014,0.054,0.055,0.121,0.119,0.167,0.119,0.135,0.129,0.13,0.178,0.206
016_AAAF,CRGRO048,1,1,2016-05-10T00:00:00Z,6,245,53,0,12,0,1,8,0,183,0,0,0,0,0,0.014,0.053,0.055,0.121,0.119,0.166,0.119,0.135,0.129,0.13,0.178,0.206
016_AAAF,CRGRO048,1,1,2016-05-11T00:00:00Z,7,245,53,0,12,0,1,8,0,183,0,0,0,0,0,0.014,0.053,0.055,0.121,0.119,0.166,0.12,0.135,0.129,0.13,0.178,0.206
016_AAAF,CRGRO048,1,1,2016-05-12T00:00:00Z,8,245,53,0,12,0,1,8,0,183,0,0,0,0,0,0.014,0.052,0.055,0.121,0.118,0.166,0.12,0.135,0.129,0.13,0.178,0.206
016_AAAF,CRGRO048,1,1,2016-05-13T00:00:00Z,9,245,53,0,12,0,1,8,0,183,0,0,0,0,0,0.014,0.052,0.055,0.121,0.118,0.166,0.12,0.135,0.129,0.131,0.178,0.206
016_AAAF,CRGRO048,1,1,2016-05-14T00:00:00Z,10,245,53,0,12,0,1,8,0,183,0,0,0,0,0,0.014,0.051,0.055,0.121,0.118,0.165,0.121,0.135,0.129,0.131,0.178,0.206
016_AAAF,CRGRO048,1,1,2016-05-15T00:00:00Z,11,245,53,0,12,0,1,8,0,183,0,0,0,0,0,0.014,0.051,0.055,0.121,0.118,0.165,0.121,0.135,0.129,0.131,0.178,0.205
016_AAAF,CRGRO048,1,1,2016-05-16T00:00:00Z,12,245,53,0,12,0,1,8,0,183,0,0,0,0,0,0.014,0.05,0.055,0.121,0.118,0.165,0.122,0.135,0.129,0.131,0.178,0.205
016_AAAF,CRGRO048,1,1,2016-05-17T00:00:00Z,13,249,57,0,12,5,1,8,0,183,0,0,0,0,0,0.079,0.058,0.056,0.122,0.12,0.166,0.122,0.135,0.129,0.131,0.178,0.205
016_AAAF,CRGRO048,1,1,2016-05-18T00:00:00Z,14,247,55,0,12,5,1,8,0,183,0,0,0,0,0,0.013,0.055,0.056,0.122,0.12,0.174,0.123,0.135,0.129,0.131,0.178,0.205
016_AAAF,CRGRO048,1,1,2016-05-19T00:00:00Z,15,260,68,0,12,18,1,8,0,183,0,0,0,0,0,0.157,0.077,0.064,0.13,0.125,0.177,0.128,0.135,0.129,0.132,0.178,0.205
016_AAAF,CRGRO048,1,1,2016-05-20T00:00:00Z,16,257,65,0,12,19,1,8,0,183,0,0,0,0,0,0.041,0.075,0.066,0.135,0.131,0.181,0.139,0.135,0.129,0.132,0.178,0.205
016_AAAF,CRGRO048,1,1,2016-05-21T00:00:00Z,17,256,64,0,12,19,1,8,0,183,0,0,0,0,0,0.02,0.061,0.061,0.134,0.132,0.183,0.153,0.135,0.129,0.132,0.178,0.205
016_AAAF,CRGRO048,1,1,2016-05-22T00:00:00Z,18,256,64,0,12,19,1,8,0,183,0,0,0,0,0,0.014,0.055,0.056,0.125,0.124,0.177,0.174,0.138,0.129,0.132,0.178,0.205
016_AAAF,CRGRO048,1,1,2016-05-23T00:00:00Z,19,255,63,0,12,19,1,8,0,183,0,0,0,0,0,0.014,0.053,0.055,0.121,0.121,0.175,0.174,0.142,0.129,0.132,0.178,0.205
016_AAAF,CRGRO048,1,1,2016-05-24T00:00:00Z,20,255,63,0,12,19,1,8,0,183,0,0,0,0,0,0.014,0.052,0.054,0.12,0.121,0.175,0.174,0.142,0.129,0.132,0.178,0.204
016_AAAF,CRGRO048,1,1,2016-05-25T00:00:00Z,21,255,63,0,12,19,1,8,0,183,0,0,0,0,0,0.014,0.051,0.054,0.119,0.121,0.175,0.173,0.142,0.129,0.133,0.178,0.204
016_AAAF,CRGRO048,1,1,2016-05-26T00:00:00Z,22,254,63,0,12,19,1,8,0,183,0,0,0,0,0,0.014,0.05,0.053,0.118,0.121,0.175,0.173,0.142,0.129,0.133,0.178,0.204
016_AAAF,CRGRO048,1,1,2016-05-27T00:00:00Z,23,254,62,0,12,19,1,8,0,183,0,0,0,0,0,0.014,0.049,0.052,0.117,0.121,0.175,0.173,0.142,0.129,0.133,0.178,0.204
016_AAAF,CRGRO048,1,1,2016-05-28T00:00:00Z,24,254,62,0,12,19,1,8,0,183,0,0,0,0,0,0.014,0.048,0.052,0.116,0.12,0.175,0.173,0.142,0.129,0.133,0.178,0.204
016_AAAF,CRGRO048,1,1,2016-05-29T00:00:00Z,25,253,61,0,12,19,1,8,0,183,0,0,0,0,0,0.014,0.047,0.051,0.115,0.12,0.175,0.172,0.142,0.129,0.133,0.178,0.204
016_AAAF,CRGRO048,1,1,2016-05-30T00:00:00Z,26,253,61,0,12,19,1,8,0,183,0,0,0,0,0,0.014,0.046,0.05,0.114,0.119,0.175,0.172,0.142,0.129,0.133,0.178,0.204
016_AAAF,CRGRO048,1,1,2016-05-31T00:00:00Z,27,259,67,0,12,25,1,8,0,183,0,0,0,0,0,0.093,0.059,0.054,0.116,0.118,0.175,0.172,0.142,0.129,0.134,0.178,0.204
016_AAAF,CRGRO048,1,1,2016-06-01T00:00:00Z,28,256,64,0,12,25,1,8,0,183,0,0,0,0,0,0.013,0.054,0.053,0.118,0.118,0.175,0.174,0.145,0.129,0.134,0.178,0.204
016_AAAF,CRGRO048,1,1,2016-06-02T00:00:00Z,29,260,68,0,12,30,1,8,0,183,0,0,0,0,0,0.083,0.059,0.055,0.12,0.121,0.175,0.174,0.146,0.129,0.134,0.178,0.203
016_AAAF,CRGRO048,1,1,2016-06-03T00:00:00Z,30,257,65,0,12,30,1,8,0,183,0,0,0,0,0,0.013,0.054,0.055,0.119,0.12,0.175,0.174,0.15,0.13,0.134,0.178,0.203
016_AAAF,CRGRO048,1,1,2016-06-04T00:00:00Z,31,258,66,0,12,32,1,8,0,183,0,0,0,0,0,0.04,0.053,0.054,0.117,0.118,0.175,0.174,0.15,0.13,0.134,0.178,0.203
016_AAAF,CRGRO048,1,1,2016-06-05T00:00:00Z,32,279,87,0,12,55,1,8,0,183,0,0,0,0.05,0,0.14,0.119,0.079,0.141,0.13,0.181,0.178,0.153,0.13,0.134,0.178,0.203
016_AAAF,CRGRO048,1,1,2016-06-06T00:00:00Z,33,322,130,17,12,115,1,8,0,183,0,0,0,16.59,0,0.153,0.152,0.152,0.209,0.199,0.221,0.201,0.172,0.13,0.135,0.178,0.203
016_AAAF,CRGRO048,1,1,2016-06-07T00:00:00Z,34,317,125,17,12,115,1,8,0,183,0,0,0,0,0,0.013,0.09,0.09,0.153,0.15,0.193,0.185,0.199,0.258,0.18,0.178,0.203
016_AAAF,CRGRO048,1,1,2016-06-08T00:00:00Z,35,316,124,17,12,115,1,8,0,183,0,0,0,0,0,0.014,0.064,0.065,0.131,0.13,0.181,0.178,0.197,0.292,0.194,0.198,0.203
016_AAAF,CRGRO048,1,1,2016-06-09T00:00:00Z,36,309,117,17,17,115,1,8,0,183,0,0,0,0,0,0.014,0.054,0.055,0.121,0.121,0.176,0.176,0.197,0.271,0.194,0.205,0.205
016_AAAF,CRGRO048,1,1,2016-06-10T00:00:00Z,37,301,109,17,24,115,1,8,0,183,0,0,0,0,0,0.014,0.052,0.054,0.116,0.118,0.176,0.175,0.197,0.225,0.194,0.205,0.205
016_AAAF,CRGRO048,1,1,2016-06-11T00:00:00Z,38,296,105,17,27,115,1,8,0,183,0,0,0,0,0,0.014,0.05,0.052,0.112,0.114,0.175,0.175,0.197,0.206,0.194,0.205,0.205
