EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,LATFC,DTWT,MWTD,TDFD,TDFC,ROFD,ROSD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW8D,SW9D,SW10D,SW11D,SW12D
017_AAAM,CRGRO048,1,1,2017-05-04T00:00:00Z,0,256,64,0,0,0,0,0,0,174,0,0,0,0,0,0.086,0.086,0.086,0.086,0.086,0.118,0.118,0.135,0.129,0.129,0.178,0.258
017_AAAM,CRGRO048,1,1,2017-05-05T00:00:00Z,1,255,63,0,7,2,1,8,0,179,0,0,0,0,0,0.093,0.089,0.08,0.131,0.102,0.118,0.118,0.135,0.129,0.129,0.178,0.228
017_AAAM,CRGRO048,1,1,2017-05-06T00:00:00Z,2,249,57,0,10,2,1,8,0,181,0,0,0,0,0,0.013,0.067,0.064,0.123,0.119,0.157,0.118,0.135,0.129,0.129,0.178,0.214
017_AAAM,CRGRO048,1,1,2017-05-07T00:00:00Z,3,247,55,0,12,2,1,8,0,182,0,0,0,0,0,0.014,0.058,0.057,0.121,0.119,0.174,0.119,0.135,0.129,0.13,0.178,0.209
017_AAAM,CRGRO048,1,1,2017-05-08T00:00:00Z,4,247,55,0,12,2,1,8,0,183,0,0,0,0,0,0.014,0.055,0.055,0.121,0.119,0.173,0.125,0.135,0.129,0.13,0.178,0.206
017_AAAM,CRGRO048,1,1,2017-05-09T00:00:00Z,5,247,55,0,12,2,1,8,0,183,0,0,0,0,0,0.014,0.054,0.055,0.121,0.119,0.173,0.125,0.135,0.129,0.13,0.178,0.206
017_AAAM,CRGRO048,1,1,2017-05-10T00:00:00Z,6,247,55,0,12,2,1,8,0,183,0,0,0,0,0,0.014,0.053,0.055,0.121,0.119,0.173,0.126,0.135,0.129,0.13,0.178,0.206
017_AAAM,CRGRO048,1,1,2017-05-11T00:00:00Z,7,247,55,0,12,2,1,8,0,183,0,0,0,0,0,0.014,0.053,0.055,0.121,0.119,0.172,0.126,0.135,0.129,0.13,0.178,0.206
017_AAAM,CRGRO048,1,1,2017-05-12T00:00:00Z,8,247,55,0,12,2,1,8,0,183,0,0,0,0,0,0.014,0.052,0.055,0.121,0.119,0.172,0.127,0.135,0.129,0.13,0.178,0.206
017_AAAM,CRGRO048,1,1,2017-05-13T00:00:00Z,9,263,71,0,12,18,1,8,0,183,0,0,0,0,0,0.167,0.087,0.067,0.133,0.126,0.177,0.131,0.135,0.129,0.131,0.178,0.206
017_AAAM,CRGRO048,1,1,2017-05-14T00:00:00Z,10,258,67,0,12,18,1,8,0,183,0,0,0,0,0,0.013,0.067,0.059,0.124,0.122,0.176,0.174,0.144,0.129,0.131,0.178,0.206
017_AAAM,CRGRO048,1,1,2017-05-15T00:00:00Z,11,258,67,0,12,18,1,8,0,183,0,0,0,0,0,0.014,0.058,0.055,0.121,0.122,0.176,0.174,0.15,0.129,0.131,0.178,0.205
017_AAAM,CRGRO048,1,1,2017-05-16T00:00:00Z,12,258,67,0,12,18,1,8,0,183,0,0,0,0,0,0.014,0.054,0.055,0.121,0.122,0.176,0.174,0.151,0.129,0.131,0.178,0.205
017_AAAM,CRGRO048,1,1,2017-05-17T00:00:00Z,13,258,66,0,12,18,1,8,0,183,0,0,0,0,0,0.014,0.054,0.055,0.121,0.122,0.176,0.174,0.151,0.129,0.131,0.178,0.205
017_AAAM,CRGRO048,1,1,2017-05-18T00:00:00Z,14,258,66,0,12,18,1,8,0,183,0,0,0,0,0,0.014,0.053,0.055,0.121,0.122,0.176,0.173,0.151,0.129,0.131,0.178,0.205
017_AAAM,CRGRO048,1,1,2017-05-19T00:00:00Z,15,258,66,0,12,18,1,8,0,183,0,0,0,0,0,0.014,0.052,0.055,0.121,0.122,0.176,0.173,0.151,0.129,0.132,0.178,0.205
017_AAAM,CRGRO048,1,1,2017-05-20T00:00:00Z,16,265,73,0,12,25,1,8,0,183,0,0,0,0,0,0.099,0.062,0.057,0.124,0.123,0.177,0.175,0.152,0.129,0.132,0.178,0.205
017_AAAM,CRGRO048,1,1,2017-05-21T00:00:00Z,17,262,70,0,12,25,1,8,0,183,0,0,0,0,0,0.013,0.062,0.058,0.126,0.124,0.178,0.177,0.155,0.129,0.132,0.178,0.205
017_AAAM,CRGRO048,1,1,2017-05-22T00:00:00Z,18,291,99,1,12,56,1,8,0,183,0,0,0,0.85,0,0.168,0.143,0.091,0.156,0.142,0.188,0.183,0.161,0.13,0.132,0.178,0.205
017_AAAM,CRGRO048,1,1,2017-05-23T00:00:00Z,19,322,130,7,12,93,1,8,0,183,0,0,0,6.19,0,0.144,0.152,0.15,0.209,0.188,0.218,0.201,0.18,0.13,0.132,0.178,0.205
017_AAAM,CRGRO048,1,1,2017-05-24T00:00:00Z,20,343,152,9,12,119,1,8,0,183,0,0,0,1.87,0,0.126,0.152,0.152,0.209,0.209,0.253,0.234,0.206,0.159,0.133,0.178,0.204
017_AAAM,CRGRO048,1,1,2017-05-25T00:00:00Z,21,340,148,9,12,121,1,8,0,183,0,0,0,0,0,0.013,0.103,0.112,0.209,0.204,0.253,0.241,0.219,0.206,0.149,0.178,0.204
017_AAAM,CRGRO048,1,1,2017-05-26T00:00:00Z,22,340,148,9,12,121,1,8,0,183,0,0,0,0,0,0.014,0.071,0.076,0.155,0.153,0.205,0.201,0.232,0.333,0.194,0.178,0.204
017_AAAM,CRGRO048,1,1,2017-05-27T00:00:00Z,23,339,147,9,13,121,1,8,0,183,0,0,0,0,0,0.014,0.058,0.061,0.133,0.133,0.187,0.185,0.243,0.344,0.194,0.205,0.205
017_AAAM,CRGRO048,1,1,2017-05-28T00:00:00Z,24,332,140,9,20,121,1,8,0,183,0,0,0,0,0,0.014,0.054,0.055,0.124,0.124,0.179,0.178,0.233,0.344,0.194,0.205,0.205
017_AAAM,CRGRO048,1,1,2017-05-29T00:00:00Z,25,324,132,9,27,121,1,8,0,183,0,0,0,0,0,0.014,0.053,0.055,0.119,0.12,0.176,0.176,0.212,0.344,0.194,0.205,0.205
017_AAAM,CRGRO048,1,1,2017-05-30T00:00:00Z,26,316,124,9,34,121,1,8,0,183,0,0,0,0,0,0.014,0.051,0.054,0.118,0.12,0.176,0.176,0.203,0.314,0.194,0.205,0.205
017_AAAM,CRGRO048,1,1,2017-05-31T00:00:00Z,27,309,117,9,42,121,1,8,0,183,0,0,0,0,0,0.014,0.05,0.054,0.117,0.119,0.176,0.176,0.199,0.274,0.194,0.205,0.205
017_AAAM,CRGRO048,1,1,2017-06-01T00:00:00Z,28,308,116,9,43,121,1,8,0,182,0,0,0,0,0,0.03,0.05,0.053,0.116,0.118,0.176,0.176,0.199,0.226,0.212,0.212,0.209
017_AAAM,CRGRO048,1,1,2017-06-02T00:00:00Z,29,304,112,9,46,122,1,8,0,182,0,0,0,0,0,0.024,0.049,0.052,0.115,0.117,0.176,0.176,0.199,0.207,0.208,0.214,0.212
017_AAAM,CRGRO048,1,1,2017-06-03T00:00:00Z,30,298,106,9,50,122,1,8,0,183,0,0,0,0,0,0.014,0.047,0.051,0.113,0.115,0.176,0.176,0.199,0.199,0.2,0.208,0.208
017_AAAM,CRGRO048,1,1,2017-06-04T00:00:00Z,31,332,140,11,52,160,1,8,0,182,0,0,0,2.52,0,0.167,0.151,0.098,0.156,0.137,0.185,0.181,0.199,0.199,0.199,0.209,0.208
017_AAAM,CRGRO048,1,1,2017-06-05T00:00:00Z,32,328,137,11,53,163,1,8,0,182,0,0,0,0,0,0.036,0.11,0.093,0.17,0.154,0.198,0.19,0.202,0.202,0.201,0.209,0.209
017_AAAM,CRGRO048,1,1,2017-06-06T00:00:00Z,33,320,128,11,60,163,1,8,0,182,0,0,0,0,0,0.014,0.074,0.068,0.139,0.132,0.183,0.18,0.198,0.263,0.201,0.209,0.209
