EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,DAP,PODINF,PODNO,SEEDNO,WTSHELL,WTSEED,PCINF,AFCON,AFSUM
018_AAAI,CRGRO048,1,1,2018-06-17T00:00:00Z,44,40,0,0,0,0,0,0,0,0
018_AAAI,CRGRO048,1,1,2018-06-18T00:00:00Z,45,41,0,0,0,0,0,0,0,0
018_AAAI,CRGRO048,1,1,2018-06-19T00:00:00Z,46,42,0,0,0,0,0,0,0,0
018_AAAI,CRGRO048,1,1,2018-06-20T00:00:00Z,47,43,0,0,0,0,0,0,0,0
018_AAAI,CRGRO048,1,1,2018-06-21T00:00:00Z,48,44,0,0,0,0,0,0,0,0
018_AAAI,CRGRO048,1,1,2018-06-22T00:00:00Z,49,45,0,0,0,0,0,0,0,0
018_AAAI,CRGRO048,1,1,2018-06-23T00:00:00Z,50,46,0.1,3.59,0,0.12,0,2.76,0,0.02
018_AAAI,CRGRO048,1,1,2018-06-24T00:00:00Z,51,47,0.42,9.33,0,0.4,0,4.5,0,0.28
018_AAAI,CRGRO048,1,1,2018-06-25T00:00:00Z,52,48,0.69,16.49,0,0.84,0,4.21,0,0.71
018_AAAI,CRGRO048,1,1,2018-06-26T00:00:00Z,53,49,0.91,23.65,0,1.44,0,3.85,0,0.88
018_AAAI,CRGRO048,1,1,2018-06-27T00:00:00Z,54,50,1.04,30.64,0,2.19,0,3.38,0,0.93
018_AAAI,CRGRO048,1,1,2018-06-28T00:00:00Z,55,51,1.04,36.94,0,3.08,0,2.8,0,0.93
018_AAAI,CRGRO048,1,1,2018-06-29T00:00:00Z,56,52,1.04,42.15,5.3,4.01,0,2.46,0,0.93
018_AAAI,CRGRO048,1,1,2018-06-30T00:00:00Z,57,53,1.04,46.95,13.81,5.04,0.08,2.21,11.86,0.93
018_AAAI,CRGRO048,1,1,2018-07-01T00:00:00Z,58,54,1.04,55.1,24.56,6.35,0.29,1.88,3.19,0.93
018_AAAI,CRGRO048,1,1,2018-07-02T00:00:00Z,59,55,1.04,63.35,35.35,7.87,0.67,1.63,1.38,0.93
018_AAAI,CRGRO048,1,1,2018-07-03T00:00:00Z,60,56,1.04,70.59,45.88,9.39,1.17,1.47,0.79,0.93
018_AAAI,CRGRO048,1,1,2018-07-04T00:00:00Z,61,57,1.04,79.23,55.42,11.27,1.88,1.31,0.49,0.93
018_AAAI,CRGRO048,1,1,2018-07-05T00:00:00Z,62,58,1.04,88.02,63.97,13.36,2.73,1.18,0.34,0.93
