EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,DAP,PODINF,PODNO,SEEDNO,WTSHELL,WTSEED,PCINF,AFCON,AFSUM
019_AAAR,CRGRO048,1,1,2019-06-21T00:00:00Z,48,44,0,0,0,0,0,0,0,0
019_AAAR,CRGRO048,1,1,2019-06-22T00:00:00Z,49,45,0,0,0,0,0,0,0,0
019_AAAR,CRGRO048,1,1,2019-06-23T00:00:00Z,50,46,0,0,0,0,0,0,0,0
019_AAAR,CRGRO048,1,1,2019-06-24T00:00:00Z,51,47,0,0,0,0,0,0,0,0
019_AAAR,CRGRO048,1,1,2019-06-25T00:00:00Z,52,48,0,0,0,0,0,0,0,0
019_AAAR,CRGRO048,1,1,2019-06-26T00:00:00Z,53,49,0,0,0,0,0,0,0,0
019_AAAR,CRGRO048,1,1,2019-06-27T00:00:00Z,54,50,0.07,4.47,0,0.16,0,1.58,0,0.01
019_AAAR,CRGRO048,1,1,2019-06-28T00:00:00Z,55,51,0.21,9.73,0,0.45,0,2.17,0,0.05
019_AAAR,CRGRO048,1,1,2019-06-29T00:00:00Z,56,52,0.42,14.23,0,0.83,0,2.95,0,0.15
019_AAAR,CRGRO048,1,1,2019-06-30T00:00:00Z,57,53,0.87,20.93,0,1.4,0,4.14,0,0.51
019_AAAR,CRGRO048,1,1,2019-07-01T00:00:00Z,58,54,1.53,27.08,0,2.04,0,5.64,0,1.63
019_AAAR,CRGRO048,1,1,2019-07-02T00:00:00Z,59,55,2.45,32.59,0,2.75,0,7.52,0,4.63
019_AAAR,CRGRO048,1,1,2019-07-03T00:00:00Z,60,56,3.6,37.63,6.63,3.5,0,9.57,0,10.4
019_AAAR,CRGRO048,1,1,2019-07-04T00:00:00Z,61,57,5.04,42.9,14.4,4.39,0.09,11.75,227.69,20.97
019_AAAR,CRGRO048,1,1,2019-07-05T00:00:00Z,62,58,6.9,47.59,21.01,5.35,0.29,14.51,144.69,41.56
019_AAAR,CRGRO048,1,1,2019-07-06T00:00:00Z,63,59,7.25,50.99,30.9,6.46,0.6,14.22,86.78,52.33
019_AAAR,CRGRO048,1,1,2019-07-07T00:00:00Z,64,60,8.18,53.57,39.9,7.49,1.02,15.28,70.2,71.72
019_AAAR,CRGRO048,1,1,2019-07-08T00:00:00Z,65,61,8.63,56.09,47.95,8.6,1.57,15.39,55.86,87.91
019_AAAR,CRGRO048,1,1,2019-07-09T00:00:00Z,66,62,8.71,58.81,55.91,9.72,2.22,14.81,48.08,106.63
019_AAAR,CRGRO048,1,1,2019-07-10T00:00:00Z,67,63,8.76,60.56,64.3,10.81,2.99,14.47,35.63,106.65
019_AAAR,CRGRO048,1,1,2019-07-11T00:00:00Z,68,64,10.31,63.41,71.75,11.9,3.9,16.26,36.26,141.54
019_AAAR,CRGRO048,1,1,2019-07-12T00:00:00Z,69,65,11.4,66.23,77.67,12.98,4.93,17.21,36.1,178.08
019_AAAR,CRGRO048,1,1,2019-07-13T00:00:00Z,70,66,12.72,69.33,82.46,14.1,6.12,18.35,34.65,212.09
019_AAAR,CRGRO048,1,1,2019-07-14T00:00:00Z,71,67,14.99,71.11,87.09,14.98,7.21,21.08,39.57,285.49
019_AAAR,CRGRO048,1,1,2019-07-15T00:00:00Z,72,68,17.96,77.61,92.05,15.86,8.38,23.15,46.09,385.98
019_AAAR,CRGRO048,1,1,2019-07-16T00:00:00Z,73,69,20.93,80.27,95.67,16.55,9.56,26.08,54.24,518.38
019_AAAR,CRGRO048,1,1,2019-07-17T00:00:00Z,74,70,24.03,82.41,100.72,16.85,10.79,29.16,63.5,684.92
019_AAAR,CRGRO048,1,1,2019-07-18T00:00:00Z,75,71,27.46,85.29,105.46,16.8,12.04,32.19,73.97,890.32
019_AAAR,CRGRO048,1,1,2019-07-19T00:00:00Z,76,72,27.64,86.18,110.37,17.2,13.5,32.07,74.96,1011.81
019_AAAR,CRGRO048,1,1,2019-07-20T00:00:00Z,77,73,27.72,86.78,113.42,17.89,15.1,31.94,66.99,1011.87
019_AAAR,CRGRO048,1,1,2019-07-21T00:00:00Z,78,74,27.87,86.7,123.26,18.49,16.72,32.15,64.26,1074.14
019_AAAR,CRGRO048,1,1,2019-07-22T00:00:00Z,79,75,29.14,87.03,127.51,19.04,18.51,33.49,66.08,1223.29
019_AAAR,CRGRO048,1,1,2019-07-23T00:00:00Z,80,76,29.16,87.27,131.24,19.56,20.37,33.41,65.49,1334.33
019_AAAR,CRGRO048,1,1,2019-07-24T00:00:00Z,81,77,29.86,87.74,136.06,20.06,22.42,34.04,63.39,1421.47
019_AAAR,CRGRO048,1,1,2019-07-25T00:00:00Z,82,78,31.38,93.75,136.06,20.8,24.46,33.47,63.15,1544.64
019_AAAR,CRGRO048,1,1,2019-07-26T00:00:00Z,83,79,33.03,97.58,138.06,21.5,26.49,33.85,62.1,1645.25
019_AAAR,CRGRO048,1,1,2019-07-27T00:00:00Z,84,80,34.8,99.8,139.35,21.52,28.5,34.87,59.8,1704.33
019_AAAR,CRGRO048,1,1,2019-07-28T00:00:00Z,85,81,36.5,101.44,140.57,21.43,30.53,35.98,57.64,1759.84
019_AAAR,CRGRO048,1,1,2019-07-29T00:00:00Z,86,82,38.5,104.71,141.65,21.37,32.19,36.77,56.51,1818.97
019_AAAR,CRGRO048,1,1,2019-07-30T00:00:00Z,87,83,40.38,106.21,142.52,21.29,34.07,38.02,55.08,1876.84
019_AAAR,CRGRO048,1,1,2019-07-31T00:00:00Z,88,84,42.65,107.41,143.87,21.23,34.95,39.71,57.09,1995.34
019_AAAR,CRGRO048,1,1,2019-08-01T00:00:00Z,89,85,44.77,107.65,152.88,21.12,36.47,41.59,60.76,2216.03
019_AAAR,CRGRO048,1,1,2019-08-02T00:00:00Z,90,86,47.01,107.29,158.88,21.04,37.7,43.82,66.34,2501.08
019_AAAR,CRGRO048,1,1,2019-08-03T00:00:00Z,91,87,49.25,107.08,162.37,20.97,38.9,45.99,73.52,2860.08
019_AAAR,CRGRO048,1,1,2019-08-04T00:00:00Z,92,88,49.25,106.8,164.74,20.91,39.9,46.11,79.45,3170.22
019_AAAR,CRGRO048,1,1,2019-08-05T00:00:00Z,93,89,49.25,106.24,169.34,21.28,42.35,46.36,74.86,3170.22
019_AAAR,CRGRO048,1,1,2019-08-06T00:00:00Z,94,90,49.25,105.98,171.47,21.63,44.77,46.47,70.8,3170.22
019_AAAR,CRGRO048,1,1,2019-08-07T00:00:00Z,95,91,50.53,105.77,173.22,21.94,47.06,47.77,74.2,3491.7
019_AAAR,CRGRO048,1,1,2019-08-08T00:00:00Z,96,92,52.1,105.64,174.3,21.83,49.28,49.32,78.73,3880.13
019_AAAR,CRGRO048,1,1,2019-08-09T00:00:00Z,97,93,54,105.64,174.3,21.75,50.72,51.12,85.89,4356.26
019_AAAR,CRGRO048,1,1,2019-08-10T00:00:00Z,98,94,56.32,107.79,174.3,21.7,51.66,52.25,94.13,4862.43
019_AAAR,CRGRO048,1,1,2019-08-11T00:00:00Z,99,95,56.55,110.04,174.3,21.64,52.97,51.39,98.41,5212.67
019_AAAR,CRGRO048,1,1,2019-08-12T00:00:00Z,100,96,56.6,110.77,174.3,21.73,55.33,51.1,94.21,5212.69
019_AAAR,CRGRO048,1,1,2019-08-13T00:00:00Z,101,97,58.1,110.77,174.3,21.83,57.54,52.45,96.88,5575.07
019_AAAR,CRGRO048,1,1,2019-08-14T00:00:00Z,102,98,58.1,110.77,174.3,21.87,59.93,52.45,96.76,5798.83
019_AAAR,CRGRO048,1,1,2019-08-15T00:00:00Z,103,99,58.1,110.77,174.3,21.93,62.43,52.45,92.89,5798.83
019_AAAR,CRGRO048,1,1,2019-08-16T00:00:00Z,104,100,58.1,110.45,177.33,21.96,64.83,52.6,89.44,5798.83
019_AAAR,CRGRO048,1,1,2019-08-17T00:00:00Z,105,101,58.1,110.11,180.48,21.99,67.27,52.76,86.21,5798.83
019_AAAR,CRGRO048,1,1,2019-08-18T00:00:00Z,106,102,58.1,110.01,181.51,22.04,69.92,52.81,82.93,5798.83
019_AAAR,CRGRO048,1,1,2019-08-19T00:00:00Z,107,103,58.1,110.01,181.51,22.1,72.53,52.81,79.95,5798.83
019_AAAR,CRGRO048,1,1,2019-08-20T00:00:00Z,108,104,58.1,110.01,181.51,22.16,74.91,52.81,77.41,5798.83
019_AAAR,CRGRO048,1,1,2019-08-21T00:00:00Z,109,105,58.1,111.37,181.51,22.27,77.14,52.17,75.17,5798.83
019_AAAR,CRGRO048,1,1,2019-08-22T00:00:00Z,110,106,58.1,112.8,181.51,22.41,78.96,51.5,73.44,5798.83
019_AAAR,CRGRO048,1,1,2019-08-23T00:00:00Z,111,107,58.1,114.18,181.51,22.54,80.47,50.88,72.06,5798.83
