EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,DAP,PODINF,PODNO,SEEDNO,WTSHELL,WTSEED,PCINF,AFCON,AFSUM
020_AAAM,CRGRO048,1,1,2020-06-28T00:00:00Z,55,51,0,0,0,0,0,0,0,0
020_AAAM,CRGRO048,1,1,2020-06-29T00:00:00Z,56,52,0,0,0,0,0,0,0,0
020_AAAM,CRGRO048,1,1,2020-06-30T00:00:00Z,57,53,0,0,0,0,0,0,0,0
020_AAAM,CRGRO048,1,1,2020-07-01T00:00:00Z,58,54,0,0,0,0,0,0,0,0
020_AAAM,CRGRO048,1,1,2020-07-02T00:00:00Z,59,55,0,0,0,0,0,0,0,0
020_AAAM,CRGRO048,1,1,2020-07-03T00:00:00Z,60,56,0,0.05,0,0,0,4.93,0,0
020_AAAM,CRGRO048,1,1,2020-07-04T00:00:00Z,61,57,0.3,4.89,0,0.16,0,6.19,0,0.41
020_AAAM,CRGRO048,1,1,2020-07-05T00:00:00Z,62,58,0.75,9.19,0,0.42,0,8.17,0,1.57
020_AAAM,CRGRO048,1,1,2020-07-06T00:00:00Z,63,59,1.07,14.07,0,0.83,0,7.61,0,2.06
020_AAAM,CRGRO048,1,1,2020-07-07T00:00:00Z,64,60,1.26,18.16,0,1.3,0,6.92,0,2.18
020_AAAM,CRGRO048,1,1,2020-07-08T00:00:00Z,65,61,1.33,21.3,0,1.84,0,6.23,0,2.19
020_AAAM,CRGRO048,1,1,2020-07-09T00:00:00Z,66,62,1.33,24.16,0.08,2.41,0,5.49,0,2.19
020_AAAM,CRGRO048,1,1,2020-07-10T00:00:00Z,67,63,1.33,27.06,7.3,2.95,0,4.9,1948.06,2.19
020_AAAM,CRGRO048,1,1,2020-07-11T00:00:00Z,68,64,1.33,31.23,13.75,3.6,0.1,4.25,21.76,2.19
020_AAAM,CRGRO048,1,1,2020-07-12T00:00:00Z,69,65,1.39,36.85,21.01,4.38,0.29,3.78,8.03,2.33
020_AAAM,CRGRO048,1,1,2020-07-13T00:00:00Z,70,66,1.85,43.59,27.11,5.35,0.59,4.24,5.46,3.23
020_AAAM,CRGRO048,1,1,2020-07-14T00:00:00Z,71,67,2.79,50.55,31.79,6.41,0.95,5.51,5.7,5.42
020_AAAM,CRGRO048,1,1,2020-07-15T00:00:00Z,72,68,4.09,57.74,36.05,7.61,1.37,7.09,6.99,9.6
020_AAAM,CRGRO048,1,1,2020-07-16T00:00:00Z,73,69,6.16,65.24,41,8.95,1.85,9.44,11.15,20.62
020_AAAM,CRGRO048,1,1,2020-07-17T00:00:00Z,74,70,8.46,72.42,47.64,10.44,2.41,11.69,16.29,39.23
020_AAAM,CRGRO048,1,1,2020-07-18T00:00:00Z,75,71,11.36,79.17,56.42,11.91,3.05,14.34,24.5,74.62
020_AAAM,CRGRO048,1,1,2020-07-19T00:00:00Z,76,72,14.42,84.55,56.42,13.48,3.8,17.06,34.32,130.28
