EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,DAP,PODINF,PODNO,SEEDNO,WTSHELL,WTSEED,PCINF,AFCON,AFSUM
021_AABC,CRGRO048,1,1,2021-06-24T00:00:00Z,51,47,0,0,0,0,0,0,0,0
021_AABC,CRGRO048,1,1,2021-06-25T00:00:00Z,52,48,0,0,0,0,0,0,0,0
021_AABC,CRGRO048,1,1,2021-06-26T00:00:00Z,53,49,0,0,0,0,0,0,0,0
021_AABC,CRGRO048,1,1,2021-06-27T00:00:00Z,54,50,0,0,0,0,0,0,0,0
021_AABC,CRGRO048,1,1,2021-06-28T00:00:00Z,55,51,0,0,0,0,0,0,0,0
021_AABC,CRGRO048,1,1,2021-06-29T00:00:00Z,56,52,0,0,0,0,0,0,0,0
021_AABC,CRGRO048,1,1,2021-06-30T00:00:00Z,57,53,0,4.2,0,0.16,0,0,0,0
021_AABC,CRGRO048,1,1,2021-07-01T00:00:00Z,58,54,0,10.1,0,0.48,0,0,0,0
021_AABC,CRGRO048,1,1,2021-07-02T00:00:00Z,59,55,0,16.01,0,0.95,0,0,0,0
021_AABC,CRGRO048,1,1,2021-07-03T00:00:00Z,60,56,0,20.86,0,1.51,0,0,0,0
021_AABC,CRGRO048,1,1,2021-07-04T00:00:00Z,61,57,0,27.34,0,2.24,0,0,0,0
021_AABC,CRGRO048,1,1,2021-07-05T00:00:00Z,62,58,0,32.69,0,3.1,0,0,0,0
021_AABC,CRGRO048,1,1,2021-07-06T00:00:00Z,63,59,0,38.44,6.75,4.07,0,0,0,0
021_AABC,CRGRO048,1,1,2021-07-07T00:00:00Z,64,60,0,44.37,16.26,5.24,0.11,0,0,0
021_AABC,CRGRO048,1,1,2021-07-08T00:00:00Z,65,61,0,53.04,25.78,6.56,0.36,0,0,0
021_AABC,CRGRO048,1,1,2021-07-09T00:00:00Z,66,62,0,63.31,33.58,8.15,0.75,0,0,0
021_AABC,CRGRO048,1,1,2021-07-10T00:00:00Z,67,63,0,71,43.98,9.83,1.25,0,0,0
021_AABC,CRGRO048,1,1,2021-07-11T00:00:00Z,68,64,0,78.95,52.52,11.63,1.89,0,0,0
021_AABC,CRGRO048,1,1,2021-07-12T00:00:00Z,69,65,0,82.57,61.86,13.51,2.68,0,0,0
021_AABC,CRGRO048,1,1,2021-07-13T00:00:00Z,70,66,0.87,92.88,71.48,15.59,3.6,0.94,0.01,0.05
021_AABC,CRGRO048,1,1,2021-07-14T00:00:00Z,71,67,1.77,102.6,85.42,17.73,4.67,1.72,0.06,0.28
021_AABC,CRGRO048,1,1,2021-07-15T00:00:00Z,72,68,1.96,113.45,101.85,20,5.96,1.73,0.09,0.51
021_AABC,CRGRO048,1,1,2021-07-16T00:00:00Z,73,69,2.18,125.77,114.24,22.45,7.47,1.73,0.08,0.61
021_AABC,CRGRO048,1,1,2021-07-17T00:00:00Z,74,70,2.68,137.17,126.94,24.84,9.09,1.96,0.1,0.88
021_AABC,CRGRO048,1,1,2021-07-18T00:00:00Z,75,71,2.72,147.24,132.85,27.38,10.92,1.84,0.15,1.64
021_AABC,CRGRO048,1,1,2021-07-19T00:00:00Z,76,72,2.75,156.21,149.17,30.06,12.94,1.76,0.13,1.64
021_AABC,CRGRO048,1,1,2021-07-20T00:00:00Z,77,73,2.77,164.3,164.84,32.9,15.31,1.69,0.11,1.64
021_AABC,CRGRO048,1,1,2021-07-21T00:00:00Z,78,74,2.77,176.15,182.4,35.78,17.85,1.57,0.09,1.64
021_AABC,CRGRO048,1,1,2021-07-22T00:00:00Z,79,75,2.77,187.08,202.25,38.59,20.61,1.48,0.08,1.64
021_AABC,CRGRO048,1,1,2021-07-23T00:00:00Z,80,76,2.77,193.68,220.77,41.3,23.66,1.43,0.07,1.64
021_AABC,CRGRO048,1,1,2021-07-24T00:00:00Z,81,77,2.77,204.7,236.94,44.18,27.01,1.35,0.06,1.64
