EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,DAP,PODINF,PODNO,SEEDNO,WTSHELL,WTSEED,PCINF,AFCON,AFSUM
018_AAAK,CRGRO048,1,1,2018-06-21T00:00:00Z,48,40,0,0,0,0,0,0,0,0
018_AAAK,CRGRO048,1,1,2018-06-22T00:00:00Z,49,41,0,0,0,0,0,0,0,0
018_AAAK,CRGRO048,1,1,2018-06-23T00:00:00Z,50,42,0,0,0,0,0,0,0,0
018_AAAK,CRGRO048,1,1,2018-06-24T00:00:00Z,51,43,0,0,0,0,0,0,0,0
018_AAAK,CRGRO048,1,1,2018-06-25T00:00:00Z,52,44,0,0,0,0,0,0,0,0
018_AAAK,CRGRO048,1,1,2018-06-26T00:00:00Z,53,45,0,0,0,0,0,0,0,0
018_AAAK,CRGRO048,1,1,2018-06-27T00:00:00Z,54,46,0.37,5.33,0,0.18,0,7.01,0,0.54
018_AAAK,CRGRO048,1,1,2018-06-28T00:00:00Z,55,47,1.11,14.58,0,0.62,0,7.62,0,3.21
018_AAAK,CRGRO048,1,1,2018-06-29T00:00:00Z,56,48,1.75,24.1,0,1.28,0,7.26,0,5.21
018_AAAK,CRGRO048,1,1,2018-06-30T00:00:00Z,57,49,2.22,30.62,0,2.04,0,7.24,0,7.14
018_AAAK,CRGRO048,1,1,2018-07-01T00:00:00Z,58,50,2.36,37.25,0,3.03,0,6.33,0,7.18
018_AAAK,CRGRO048,1,1,2018-07-02T00:00:00Z,59,51,2.44,43.46,0,4.11,0,5.61,0,7.19
018_AAAK,CRGRO048,1,1,2018-07-03T00:00:00Z,60,52,3.67,49.18,8.03,5.19,0,7.47,0,14.2
018_AAAK,CRGRO048,1,1,2018-07-04T00:00:00Z,61,53,4.48,57.83,22.06,6.54,0.12,7.75,158.44,19.47
018_AAAK,CRGRO048,1,1,2018-07-05T00:00:00Z,62,54,4.81,64.98,36.61,8.05,0.46,7.4,43.27,19.96
018_AAAK,CRGRO048,1,1,2018-07-06T00:00:00Z,63,55,6.15,71.23,46.65,9.66,1,8.63,29.85,29.94
018_AAAK,CRGRO048,1,1,2018-07-07T00:00:00Z,64,56,6.63,81.39,56.94,11.67,1.74,8.15,20.35,35.39
018_AAAK,CRGRO048,1,1,2018-07-08T00:00:00Z,65,57,6.74,86.68,66.64,13.7,2.62,7.78,13.53,35.41
018_AAAK,CRGRO048,1,1,2018-07-09T00:00:00Z,66,58,6.85,92.05,76.34,15.79,3.61,7.44,9.82,35.44
018_AAAK,CRGRO048,1,1,2018-07-10T00:00:00Z,67,59,8.88,101.52,91.08,17.9,4.71,8.75,10.91,51.37
018_AAAK,CRGRO048,1,1,2018-07-11T00:00:00Z,68,60,12.06,106.79,103.36,19.85,5.99,11.29,14.19,85.01
018_AAAK,CRGRO048,1,1,2018-07-12T00:00:00Z,69,61,16.07,112.86,113.7,21.72,7.44,14.24,20.54,152.75
018_AAAK,CRGRO048,1,1,2018-07-13T00:00:00Z,70,62,20.86,120.36,129.91,23.59,9.01,17.33,29.41,265.08
018_AAAK,CRGRO048,1,1,2018-07-14T00:00:00Z,71,63,24.65,128.38,138.55,25.57,10.86,19.2,34.38,373.56
018_AAAK,CRGRO048,1,1,2018-07-15T00:00:00Z,72,64,28.73,133.22,147.21,27.52,12.84,21.57,43.01,552.26
018_AAAK,CRGRO048,1,1,2018-07-16T00:00:00Z,73,65,31.89,135.82,162.37,29.33,15.03,23.48,48.5,728.74
018_AAAK,CRGRO048,1,1,2018-07-17T00:00:00Z,74,66,35.77,137.84,171,30.98,17.37,25.95,56.77,985.97
018_AAAK,CRGRO048,1,1,2018-07-18T00:00:00Z,75,67,39.86,139.3,180.81,32.51,19.87,28.62,65.84,1308.35
018_AAAK,CRGRO048,1,1,2018-07-19T00:00:00Z,76,68,40.14,141.44,193.25,33.69,22.62,28.38,64.64,1462.12
018_AAAK,CRGRO048,1,1,2018-07-20T00:00:00Z,77,69,40.29,142.92,205.98,34.9,25.53,28.19,57.27,1462.26
018_AAAK,CRGRO048,1,1,2018-07-21T00:00:00Z,78,70,40.41,145.58,214,36.21,28.78,27.75,50.82,1462.32
018_AAAK,CRGRO048,1,1,2018-07-22T00:00:00Z,79,71,40.41,147.74,219.14,37.33,31.88,27.35,45.87,1462.32
018_AAAK,CRGRO048,1,1,2018-07-23T00:00:00Z,80,72,40.41,149.72,222.93,38.37,35.19,26.99,41.55,1462.32
018_AAAK,CRGRO048,1,1,2018-07-24T00:00:00Z,81,73,40.41,151.6,226.02,39.34,38.54,26.65,37.95,1462.32
018_AAAK,CRGRO048,1,1,2018-07-25T00:00:00Z,82,74,40.41,157.75,230.42,40.36,41.89,25.61,34.91,1462.32
018_AAAK,CRGRO048,1,1,2018-07-26T00:00:00Z,83,75,40.41,161.36,233.8,41.18,45.14,25.04,32.39,1462.32
018_AAAK,CRGRO048,1,1,2018-07-27T00:00:00Z,84,76,40.41,167.09,238.56,42.02,48.63,24.18,30.07,1462.32
018_AAAK,CRGRO048,1,1,2018-07-28T00:00:00Z,85,77,40.41,171.38,242.32,42.83,52.17,23.58,28.03,1462.32
018_AAAK,CRGRO048,1,1,2018-07-29T00:00:00Z,86,78,40.41,174.69,245.66,43.64,55.77,23.13,26.22,1462.32
018_AAAK,CRGRO048,1,1,2018-07-30T00:00:00Z,87,79,40.41,180.36,248.76,44.59,59.53,22.4,24.56,1462.32
018_AAAK,CRGRO048,1,1,2018-07-31T00:00:00Z,88,80,40.41,185.63,258.66,45.65,63.56,21.77,23.01,1462.32
018_AAAK,CRGRO048,1,1,2018-08-01T00:00:00Z,89,81,40.41,189.95,264.52,46.75,67.73,21.27,21.59,1462.32
018_AAAK,CRGRO048,1,1,2018-08-02T00:00:00Z,90,82,40.41,195.29,273.85,47.91,71.95,20.69,20.32,1462.32
018_AAAK,CRGRO048,1,1,2018-08-03T00:00:00Z,91,83,40.41,198.95,280.85,49.03,76.18,20.31,19.19,1462.32
018_AAAK,CRGRO048,1,1,2018-08-04T00:00:00Z,92,84,40.41,204.19,286.25,50.18,80.25,19.79,18.22,1462.32
018_AAAK,CRGRO048,1,1,2018-08-05T00:00:00Z,93,85,40.41,207.85,295.34,51.29,84.32,19.44,17.34,1462.32
018_AAAK,CRGRO048,1,1,2018-08-06T00:00:00Z,94,86,40.41,211.12,304.15,52.45,88.59,19.14,16.51,1462.32
018_AAAK,CRGRO048,1,1,2018-08-07T00:00:00Z,95,87,40.41,214.36,311.22,53.58,93.08,18.85,15.71,1462.32
018_AAAK,CRGRO048,1,1,2018-08-08T00:00:00Z,96,88,40.41,219.78,319.98,54.71,97.47,18.38,15,1462.32
018_AAAK,CRGRO048,1,1,2018-08-09T00:00:00Z,97,89,40.41,225.45,326.01,55.95,102.31,17.92,14.29,1462.32
018_AAAK,CRGRO048,1,1,2018-08-10T00:00:00Z,98,90,40.41,231.19,334.42,57.15,107.04,17.48,13.66,1462.32
018_AAAK,CRGRO048,1,1,2018-08-11T00:00:00Z,99,91,40.41,237.23,340.53,58.49,112.12,17.03,13.04,1462.32
018_AAAK,CRGRO048,1,1,2018-08-12T00:00:00Z,100,92,40.41,243.97,345.97,59.81,117.1,16.56,12.49,1462.32
018_AAAK,CRGRO048,1,1,2018-08-13T00:00:00Z,101,93,40.41,249.42,351.27,61.11,122.18,16.2,11.97,1462.32
018_AAAK,CRGRO048,1,1,2018-08-14T00:00:00Z,102,94,40.41,255.97,360.01,62.47,127.41,15.79,11.48,1462.32
018_AAAK,CRGRO048,1,1,2018-08-15T00:00:00Z,103,95,40.41,262.18,369.02,63.89,132.82,15.41,11.01,1462.32
018_AAAK,CRGRO048,1,1,2018-08-16T00:00:00Z,104,96,40.41,268.96,378.32,65.33,138.02,15.02,10.59,1462.32
018_AAAK,CRGRO048,1,1,2018-08-17T00:00:00Z,105,97,40.41,275.91,388.01,66.83,143.18,14.64,10.21,1462.32
018_AAAK,CRGRO048,1,1,2018-08-18T00:00:00Z,106,98,40.41,282.5,398.81,68.37,148.31,14.3,9.86,1462.32
018_AAAK,CRGRO048,1,1,2018-08-19T00:00:00Z,107,99,40.41,289.07,407.67,70.01,153.48,13.98,9.53,1462.32
018_AAAK,CRGRO048,1,1,2018-08-20T00:00:00Z,108,100,40.41,293.83,418.48,71.59,158.45,13.75,9.23,1462.32
018_AAAK,CRGRO048,1,1,2018-08-21T00:00:00Z,109,101,40.41,299.9,428.77,73.27,163.61,13.47,8.94,1462.32
018_AAAK,CRGRO048,1,1,2018-08-22T00:00:00Z,110,102,40.41,305.47,439.93,74.92,168.68,13.23,8.67,1462.32
018_AAAK,CRGRO048,1,1,2018-08-23T00:00:00Z,111,103,40.41,311.71,451.38,76.63,173.81,12.96,8.41,1462.32
018_AAAK,CRGRO048,1,1,2018-08-24T00:00:00Z,112,104,40.93,317.38,462.37,78.28,178.84,12.89,8.29,1483.37
018_AAAK,CRGRO048,1,1,2018-08-25T00:00:00Z,113,105,45.57,323.47,473.14,79.89,183.79,14.09,9.01,1656.1
