EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,DAP,PODINF,PODNO,SEEDNO,WTSHELL,WTSEED,PCINF,AFCON,AFSUM
023_AAAA,CRGRO048,1,1,2023-06-28T00:00:00Z,55,47,0,0,0,0,0,0,0,0
023_AAAA,CRGRO048,1,1,2023-06-29T00:00:00Z,56,48,0,0,0,0,0,0,0,0
023_AAAA,CRGRO048,1,1,2023-06-30T00:00:00Z,57,49,0,0,0,0,0,0,0,0
023_AAAA,CRGRO048,1,1,2023-07-01T00:00:00Z,58,50,0,0,0,0,0,0,0,0
023_AAAA,CRGRO048,1,1,2023-07-02T00:00:00Z,59,51,0,0,0,0,0,0,0,0
023_AAAA,CRGRO048,1,1,2023-07-03T00:00:00Z,60,52,0.18,1.97,0,0.07,0,9.12,0,0.15
023_AAAA,CRGRO048,1,1,2023-07-04T00:00:00Z,61,53,0.94,8.85,0,0.34,0,10.64,0,2.76
023_AAAA,CRGRO048,1,1,2023-07-05T00:00:00Z,62,54,1.76,14.54,0,0.74,0,12.08,0,6.7
023_AAAA,CRGRO048,1,1,2023-07-06T00:00:00Z,63,55,2.84,19.65,0,1.23,0,14.45,0,15.39
023_AAAA,CRGRO048,1,1,2023-07-07T00:00:00Z,64,56,4.17,25.02,0,1.83,0,16.64,0,30.58
023_AAAA,CRGRO048,1,1,2023-07-08T00:00:00Z,65,57,5.41,28.65,0,2.49,0,18.89,0,51.3
023_AAAA,CRGRO048,1,1,2023-07-09T00:00:00Z,66,58,6.55,31.37,2.91,3.18,0,20.9,0,75.47
023_AAAA,CRGRO048,1,1,2023-07-10T00:00:00Z,67,59,7.26,34.03,13.07,3.91,0.04,21.34,2131.69,94.72
023_AAAA,CRGRO048,1,1,2023-07-11T00:00:00Z,68,60,7.95,36.1,21.49,4.65,0.23,22.03,486.72,114.12
023_AAAA,CRGRO048,1,1,2023-07-12T00:00:00Z,69,61,8.89,37.92,29.09,5.42,0.54,23.45,267.21,144.56
023_AAAA,CRGRO048,1,1,2023-07-13T00:00:00Z,70,62,10.08,39.85,37.12,6.22,0.95,25.28,198.34,189.29
023_AAAA,CRGRO048,1,1,2023-07-14T00:00:00Z,71,63,10.42,42.24,42.58,7.17,1.52,24.66,140.88,214.51
023_AAAA,CRGRO048,1,1,2023-07-15T00:00:00Z,72,64,10.69,46.31,47.01,8.18,2.13,23.09,100.71,214.88
023_AAAA,CRGRO048,1,1,2023-07-16T00:00:00Z,73,65,10.93,52.13,52.1,9.3,2.81,20.96,76.67,215.09
023_AAAA,CRGRO048,1,1,2023-07-17T00:00:00Z,74,66,12.08,55.77,56.11,10.35,3.56,21.66,72.28,257.54
023_AAAA,CRGRO048,1,1,2023-07-18T00:00:00Z,75,67,13.7,57.95,59.63,11.29,4.37,23.64,73.56,321.33
023_AAAA,CRGRO048,1,1,2023-07-19T00:00:00Z,76,68,15.69,61.54,63.33,12.19,5.2,25.5,77.52,403.09
023_AAAA,CRGRO048,1,1,2023-07-20T00:00:00Z,77,69,18.18,67,67.41,13.1,6.06,27.13,83.05,503.59
023_AAAA,CRGRO048,1,1,2023-07-21T00:00:00Z,78,70,18.81,72.61,73.83,14.03,6.96,25.91,83.51,581.52
023_AAAA,CRGRO048,1,1,2023-07-22T00:00:00Z,79,71,19.04,75.11,82.95,14.99,8.05,25.35,72.24,581.89
023_AAAA,CRGRO048,1,1,2023-07-23T00:00:00Z,80,72,19.12,76.74,88.76,16.03,9.39,24.91,61.95,581.92
023_AAAA,CRGRO048,1,1,2023-07-24T00:00:00Z,81,73,19.12,78.21,92.34,16.97,10.7,24.44,54.39,581.92
023_AAAA,CRGRO048,1,1,2023-07-25T00:00:00Z,82,74,19.12,79.68,98.04,17.85,12.03,23.99,48.37,581.92
023_AAAA,CRGRO048,1,1,2023-07-26T00:00:00Z,83,75,19.12,80.64,106.57,18.64,13.4,23.71,43.44,581.92
023_AAAA,CRGRO048,1,1,2023-07-27T00:00:00Z,84,76,19.12,84.39,115.58,19.57,14.92,22.66,39,581.92
023_AAAA,CRGRO048,1,1,2023-07-28T00:00:00Z,85,77,19.12,89.35,120.24,20.66,16.7,21.4,34.85,581.92
023_AAAA,CRGRO048,1,1,2023-07-29T00:00:00Z,86,78,19.12,93.91,123.21,21.64,18.55,20.36,31.36,581.92
023_AAAA,CRGRO048,1,1,2023-07-30T00:00:00Z,87,79,19.12,100.71,125.75,22.64,20.29,18.98,28.68,581.92
023_AAAA,CRGRO048,1,1,2023-07-31T00:00:00Z,88,80,19.12,107.3,128.5,23.76,22.1,17.82,26.33,581.92
023_AAAA,CRGRO048,1,1,2023-08-01T00:00:00Z,89,81,19.12,113.79,130.77,24.95,23.85,16.8,24.4,581.92
023_AAAA,CRGRO048,1,1,2023-08-02T00:00:00Z,90,82,19.12,119.07,137.32,26.2,25.74,16.06,22.61,581.92
023_AAAA,CRGRO048,1,1,2023-08-03T00:00:00Z,91,83,21.6,122.94,145.22,27.36,27.72,17.57,23.78,659.13
023_AAAA,CRGRO048,1,1,2023-08-04T00:00:00Z,92,84,21.7,126.57,152.39,28.62,30.01,17.14,21.96,659.15
023_AAAA,CRGRO048,1,1,2023-08-05T00:00:00Z,93,85,21.77,129.14,162.91,29.67,32.2,16.86,20.47,659.16
023_AAAA,CRGRO048,1,1,2023-08-06T00:00:00Z,94,86,21.87,132.74,173.13,30.75,34.49,16.48,19.11,659.18
023_AAAA,CRGRO048,1,1,2023-08-07T00:00:00Z,95,87,21.87,139.96,183.13,31.99,36.92,15.63,17.86,659.18
023_AAAA,CRGRO048,1,1,2023-08-08T00:00:00Z,96,88,21.87,144.91,191.57,33.27,39.46,15.09,16.7,659.18
