EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,DAP,PODINF,PODNO,SEEDNO,WTSHELL,WTSEED,PCINF,AFCON,AFSUM
018_AAAL,CRGRO048,1,1,2018-06-16T00:00:00Z,43,42,0,0,0,0,0,0,0,0
018_AAAL,CRGRO048,1,1,2018-06-17T00:00:00Z,44,43,0,0,0,0,0,0,0,0
018_AAAL,CRGRO048,1,1,2018-06-18T00:00:00Z,45,44,0,0,0,0,0,0,0,0
018_AAAL,CRGRO048,1,1,2018-06-19T00:00:00Z,46,45,0,0,0,0,0,0,0,0
018_AAAL,CRGRO048,1,1,2018-06-20T00:00:00Z,47,46,0,0,0,0,0,0,0,0
018_AAAL,CRGRO048,1,1,2018-06-21T00:00:00Z,48,47,0,0,0,0,0,0,0,0
018_AAAL,CRGRO048,1,1,2018-06-22T00:00:00Z,49,48,0.39,4.52,0,0.16,0,8.62,0,0.69
018_AAAL,CRGRO048,1,1,2018-06-23T00:00:00Z,50,49,1.38,12.93,0,0.55,0,10.66,0,5.38
018_AAAL,CRGRO048,1,1,2018-06-24T00:00:00Z,51,50,2.6,19.93,0,1.05,0,13.07,0,15.19
018_AAAL,CRGRO048,1,1,2018-06-25T00:00:00Z,52,51,3.44,25.74,0,1.65,0,13.37,0,26.9
018_AAAL,CRGRO048,1,1,2018-06-26T00:00:00Z,53,52,4.36,30.95,0,2.4,0,14.09,0,38.95
018_AAAL,CRGRO048,1,1,2018-06-27T00:00:00Z,54,53,5.29,36.9,0,3.3,0,14.33,0,54.54
018_AAAL,CRGRO048,1,1,2018-06-28T00:00:00Z,55,54,5.7,41.01,6.71,4.22,0,13.91,0,62.25
018_AAAL,CRGRO048,1,1,2018-06-29T00:00:00Z,56,55,6.22,43.85,19.2,5.12,0.1,14.19,725.68,71.36
018_AAAL,CRGRO048,1,1,2018-06-30T00:00:00Z,57,56,7.21,46.09,29.64,6.08,0.38,15.63,255.19,96.85
018_AAAL,CRGRO048,1,1,2018-07-01T00:00:00Z,58,57,7.44,51.78,38.4,7.32,0.85,14.36,115.64,98.09
018_AAAL,CRGRO048,1,1,2018-07-02T00:00:00Z,59,58,7.59,56.2,46.28,8.51,1.39,13.51,70.57,98.15
018_AAAL,CRGRO048,1,1,2018-07-03T00:00:00Z,60,59,9.25,61.93,55.27,9.87,2.06,14.93,64.1,132.34
018_AAAL,CRGRO048,1,1,2018-07-04T00:00:00Z,61,60,11.03,69.51,62.19,11.52,2.92,15.87,58,169.33
018_AAAL,CRGRO048,1,1,2018-07-05T00:00:00Z,62,61,12.49,72.99,67.85,13.09,3.87,17.11,54.56,211.13
018_AAAL,CRGRO048,1,1,2018-07-06T00:00:00Z,63,62,14.49,78.63,72.38,14.62,4.89,18.43,53.76,262.64
018_AAAL,CRGRO048,1,1,2018-07-07T00:00:00Z,64,63,15.92,87.29,82,16.2,5.95,18.23,53.56,318.47
018_AAAL,CRGRO048,1,1,2018-07-08T00:00:00Z,65,64,16.12,90.8,89.56,17.75,7.22,17.76,44.16,318.66
018_AAAL,CRGRO048,1,1,2018-07-09T00:00:00Z,66,65,16.25,94.03,99.29,19.18,8.54,17.28,37.32,318.72
018_AAAL,CRGRO048,1,1,2018-07-10T00:00:00Z,67,66,16.28,96.59,111.64,20.48,9.97,16.86,31.97,318.72
