EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,DAP,PODINF,PODNO,SEEDNO,WTSHELL,WTSEED,PCINF,AFCON,AFSUM
021_AAAF,CRGRO048,1,1,2021-06-22T00:00:00Z,49,48,0,0,0,0,0,0,0,0
021_AAAF,CRGRO048,1,1,2021-06-23T00:00:00Z,50,49,0,0,0,0,0,0,0,0
021_AAAF,CRGRO048,1,1,2021-06-24T00:00:00Z,51,50,0,0,0,0,0,0,0,0
021_AAAF,CRGRO048,1,1,2021-06-25T00:00:00Z,52,51,0,0,0,0,0,0,0,0
021_AAAF,CRGRO048,1,1,2021-06-26T00:00:00Z,53,52,0,0,0,0,0,0,0,0
021_AAAF,CRGRO048,1,1,2021-06-27T00:00:00Z,54,53,0,4.41,0,0.17,0,0,0,0
021_AAAF,CRGRO048,1,1,2021-06-28T00:00:00Z,55,54,0,13.3,0,0.62,0,0,0,0
021_AAAF,CRGRO048,1,1,2021-06-29T00:00:00Z,56,55,0,20.9,0,1.22,0,0,0,0
021_AAAF,CRGRO048,1,1,2021-06-30T00:00:00Z,57,56,0,30.37,0,2.08,0,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-01T00:00:00Z,58,57,0,39.41,0,3.17,0,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-02T00:00:00Z,59,58,0,49.24,0,4.51,0,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-03T00:00:00Z,60,59,0,55.96,7.13,5.9,0,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-04T00:00:00Z,61,60,0,66.83,21.51,7.59,0.11,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-05T00:00:00Z,62,61,0,74.07,33.78,9.41,0.45,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-06T00:00:00Z,63,62,0,83.56,49.03,11.39,0.95,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-07T00:00:00Z,64,63,0,92.47,63.62,13.76,1.75,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-08T00:00:00Z,65,64,0,104.64,79.51,16.33,2.73,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-09T00:00:00Z,66,65,0,118.11,90.49,19.25,3.97,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-10T00:00:00Z,67,66,0,129.64,108.3,22.21,5.34,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-11T00:00:00Z,68,67,0,141.87,120.17,25.18,6.93,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-12T00:00:00Z,69,68,0,147.57,135.69,28.02,8.73,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-13T00:00:00Z,70,69,0,160,150.2,31.12,10.83,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-14T00:00:00Z,71,70,0,172.7,169.84,34.16,13.06,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-15T00:00:00Z,72,71,0,186.25,191.42,37.25,15.57,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-16T00:00:00Z,73,72,0,199.78,209.97,40.43,18.35,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-17T00:00:00Z,74,73,0,212.42,229.48,43.54,21.33,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-18T00:00:00Z,75,74,0,225.22,238.86,46.95,24.74,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-19T00:00:00Z,76,75,0,238.77,258.7,50.46,28.35,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-20T00:00:00Z,77,76,0,252.25,279.23,54.25,32.47,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-21T00:00:00Z,78,77,0,266.01,301.21,57.81,36.62,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-22T00:00:00Z,79,78,0,278.7,323.13,61.27,41.04,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-23T00:00:00Z,80,79,0,290.67,343.77,64.75,45.8,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-24T00:00:00Z,81,80,0,303.91,364.17,68.33,50.97,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-25T00:00:00Z,82,81,0,316.23,386.41,72.11,56.54,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-26T00:00:00Z,83,82,0,327.99,408.57,75.85,62.42,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-27T00:00:00Z,84,83,0,340.42,431.31,79.42,68.41,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-28T00:00:00Z,85,84,0,352.59,452.44,83.01,74.82,0,0,0
021_AAAF,CRGRO048,1,1,2021-07-29T00:00:00Z,86,85,0,365.79,472.28,86.39,81.19,0,0,0
