EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,DAP,PODINF,PODNO,SEEDNO,WTSHELL,WTSEED,PCINF,AFCON,AFSUM
022_AAAT,CRGRO048,1,1,2022-06-19T00:00:00Z,46,43,0,0,0,0,0,0,0,0
022_AAAT,CRGRO048,1,1,2022-06-20T00:00:00Z,47,44,0,0,0,0,0,0,0,0
022_AAAT,CRGRO048,1,1,2022-06-21T00:00:00Z,48,45,0,0,0,0,0,0,0,0
022_AAAT,CRGRO048,1,1,2022-06-22T00:00:00Z,49,46,0,0,0,0,0,0,0,0
022_AAAT,CRGRO048,1,1,2022-06-23T00:00:00Z,50,47,0,0,0,0,0,0,0,0
022_AAAT,CRGRO048,1,1,2022-06-24T00:00:00Z,51,48,0,0,0,0,0,0,0,0
022_AAAT,CRGRO048,1,1,2022-06-25T00:00:00Z,52,49,0.42,3.48,0,0.12,0,12.06,0,1.05
022_AAAT,CRGRO048,1,1,2022-06-26T00:00:00Z,53,50,1.24,7.83,0,0.35,0,15.85,0,5.89
022_AAAT,CRGRO048,1,1,2022-06-27T00:00:00Z,54,51,2.22,11.78,0,0.66,0,18.82,0,15.15
022_AAAT,CRGRO048,1,1,2022-06-28T00:00:00Z,55,52,3.01,13.63,0,0.96,0,22.08,0,27.9
022_AAAT,CRGRO048,1,1,2022-06-29T00:00:00Z,56,53,3.77,15.26,0,1.32,0,24.7,0,44.34
022_AAAT,CRGRO048,1,1,2022-06-30T00:00:00Z,57,54,4.54,16.68,0,1.71,0,27.21,0,65.27
022_AAAT,CRGRO048,1,1,2022-07-01T00:00:00Z,58,55,4.66,17.14,5.01,2.06,0,27.17,0,80.01
022_AAAT,CRGRO048,1,1,2022-07-02T00:00:00Z,59,56,4.71,17.25,11.33,2.37,0.07,27.33,1079.76,80.03
022_AAAT,CRGRO048,1,1,2022-07-03T00:00:00Z,60,57,4.73,17.16,17.15,2.7,0.24,27.56,330.89,80.03
022_AAAT,CRGRO048,1,1,2022-07-04T00:00:00Z,61,58,4.73,17.58,19.92,3.05,0.48,26.9,166.18,80.03
022_AAAT,CRGRO048,1,1,2022-07-05T00:00:00Z,62,59,4.73,17.93,22.37,3.39,0.75,26.37,106.79,80.03
022_AAAT,CRGRO048,1,1,2022-07-06T00:00:00Z,63,60,4.73,18.26,24.5,3.75,1.06,25.9,75.66,80.03
022_AAAT,CRGRO048,1,1,2022-07-07T00:00:00Z,64,61,4.73,24.56,25.85,4.33,1.39,19.25,57.47,80.03
022_AAAT,CRGRO048,1,1,2022-07-08T00:00:00Z,65,62,4.73,30.5,26.79,4.99,1.77,15.5,45.29,80.03
022_AAAT,CRGRO048,1,1,2022-07-09T00:00:00Z,66,63,4.73,36.11,27.28,5.7,2.16,13.1,37.02,80.03
022_AAAT,CRGRO048,1,1,2022-07-10T00:00:00Z,67,64,4.73,39.53,28.17,6.43,2.6,11.96,30.82,80.03
022_AAAT,CRGRO048,1,1,2022-07-11T00:00:00Z,68,65,4.73,42.26,28.93,7.15,3.03,11.19,26.41,80.03
022_AAAT,CRGRO048,1,1,2022-07-12T00:00:00Z,69,66,4.73,44.12,29.63,7.86,3.48,10.72,23.01,80.03
022_AAAT,CRGRO048,1,1,2022-07-13T00:00:00Z,70,67,4.73,44.99,39.43,8.51,3.94,10.51,20.31,80.03
022_AAAT,CRGRO048,1,1,2022-07-14T00:00:00Z,71,68,4.73,45.23,48.65,9.12,4.55,10.46,17.59,80.03
022_AAAT,CRGRO048,1,1,2022-07-15T00:00:00Z,72,69,4.73,46.05,57.39,9.75,5.3,10.27,15.11,80.03
022_AAAT,CRGRO048,1,1,2022-07-16T00:00:00Z,73,70,4.73,46.82,62.82,10.41,6.18,10.1,12.95,80.03
022_AAAT,CRGRO048,1,1,2022-07-17T00:00:00Z,74,71,4.73,48.25,67.2,11.11,7.15,9.8,11.2,80.03
022_AAAT,CRGRO048,1,1,2022-07-18T00:00:00Z,75,72,4.73,55.92,70.21,12.09,8.19,8.46,9.77,80.03
022_AAAT,CRGRO048,1,1,2022-07-19T00:00:00Z,76,73,4.73,62.88,72.34,13.18,9.26,7.52,8.64,80.03
022_AAAT,CRGRO048,1,1,2022-07-20T00:00:00Z,77,74,4.73,71.22,73.38,14.35,10.36,6.64,7.73,80.03
022_AAAT,CRGRO048,1,1,2022-07-21T00:00:00Z,78,75,4.73,81.07,75.25,15.6,11.45,5.83,6.99,80.03
022_AAAT,CRGRO048,1,1,2022-07-22T00:00:00Z,79,76,4.73,92.04,76.75,16.99,12.57,5.14,6.37,80.03
022_AAAT,CRGRO048,1,1,2022-07-23T00:00:00Z,80,77,4.73,100.42,79.2,18.39,13.66,4.71,5.86,80.03
022_AAAT,CRGRO048,1,1,2022-07-24T00:00:00Z,81,78,4.73,110.4,91.34,19.92,14.79,4.28,5.41,80.03
022_AAAT,CRGRO048,1,1,2022-07-25T00:00:00Z,82,79,4.73,117.93,102.28,21.58,16.12,4.01,4.96,80.03
022_AAAT,CRGRO048,1,1,2022-07-26T00:00:00Z,83,80,4.73,129.09,115.26,23.43,17.57,3.66,4.55,80.03
022_AAAT,CRGRO048,1,1,2022-07-27T00:00:00Z,84,81,4.73,139.87,130.55,25.54,19.26,3.38,4.15,80.03
022_AAAT,CRGRO048,1,1,2022-07-28T00:00:00Z,85,82,4.73,150.84,147.53,27.88,21.2,3.13,3.78,80.03
022_AAAT,CRGRO048,1,1,2022-07-29T00:00:00Z,86,83,4.73,162.44,160.47,30.41,23.32,2.91,3.43,80.03
022_AAAT,CRGRO048,1,1,2022-07-30T00:00:00Z,87,84,4.73,174.16,176.28,33.18,25.69,2.72,3.12,80.03
022_AAAT,CRGRO048,1,1,2022-07-31T00:00:00Z,88,85,4.73,186.31,188.27,35.91,28.14,2.54,2.84,80.03
022_AAAT,CRGRO048,1,1,2022-08-01T00:00:00Z,89,86,4.73,198.49,205.89,38.81,30.85,2.38,2.59,80.03
022_AAAT,CRGRO048,1,1,2022-08-02T00:00:00Z,90,87,4.73,210.26,223.08,41.78,33.83,2.25,2.37,80.03
022_AAAT,CRGRO048,1,1,2022-08-03T00:00:00Z,91,88,4.73,222.35,240.76,44.88,37.13,2.13,2.16,80.03
022_AAAT,CRGRO048,1,1,2022-08-04T00:00:00Z,92,89,4.73,235.44,259.12,47.74,40.38,2.01,1.98,80.03
022_AAAT,CRGRO048,1,1,2022-08-05T00:00:00Z,93,90,4.73,247.68,277.88,50.81,44.05,1.91,1.82,80.03
022_AAAT,CRGRO048,1,1,2022-08-06T00:00:00Z,94,91,4.73,260.5,297.07,53.91,47.94,1.82,1.67,80.03
022_AAAT,CRGRO048,1,1,2022-08-07T00:00:00Z,95,92,4.73,272.58,316.86,57.32,52.41,1.73,1.53,80.03
022_AAAT,CRGRO048,1,1,2022-08-08T00:00:00Z,96,93,4.73,285.04,336.05,60.73,57.12,1.66,1.4,80.03
022_AAAT,CRGRO048,1,1,2022-08-09T00:00:00Z,97,94,4.73,296.31,355.75,64.17,62.18,1.6,1.29,80.03
022_AAAT,CRGRO048,1,1,2022-08-10T00:00:00Z,98,95,4.73,308.15,377.19,67.73,67.67,1.53,1.18,80.03
022_AAAT,CRGRO048,1,1,2022-08-11T00:00:00Z,99,96,4.73,319.64,397.64,71.39,73.62,1.48,1.09,80.03
022_AAAT,CRGRO048,1,1,2022-08-12T00:00:00Z,100,97,4.73,330.25,419.18,74.94,79.75,1.43,1,80.03
022_AAAT,CRGRO048,1,1,2022-08-13T00:00:00Z,101,98,4.73,341.46,439.72,78.51,86.13,1.38,0.93,80.03
022_AAAT,CRGRO048,1,1,2022-08-14T00:00:00Z,102,99,4.73,353.13,460.82,81.96,92.56,1.34,0.86,80.03
022_AAAT,CRGRO048,1,1,2022-08-15T00:00:00Z,103,100,4.73,360.68,480.24,85.24,99.21,1.31,0.81,80.03
022_AAAT,CRGRO048,1,1,2022-08-16T00:00:00Z,104,101,4.73,372.4,500.65,88.38,105.79,1.27,0.76,80.03
022_AAAT,CRGRO048,1,1,2022-08-17T00:00:00Z,105,102,4.73,382.72,520.33,91.61,113,1.24,0.71,80.03
022_AAAT,CRGRO048,1,1,2022-08-18T00:00:00Z,106,103,4.73,391.02,538.64,94.97,121.05,1.21,0.66,80.03
022_AAAT,CRGRO048,1,1,2022-08-19T00:00:00Z,107,104,4.73,402.24,557.71,98.06,128.73,1.18,0.62,80.03
022_AAAT,CRGRO048,1,1,2022-08-20T00:00:00Z,108,105,4.73,413.27,577.43,100.96,136.41,1.14,0.59,80.03
022_AAAT,CRGRO048,1,1,2022-08-21T00:00:00Z,109,106,4.73,423.03,590.34,103.9,144.69,1.12,0.55,80.03
