EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,DAP,PODINF,PODNO,SEEDNO,WTSHELL,WTSEED,PCINF,AFCON,AFSUM
023_AABB,CRGRO048,1,1,2023-06-27T00:00:00Z,54,46,0,0,0,0,0,0,0,0
023_AABB,CRGRO048,1,1,2023-06-28T00:00:00Z,55,47,0,0,0,0,0,0,0,0
023_AABB,CRGRO048,1,1,2023-06-29T00:00:00Z,56,48,0,0,0,0,0,0,0,0
023_AABB,CRGRO048,1,1,2023-06-30T00:00:00Z,57,49,0,0,0,0,0,0,0,0
023_AABB,CRGRO048,1,1,2023-07-01T00:00:00Z,58,50,0,0,0,0,0,0,0,0
023_AABB,CRGRO048,1,1,2023-07-02T00:00:00Z,59,51,0,3.36,0,0.12,0,0,0,0
023_AABB,CRGRO048,1,1,2023-07-03T00:00:00Z,60,52,0,14.68,0,0.6,0,0,0,0
023_AABB,CRGRO048,1,1,2023-07-04T00:00:00Z,61,53,0,26.25,0,1.34,0,0,0,0
023_AABB,CRGRO048,1,1,2023-07-05T00:00:00Z,62,54,0,38.2,0,2.39,0,0,0,0
023_AABB,CRGRO048,1,1,2023-07-06T00:00:00Z,63,55,0,49.93,0,3.67,0,0,0,0
023_AABB,CRGRO048,1,1,2023-07-07T00:00:00Z,64,56,0,62.43,0,5.23,0,0,0,0
023_AABB,CRGRO048,1,1,2023-07-08T00:00:00Z,65,57,0,76.29,5.17,7.11,0,0,0,0
023_AABB,CRGRO048,1,1,2023-07-09T00:00:00Z,66,58,0,89.52,22.61,9.24,0.08,0,0,0
023_AABB,CRGRO048,1,1,2023-07-10T00:00:00Z,67,59,0,100.87,40.5,11.68,0.43,0,0,0
023_AABB,CRGRO048,1,1,2023-07-11T00:00:00Z,68,60,0,115.14,59.02,14.39,1.04,0,0,0
023_AABB,CRGRO048,1,1,2023-07-12T00:00:00Z,69,61,0,129.84,77.25,17.33,1.9,0,0,0
023_AABB,CRGRO048,1,1,2023-07-13T00:00:00Z,70,62,0,144.98,96.73,20.67,3.04,0,0,0
023_AABB,CRGRO048,1,1,2023-07-14T00:00:00Z,71,63,0,158.82,118.77,24.5,4.56,0,0,0
023_AABB,CRGRO048,1,1,2023-07-15T00:00:00Z,72,64,0,171.08,140.7,28.32,6.33,0,0,0
023_AABB,CRGRO048,1,1,2023-07-16T00:00:00Z,73,65,0,186.77,159.62,32.32,8.44,0,0,0
023_AABB,CRGRO048,1,1,2023-07-17T00:00:00Z,74,66,0,202.18,183.14,36.39,10.84,0,0,0
023_AABB,CRGRO048,1,1,2023-07-18T00:00:00Z,75,67,0,217.87,207.31,40.5,13.56,0,0,0
023_AABB,CRGRO048,1,1,2023-07-19T00:00:00Z,76,68,0,231.17,232.1,44.48,16.55,0,0,0
023_AABB,CRGRO048,1,1,2023-07-20T00:00:00Z,77,69,0,245.97,254.79,48.42,19.82,0,0,0
023_AABB,CRGRO048,1,1,2023-07-21T00:00:00Z,78,70,0,260.34,274.78,52.35,23.4,0,0,0
023_AABB,CRGRO048,1,1,2023-07-22T00:00:00Z,79,71,0,275.55,300,56.67,27.62,0,0,0
023_AABB,CRGRO048,1,1,2023-07-23T00:00:00Z,80,72,0,290.95,325.18,61.32,32.48,0,0,0
023_AABB,CRGRO048,1,1,2023-07-24T00:00:00Z,81,73,0,305.09,350.83,65.6,37.38,0,0,0
023_AABB,CRGRO048,1,1,2023-07-25T00:00:00Z,82,74,0,319.34,372.69,69.7,42.49,0,0,0
023_AABB,CRGRO048,1,1,2023-07-26T00:00:00Z,83,75,0,333.08,396.82,73.63,47.78,0,0,0
023_AABB,CRGRO048,1,1,2023-07-27T00:00:00Z,84,76,0,342.25,420.2,77.42,53.49,0,0,0
023_AABB,CRGRO048,1,1,2023-07-28T00:00:00Z,85,77,0,353.15,445.23,81.48,60,0,0,0
