EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,DAP,PODINF,PODNO,SEEDNO,WTSHELL,WTSEED,PCINF,AFCON,AFSUM
020_AAAV,CRGRO048,1,1,2020-06-27T00:00:00Z,54,46,0,0,0,0,0,0,0,0
020_AAAV,CRGRO048,1,1,2020-06-28T00:00:00Z,55,47,0,0,0,0,0,0,0,0
020_AAAV,CRGRO048,1,1,2020-06-29T00:00:00Z,56,48,0,0,0,0,0,0,0,0
020_AAAV,CRGRO048,1,1,2020-06-30T00:00:00Z,57,49,0,0,0,0,0,0,0,0
020_AAAV,CRGRO048,1,1,2020-07-01T00:00:00Z,58,50,0,0,0,0,0,0,0,0
020_AAAV,CRGRO048,1,1,2020-07-02T00:00:00Z,59,51,0,0,0,0,0,0,0,0
020_AAAV,CRGRO048,1,1,2020-07-03T00:00:00Z,60,52,0.21,7.52,0,0.26,0,2.81,0,0.1
020_AAAV,CRGRO048,1,1,2020-07-04T00:00:00Z,61,53,0.98,16.3,0,0.74,0,6.01,0,1.79
020_AAAV,CRGRO048,1,1,2020-07-05T00:00:00Z,62,54,1.78,24.9,0,1.45,0,7.15,0,5.17
020_AAAV,CRGRO048,1,1,2020-07-06T00:00:00Z,63,55,2.61,36.52,0,2.47,0,7.15,0,9.15
020_AAAV,CRGRO048,1,1,2020-07-07T00:00:00Z,64,56,3.17,48.95,0,3.79,0,6.47,0,10.4
020_AAAV,CRGRO048,1,1,2020-07-08T00:00:00Z,65,57,3.25,55.93,0,5.15,0,5.81,0,10.41
020_AAAV,CRGRO048,1,1,2020-07-09T00:00:00Z,66,58,3.25,60.93,11.37,6.51,0,5.34,0,10.41
020_AAAV,CRGRO048,1,1,2020-07-10T00:00:00Z,67,59,3.25,67.21,24.65,7.84,0.15,4.84,68.68,10.41
020_AAAV,CRGRO048,1,1,2020-07-11T00:00:00Z,68,60,3.25,76.42,37.72,9.43,0.48,4.26,21.52,10.41
020_AAAV,CRGRO048,1,1,2020-07-12T00:00:00Z,69,61,3.25,85.04,55.33,11.18,1,3.82,10.36,10.41
020_AAAV,CRGRO048,1,1,2020-07-13T00:00:00Z,70,62,3.25,95.6,74.14,13.15,1.76,3.4,5.9,10.41
020_AAAV,CRGRO048,1,1,2020-07-14T00:00:00Z,71,63,6.15,106.43,84.62,15.28,2.74,5.78,9.11,24.91
020_AAAV,CRGRO048,1,1,2020-07-15T00:00:00Z,72,64,9.15,117.22,93,17.75,3.89,7.81,13.92,54.21
020_AAAV,CRGRO048,1,1,2020-07-16T00:00:00Z,73,65,12.33,127.47,103.38,20.35,5.22,9.67,17.68,92.36
020_AAAV,CRGRO048,1,1,2020-07-17T00:00:00Z,74,66,17.67,138.21,117.91,22.99,6.7,12.79,28.65,192.01
020_AAAV,CRGRO048,1,1,2020-07-18T00:00:00Z,75,67,23.88,149.13,131.86,24.1,8.38,16.01,44.05,369.32
020_AAAV,CRGRO048,1,1,2020-07-19T00:00:00Z,76,68,30.35,152.63,148.56,23.93,9.35,19.89,70.88,662.33
020_AAAV,CRGRO048,1,1,2020-07-20T00:00:00Z,77,69,36.91,154.21,164.95,23.77,10.13,23.93,107.55,1089.38
020_AAAV,CRGRO048,1,1,2020-07-21T00:00:00Z,78,70,43.94,159.75,181.26,23.64,11.02,27.51,150.96,1664.31
020_AAAV,CRGRO048,1,1,2020-07-22T00:00:00Z,79,71,50.39,161.25,197.15,23.54,11.39,31.25,211.8,2412.98
020_AAAV,CRGRO048,1,1,2020-07-23T00:00:00Z,80,72,56.41,161.57,214.32,23.46,11.65,34.92,285.72,3329.32
020_AAAV,CRGRO048,1,1,2020-07-24T00:00:00Z,81,73,61.76,160.2,231.91,23.42,11.72,38.55,377.4,4424.35
020_AAAV,CRGRO048,1,1,2020-07-25T00:00:00Z,82,74,66.44,159.68,239.25,23.39,12.1,41.61,462.87,5600.54
020_AAAV,CRGRO048,1,1,2020-07-26T00:00:00Z,83,75,70.9,158.41,242.29,23.36,12.24,44.76,565.47,6921.09
020_AAAV,CRGRO048,1,1,2020-07-27T00:00:00Z,84,76,75.08,153.43,245.62,23.32,12.24,48.93,693.1,8483.34
020_AAAV,CRGRO048,1,1,2020-07-28T00:00:00Z,85,77,78.94,150.6,245.62,23.3,12.24,52.42,835.81,10230.04
020_AAAV,CRGRO048,1,1,2020-07-29T00:00:00Z,86,78,79.94,148.86,245.62,23.28,12.48,53.7,929.28,11599.88
020_AAAV,CRGRO048,1,1,2020-07-30T00:00:00Z,87,79,80.09,148.86,245.62,23.49,16.21,53.8,737.22,11947.19
020_AAAV,CRGRO048,1,1,2020-07-31T00:00:00Z,88,80,80.61,148.86,245.62,23.45,19.64,54.15,636.76,12508.41
020_AAAV,CRGRO048,1,1,2020-08-01T00:00:00Z,89,81,81.87,148.86,245.62,23.34,22.84,55,589.52,13466.45
020_AAAV,CRGRO048,1,1,2020-08-02T00:00:00Z,90,82,83.75,148.86,245.62,23.2,26.26,56.26,560.62,14721.86
020_AAAV,CRGRO048,1,1,2020-08-03T00:00:00Z,91,83,83.75,148.86,245.62,23.16,27.55,56.26,583.07,16063.46
020_AAAV,CRGRO048,1,1,2020-08-04T00:00:00Z,92,84,83.82,150.32,245.62,23.07,31.15,55.76,515.62,16063.49
020_AAAV,CRGRO048,1,1,2020-08-05T00:00:00Z,93,85,83.82,150.32,245.62,22.99,34.22,55.76,469.37,16063.49
020_AAAV,CRGRO048,1,1,2020-08-06T00:00:00Z,94,86,83.82,150.32,245.62,22.93,37.15,55.76,432.35,16063.49
020_AAAV,CRGRO048,1,1,2020-08-07T00:00:00Z,95,87,83.82,150.32,245.62,22.88,40.18,55.76,399.82,16063.49
020_AAAV,CRGRO048,1,1,2020-08-08T00:00:00Z,96,88,83.82,150.32,245.62,22.84,42.91,55.76,374.33,16063.49
020_AAAV,CRGRO048,1,1,2020-08-09T00:00:00Z,97,89,83.82,150.32,245.62,22.79,45.52,55.76,352.91,16063.49
020_AAAV,CRGRO048,1,1,2020-08-10T00:00:00Z,98,90,83.82,150.16,247.76,22.74,48.19,55.82,333.34,16063.49
020_AAAV,CRGRO048,1,1,2020-08-11T00:00:00Z,99,91,83.82,150.16,247.76,22.7,50.66,55.82,317.06,16063.49
020_AAAV,CRGRO048,1,1,2020-08-12T00:00:00Z,100,92,83.82,150.16,247.76,22.66,53.07,55.82,302.66,16063.49
020_AAAV,CRGRO048,1,1,2020-08-13T00:00:00Z,101,93,83.82,150.16,247.76,22.63,55.51,55.82,289.37,16063.49
020_AAAV,CRGRO048,1,1,2020-08-14T00:00:00Z,102,94,83.82,150.16,247.76,22.59,57.76,55.82,278.11,16063.49
020_AAAV,CRGRO048,1,1,2020-08-15T00:00:00Z,103,95,83.82,155.67,247.76,22.76,59.91,53.84,268.11,16063.49
020_AAAV,CRGRO048,1,1,2020-08-16T00:00:00Z,104,96,83.82,161.29,247.76,23.04,61.95,51.97,259.28,16063.49
