EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,LATFC,DTWT,MWTD,TDFD,TDFC,ROFD,ROSD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW8D,SW9D,SW10D,SW11D,SW12D
018_AAAM,CRGRO048,1,1,2018-05-04T00:00:00Z,0,256,64,0,0,0,0,0,0,174,0,0,0,0,0,0.086,0.086,0.086,0.086,0.086,0.118,0.118,0.135,0.129,0.129,0.178,0.258
018_AAAM,CRGRO048,1,1,2018-05-05T00:00:00Z,1,252,61,0,7,0,1,8,0,179,0,0,0,0,0,0.064,0.086,0.079,0.13,0.1,0.118,0.118,0.135,0.129,0.129,0.178,0.228
018_AAAM,CRGRO048,1,1,2018-05-06T00:00:00Z,2,247,55,0,10,0,1,8,0,181,0,0,0,0,0,0.013,0.066,0.063,0.123,0.119,0.146,0.118,0.135,0.129,0.129,0.178,0.214
018_AAAM,CRGRO048,1,1,2018-05-07T00:00:00Z,3,246,54,0,12,0,1,8,0,182,0,0,0,0,0,0.014,0.058,0.057,0.121,0.119,0.162,0.118,0.135,0.129,0.13,0.178,0.209
018_AAAM,CRGRO048,1,1,2018-05-08T00:00:00Z,4,245,53,0,12,0,1,8,0,183,0,0,0,0,0,0.014,0.054,0.055,0.121,0.119,0.167,0.119,0.135,0.129,0.13,0.178,0.206
018_AAAM,CRGRO048,1,1,2018-05-09T00:00:00Z,5,245,53,0,12,0,1,8,0,183,0,0,0,0,0,0.014,0.054,0.055,0.121,0.119,0.167,0.119,0.135,0.129,0.13,0.178,0.206
018_AAAM,CRGRO048,1,1,2018-05-10T00:00:00Z,6,245,53,0,12,0,1,8,0,183,0,0,0,0,0,0.014,0.053,0.055,0.121,0.119,0.166,0.119,0.135,0.129,0.13,0.178,0.206
018_AAAM,CRGRO048,1,1,2018-05-11T00:00:00Z,7,245,53,0,12,0,1,8,0,183,0,0,0,0,0,0.014,0.053,0.055,0.121,0.119,0.166,0.12,0.135,0.129,0.13,0.178,0.206
018_AAAM,CRGRO048,1,1,2018-05-12T00:00:00Z,8,249,57,0,12,4,1,8,0,183,0,0,0,0,0,0.075,0.057,0.056,0.122,0.12,0.168,0.12,0.135,0.129,0.13,0.178,0.206
018_AAAM,CRGRO048,1,1,2018-05-13T00:00:00Z,9,247,55,0,12,4,1,8,0,183,0,0,0,0,0,0.013,0.055,0.056,0.12,0.12,0.174,0.123,0.135,0.129,0.131,0.178,0.206
018_AAAM,CRGRO048,1,1,2018-05-14T00:00:00Z,10,247,55,0,12,4,1,8,0,183,0,0,0,0,0,0.014,0.054,0.056,0.12,0.12,0.173,0.124,0.135,0.129,0.131,0.178,0.206
018_AAAM,CRGRO048,1,1,2018-05-15T00:00:00Z,11,282,90,3,12,43,1,8,0,183,0,0,0,2.77,0,0.167,0.152,0.103,0.164,0.144,0.187,0.143,0.135,0.129,0.131,0.178,0.205
018_AAAM,CRGRO048,1,1,2018-05-16T00:00:00Z,12,287,95,3,12,51,1,8,0,183,0,0,0,0,0,0.089,0.126,0.102,0.181,0.163,0.203,0.178,0.138,0.129,0.131,0.178,0.205
018_AAAM,CRGRO048,1,1,2018-05-17T00:00:00Z,13,285,93,3,12,53,1,8,0,183,0,0,0,0,0,0.013,0.09,0.087,0.175,0.167,0.212,0.196,0.154,0.129,0.131,0.178,0.205
018_AAAM,CRGRO048,1,1,2018-05-18T00:00:00Z,14,294,102,3,12,62,1,8,0,183,0,0,0,0,0,0.122,0.083,0.079,0.165,0.163,0.213,0.205,0.175,0.129,0.131,0.178,0.205
018_AAAM,CRGRO048,1,1,2018-05-19T00:00:00Z,15,297,105,3,12,70,1,8,0,183,0,0,0,0,0,0.05,0.089,0.078,0.16,0.159,0.212,0.207,0.198,0.129,0.132,0.178,0.205
018_AAAM,CRGRO048,1,1,2018-05-20T00:00:00Z,16,295,103,3,12,70,1,8,0,183,0,0,0,0,0,0.013,0.067,0.062,0.135,0.135,0.189,0.187,0.198,0.194,0.164,0.178,0.205
018_AAAM,CRGRO048,1,1,2018-05-21T00:00:00Z,17,304,112,3,12,80,1,8,0,183,0,0,0,0,0,0.122,0.073,0.065,0.137,0.135,0.189,0.187,0.201,0.199,0.171,0.178,0.205
018_AAAM,CRGRO048,1,1,2018-05-22T00:00:00Z,18,320,128,3,12,100,1,8,0,183,0,0,0,0.17,0,0.08,0.133,0.09,0.159,0.147,0.196,0.191,0.203,0.203,0.185,0.178,0.205
018_AAAM,CRGRO048,1,1,2018-05-23T00:00:00Z,19,330,138,3,12,113,1,8,0,183,0,0,0,0,0,0.107,0.118,0.094,0.172,0.159,0.205,0.198,0.205,0.208,0.198,0.183,0.205
018_AAAM,CRGRO048,1,1,2018-05-24T00:00:00Z,20,347,155,3,12,132,1,8,0,183,0,0,0,0.12,0,0.136,0.142,0.105,0.187,0.172,0.216,0.207,0.209,0.214,0.207,0.196,0.204
018_AAAM,CRGRO048,1,1,2018-05-25T00:00:00Z,21,344,152,3,13,135,1,8,0,183,0,0,0,0,0,0.018,0.103,0.093,0.183,0.175,0.221,0.213,0.212,0.22,0.214,0.209,0.207
018_AAAM,CRGRO048,1,1,2018-05-26T00:00:00Z,22,344,152,3,16,139,1,8,0,182,0,0,0,0,0,0.071,0.076,0.078,0.168,0.168,0.22,0.215,0.214,0.224,0.219,0.217,0.213
018_AAAM,CRGRO048,1,1,2018-05-27T00:00:00Z,23,342,150,3,21,144,1,8,0,181,0,0,0,0,0,0.052,0.075,0.072,0.155,0.158,0.214,0.213,0.214,0.227,0.222,0.221,0.218
018_AAAM,CRGRO048,1,1,2018-05-28T00:00:00Z,24,347,155,3,26,157,1,8,0,180,0,0,0,0,0,0.129,0.088,0.074,0.153,0.153,0.209,0.209,0.213,0.226,0.223,0.223,0.221
018_AAAM,CRGRO048,1,1,2018-05-29T00:00:00Z,25,345,153,3,33,165,1,8,0,180,0,0,0,0,0,0.101,0.092,0.077,0.154,0.152,0.206,0.206,0.212,0.224,0.223,0.224,0.223
018_AAAM,CRGRO048,1,1,2018-05-30T00:00:00Z,26,364,172,5,39,197,1,8,0,180,0,0,0,2.38,0,0.089,0.152,0.116,0.19,0.171,0.215,0.21,0.212,0.224,0.223,0.224,0.223
018_AAAM,CRGRO048,1,1,2018-05-31T00:00:00Z,27,357,165,5,46,201,1,8,0,180,0,0,0,0,0,0.03,0.103,0.097,0.188,0.177,0.223,0.215,0.214,0.227,0.223,0.224,0.224
018_AAAM,CRGRO048,1,1,2018-06-01T00:00:00Z,28,352,160,5,53,204,1,8,0,180,0,0,0,0,0,0.06,0.075,0.079,0.17,0.17,0.222,0.217,0.215,0.233,0.224,0.225,0.224
018_AAAM,CRGRO048,1,1,2018-06-02T00:00:00Z,29,367,175,6,60,231,1,8,0,180,0,0,0,0.54,0,0.12,0.141,0.097,0.18,0.173,0.223,0.218,0.216,0.241,0.224,0.225,0.225
018_AAAM,CRGRO048,1,1,2018-06-03T00:00:00Z,30,357,165,6,67,233,1,8,0,180,0,0,0,0,0,0.013,0.098,0.087,0.175,0.171,0.222,0.219,0.217,0.25,0.224,0.225,0.225
018_AAAM,CRGRO048,1,1,2018-06-04T00:00:00Z,31,348,157,6,74,233,1,8,0,180,0,0,0,0,0,0.014,0.067,0.064,0.139,0.138,0.193,0.192,0.211,0.344,0.224,0.225,0.225
018_AAAM,CRGRO048,1,1,2018-06-05T00:00:00Z,32,340,148,6,82,233,1,8,0,180,0,0,0,0,0,0.014,0.055,0.055,0.125,0.125,0.181,0.181,0.21,0.344,0.224,0.225,0.225
018_AAAM,CRGRO048,1,1,2018-06-06T00:00:00Z,33,331,139,6,89,233,1,8,0,180,0,0,0,0,0,0.014,0.052,0.054,0.116,0.117,0.175,0.176,0.202,0.323,0.224,0.225,0.225
018_AAAM,CRGRO048,1,1,2018-06-07T00:00:00Z,34,323,131,6,96,233,1,8,0,180,0,0,0,0,0,0.014,0.05,0.052,0.113,0.114,0.174,0.175,0.198,0.281,0.224,0.225,0.225
018_AAAM,CRGRO048,1,1,2018-06-08T00:00:00Z,35,314,122,6,103,233,1,8,0,180,0,0,0,0,0,0.014,0.048,0.05,0.11,0.112,0.173,0.174,0.198,0.233,0.224,0.225,0.225
018_AAAM,CRGRO048,1,1,2018-06-09T00:00:00Z,36,308,117,6,110,235,1,8,0,180,0,0,0,0,0,0.054,0.047,0.049,0.108,0.109,0.171,0.173,0.198,0.21,0.215,0.221,0.223
018_AAAM,CRGRO048,1,1,2018-06-10T00:00:00Z,37,298,106,6,117,235,1,8,0,181,0,0,0,0,0,0.013,0.046,0.048,0.106,0.107,0.17,0.172,0.198,0.2,0.202,0.212,0.217
018_AAAM,CRGRO048,1,1,2018-06-11T00:00:00Z,38,293,101,6,121,235,1,8,0,182,0,0,0,0,0,0.014,0.044,0.046,0.104,0.105,0.168,0.17,0.197,0.197,0.197,0.208,0.21
018_AAAM,CRGRO048,1,1,2018-06-12T00:00:00Z,39,291,99,6,122,235,1,8,0,183,0,0,0,0,0,0.014,0.043,0.045,0.102,0.103,0.166,0.168,0.197,0.197,0.195,0.208,0.207
018_AAAM,CRGRO048,1,1,2018-06-13T00:00:00Z,40,318,126,7,122,265,1,8,0,183,0,0,0,0.55,0,0.167,0.133,0.081,0.137,0.122,0.171,0.167,0.196,0.197,0.195,0.208,0.207
018_AAAM,CRGRO048,1,1,2018-06-14T00:00:00Z,41,319,127,7,122,271,1,8,0,183,0,0,0,0,0,0.069,0.108,0.085,0.155,0.139,0.184,0.177,0.198,0.197,0.195,0.208,0.207
