EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,LATFC,DTWT,MWTD,TDFD,TDFC,ROFD,ROSD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW8D,SW9D,SW10D,SW11D,SW12D
019_AABC,CRGRO048,1,1,2019-05-04T00:00:00Z,0,256,64,0,0,0,0,0,0,174,0,0,0,0,0,0.086,0.086,0.086,0.086,0.086,0.118,0.118,0.135,0.129,0.129,0.178,0.258
019_AABC,CRGRO048,1,1,2019-05-05T00:00:00Z,1,255,63,0,7,3,1,8,0,179,0,0,0,0,0,0.087,0.091,0.081,0.132,0.103,0.118,0.118,0.135,0.129,0.129,0.178,0.228
019_AABC,CRGRO048,1,1,2019-05-06T00:00:00Z,2,249,57,0,10,3,1,8,0,181,0,0,0,0,0,0.013,0.068,0.064,0.124,0.119,0.159,0.118,0.135,0.129,0.129,0.178,0.214
019_AABC,CRGRO048,1,1,2019-05-07T00:00:00Z,3,248,56,0,12,3,1,8,0,182,0,0,0,0,0,0.014,0.059,0.058,0.121,0.119,0.174,0.122,0.135,0.129,0.13,0.178,0.209
019_AABC,CRGRO048,1,1,2019-05-08T00:00:00Z,4,247,55,0,12,3,1,8,0,183,0,0,0,0,0,0.014,0.055,0.055,0.121,0.119,0.173,0.128,0.135,0.129,0.13,0.178,0.206
019_AABC,CRGRO048,1,1,2019-05-09T00:00:00Z,5,252,60,0,12,8,1,8,0,183,0,0,0,0,0,0.084,0.06,0.057,0.123,0.121,0.176,0.128,0.135,0.129,0.13,0.178,0.206
019_AABC,CRGRO048,1,1,2019-05-10T00:00:00Z,6,263,71,0,12,22,1,8,0,183,0,0,0,0,0,0.096,0.094,0.071,0.137,0.13,0.18,0.138,0.135,0.129,0.13,0.178,0.206
019_AABC,CRGRO048,1,1,2019-05-11T00:00:00Z,7,276,84,0,12,39,1,8,0,183,0,0,0,0,0,0.084,0.125,0.089,0.159,0.145,0.19,0.161,0.135,0.129,0.13,0.178,0.206
019_AABC,CRGRO048,1,1,2019-05-12T00:00:00Z,8,278,86,0,12,44,1,8,0,183,0,0,0,0,0,0.059,0.095,0.084,0.163,0.153,0.199,0.183,0.141,0.129,0.13,0.178,0.206
019_AABC,CRGRO048,1,1,2019-05-13T00:00:00Z,9,276,84,0,12,44,1,8,0,183,0,0,0,0,0,0.014,0.072,0.073,0.155,0.152,0.202,0.193,0.155,0.129,0.131,0.178,0.206
