EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,LATFC,DTWT,MWTD,TDFD,TDFC,ROFD,ROSD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW8D,SW9D,SW10D,SW11D,SW12D
022_AABB,CRGRO048,1,1,2022-05-04T00:00:00Z,0,256,64,0,0,0,0,0,0,174,0,0,0,0,0,0.086,0.086,0.086,0.086,0.086,0.118,0.118,0.135,0.129,0.129,0.178,0.258
022_AABB,CRGRO048,1,1,2022-05-05T00:00:00Z,1,252,61,0,7,0,1,8,0,179,0,0,0,0,0,0.064,0.086,0.079,0.13,0.1,0.118,0.118,0.135,0.129,0.129,0.178,0.228
022_AABB,CRGRO048,1,1,2022-05-06T00:00:00Z,2,257,65,0,10,10,1,8,0,181,0,0,0,0,0,0.103,0.09,0.078,0.146,0.126,0.128,0.118,0.135,0.129,0.129,0.178,0.214
022_AABB,CRGRO048,1,1,2022-05-07T00:00:00Z,3,253,61,0,12,10,1,8,0,182,0,0,0,0,0,0.013,0.068,0.063,0.13,0.121,0.174,0.138,0.135,0.129,0.13,0.178,0.209
022_AABB,CRGRO048,1,1,2022-05-08T00:00:00Z,4,252,60,0,12,10,1,8,0,183,0,0,0,0,0,0.014,0.058,0.057,0.123,0.121,0.174,0.157,0.135,0.129,0.13,0.178,0.206
022_AABB,CRGRO048,1,1,2022-05-09T00:00:00Z,5,252,60,0,12,10,1,8,0,183,0,0,0,0,0,0.014,0.055,0.055,0.121,0.121,0.174,0.164,0.135,0.129,0.13,0.178,0.206
022_AABB,CRGRO048,1,1,2022-05-10T00:00:00Z,6,252,60,0,12,10,1,8,0,183,0,0,0,0,0,0.014,0.054,0.055,0.121,0.121,0.174,0.164,0.135,0.129,0.13,0.178,0.206
022_AABB,CRGRO048,1,1,2022-05-11T00:00:00Z,7,252,60,0,12,10,1,8,0,183,0,0,0,0,0,0.014,0.053,0.055,0.121,0.121,0.174,0.164,0.135,0.129,0.13,0.178,0.206
022_AABB,CRGRO048,1,1,2022-05-12T00:00:00Z,8,252,60,0,12,10,1,8,0,183,0,0,0,0,0,0.014,0.053,0.055,0.121,0.121,0.173,0.164,0.135,0.129,0.13,0.178,0.206
022_AABB,CRGRO048,1,1,2022-05-13T00:00:00Z,9,252,60,0,12,10,1,8,0,183,0,0,0,0,0,0.014,0.052,0.055,0.121,0.121,0.173,0.164,0.136,0.129,0.131,0.178,0.206
022_AABB,CRGRO048,1,1,2022-05-14T00:00:00Z,10,252,60,0,12,10,1,8,0,183,0,0,0,0,0,0.014,0.052,0.055,0.121,0.121,0.173,0.164,0.136,0.129,0.131,0.178,0.206
022_AABB,CRGRO048,1,1,2022-05-15T00:00:00Z,11,252,60,0,12,10,1,8,0,183,0,0,0,0,0,0.014,0.051,0.055,0.121,0.121,0.173,0.164,0.136,0.129,0.131,0.178,0.205
022_AABB,CRGRO048,1,1,2022-05-16T00:00:00Z,12,252,60,0,12,10,1,8,0,183,0,0,0,0,0,0.014,0.051,0.055,0.121,0.121,0.173,0.164,0.136,0.129,0.131,0.178,0.205
022_AABB,CRGRO048,1,1,2022-05-17T00:00:00Z,13,252,60,0,12,10,1,8,0,183,0,0,0,0,0,0.014,0.05,0.055,0.121,0.121,0.173,0.164,0.136,0.129,0.131,0.178,0.205
022_AABB,CRGRO048,1,1,2022-05-18T00:00:00Z,14,252,60,0,12,10,1,8,0,183,0,0,0,0,0,0.014,0.05,0.055,0.121,0.121,0.173,0.163,0.136,0.129,0.131,0.178,0.205
022_AABB,CRGRO048,1,1,2022-05-19T00:00:00Z,15,252,60,0,12,10,1,8,0,183,0,0,0,0,0,0.014,0.049,0.054,0.121,0.121,0.173,0.163,0.136,0.129,0.132,0.178,0.205
022_AABB,CRGRO048,1,1,2022-05-20T00:00:00Z,16,251,60,0,12,10,1,8,0,183,0,0,0,0,0,0.014,0.048,0.054,0.121,0.121,0.172,0.163,0.136,0.129,0.132,0.178,0.205
022_AABB,CRGRO048,1,1,2022-05-21T00:00:00Z,17,251,59,0,12,10,1,8,0,183,0,0,0,0,0,0.014,0.048,0.053,0.121,0.121,0.172,0.163,0.136,0.129,0.132,0.178,0.205
022_AABB,CRGRO048,1,1,2022-05-22T00:00:00Z,18,262,70,0,12,21,1,8,0,183,0,0,0,0,0,0.134,0.069,0.06,0.126,0.124,0.176,0.166,0.136,0.129,0.132,0.178,0.205
022_AABB,CRGRO048,1,1,2022-05-23T00:00:00Z,19,259,67,0,12,23,1,8,0,183,0,0,0,0,0,0.015,0.071,0.063,0.131,0.127,0.179,0.173,0.136,0.129,0.132,0.178,0.205
022_AABB,CRGRO048,1,1,2022-05-24T00:00:00Z,20,265,73,0,12,29,1,8,0,183,0,0,0,0,0,0.093,0.068,0.063,0.133,0.13,0.182,0.178,0.139,0.129,0.132,0.178,0.204
022_AABB,CRGRO048,1,1,2022-05-25T00:00:00Z,21,262,70,0,12,29,1,8,0,183,0,0,0,0,0,0.013,0.058,0.057,0.124,0.123,0.177,0.175,0.159,0.129,0.133,0.178,0.204
022_AABB,CRGRO048,1,1,2022-05-26T00:00:00Z,22,264,72,0,12,31,1,8,0,183,0,0,0,0,0,0.054,0.054,0.055,0.123,0.123,0.178,0.176,0.161,0.129,0.133,0.178,0.204
022_AABB,CRGRO048,1,1,2022-05-27T00:00:00Z,23,261,70,0,12,31,1,8,0,183,0,0,0,0,0,0.013,0.053,0.054,0.119,0.12,0.175,0.176,0.164,0.129,0.133,0.178,0.204
022_AABB,CRGRO048,1,1,2022-05-28T00:00:00Z,24,261,69,0,12,31,1,8,0,183,0,0,0,0,0,0.014,0.052,0.054,0.118,0.12,0.175,0.176,0.164,0.13,0.133,0.178,0.204
022_AABB,CRGRO048,1,1,2022-05-29T00:00:00Z,25,261,69,0,12,31,1,8,0,183,0,0,0,0,0,0.014,0.051,0.053,0.117,0.119,0.175,0.176,0.164,0.13,0.133,0.178,0.204
022_AABB,CRGRO048,1,1,2022-05-30T00:00:00Z,26,260,68,0,12,31,1,8,0,183,0,0,0,0,0,0.014,0.05,0.052,0.116,0.118,0.175,0.175,0.164,0.13,0.133,0.178,0.204
022_AABB,CRGRO048,1,1,2022-05-31T00:00:00Z,27,260,68,0,12,31,1,8,0,183,0,0,0,0,0,0.014,0.049,0.052,0.115,0.117,0.175,0.175,0.164,0.13,0.134,0.178,0.204
022_AABB,CRGRO048,1,1,2022-06-01T00:00:00Z,28,259,67,0,12,31,1,8,0,183,0,0,0,0,0,0.014,0.048,0.051,0.113,0.116,0.175,0.175,0.164,0.13,0.134,0.178,0.204
022_AABB,CRGRO048,1,1,2022-06-02T00:00:00Z,29,259,67,0,12,31,1,8,0,183,0,0,0,0,0,0.014,0.047,0.05,0.112,0.115,0.175,0.175,0.164,0.13,0.134,0.178,0.203
022_AABB,CRGRO048,1,1,2022-06-03T00:00:00Z,30,258,66,0,12,31,1,8,0,183,0,0,0,0,0,0.014,0.046,0.05,0.111,0.113,0.174,0.175,0.164,0.13,0.134,0.178,0.203
