EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,LATFC,DTWT,MWTD,TDFD,TDFC,ROFD,ROSD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW8D,SW9D,SW10D,SW11D,SW12D,SW13D,SW14D
019_AAAC,CRGRO048,1,1,2019-05-04T00:00:00Z,0,496,79,0,0,0,0,0,0,274,0,0,0,0,0,0.086,0.086,0.086,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.258,0.182
019_AAAC,CRGRO048,1,1,2019-05-05T00:00:00Z,1,512,95,0,3,13,1,8,0,269,0,0,0,0,0,0.217,0.179,0.151,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.235,0.184
019_AAAC,CRGRO048,1,1,2019-05-06T00:00:00Z,2,504,86,0,5,13,1,8,0,269,0,0,0,0,0,0.054,0.165,0.155,0.123,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.226,0.184
019_AAAC,CRGRO048,1,1,2019-05-07T00:00:00Z,3,503,85,0,6,13,1,8,0,269,0,0,0,0,0,0.059,0.158,0.155,0.128,0.091,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
019_AAAC,CRGRO048,1,1,2019-05-08T00:00:00Z,4,503,85,0,6,13,1,8,0,269,0,0,0,0,0,0.059,0.156,0.153,0.129,0.091,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
019_AAAC,CRGRO048,1,1,2019-05-09T00:00:00Z,5,502,85,0,6,13,1,8,0,269,0,0,0,0,0,0.058,0.154,0.152,0.129,0.092,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
019_AAAC,CRGRO048,1,1,2019-05-10T00:00:00Z,6,504,86,0,6,15,1,8,0,269,0,0,0,0,0,0.088,0.152,0.15,0.129,0.092,0.17,0.17,0.17,0.215,0.215,0.168,0.209,0.222,0.184
019_AAAC,CRGRO048,1,1,2019-05-11T00:00:00Z,7,502,85,0,6,15,1,8,0,269,0,0,0,0,0,0.058,0.15,0.149,0.129,0.093,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
019_AAAC,CRGRO048,1,1,2019-05-12T00:00:00Z,8,521,103,0,6,34,1,8,0,269,0,0,0,0,0,0.249,0.191,0.195,0.16,0.095,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
019_AAAC,CRGRO048,1,1,2019-05-13T00:00:00Z,9,517,100,0,6,34,1,8,0,269,0,0,0,0,0,0.118,0.17,0.172,0.159,0.16,0.171,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
