EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,LATFC,DTWT,MWTD,TDFD,TDFC,ROFD,ROSD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW8D,SW9D,SW10D,SW11D,SW12D,SW13D,SW14D
019_AAAT,CRGRO048,1,1,2019-05-04T00:00:00Z,0,496,79,0,0,0,0,0,0,274,0,0,0,0,0,0.086,0.086,0.086,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.258,0.182
019_AAAT,CRGRO048,1,1,2019-05-05T00:00:00Z,1,500,82,0,3,1,1,8,0,269,0,0,0,0,0,0.169,0.112,0.086,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.235,0.184
019_AAAT,CRGRO048,1,1,2019-05-06T00:00:00Z,2,492,75,0,5,1,1,8,0,269,0,0,0,0,0,0.054,0.116,0.087,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.226,0.184
019_AAAT,CRGRO048,1,1,2019-05-07T00:00:00Z,3,491,74,0,6,1,1,8,0,269,0,0,0,0,0,0.056,0.115,0.088,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
019_AAAT,CRGRO048,1,1,2019-05-08T00:00:00Z,4,491,74,0,6,1,1,8,0,269,0,0,0,0,0,0.055,0.114,0.088,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
019_AAAT,CRGRO048,1,1,2019-05-09T00:00:00Z,5,497,80,0,6,6,1,8,0,269,0,0,0,0,0,0.162,0.116,0.089,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
019_AAAT,CRGRO048,1,1,2019-05-10T00:00:00Z,6,495,78,0,6,9,1,8,0,269,0,0,0,0,0,0.097,0.13,0.09,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.209,0.222,0.184
019_AAAT,CRGRO048,1,1,2019-05-11T00:00:00Z,7,493,76,0,6,9,1,8,0,269,0,0,0,0,0,0.062,0.128,0.091,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
019_AAAT,CRGRO048,1,1,2019-05-12T00:00:00Z,8,495,78,0,6,11,1,8,0,269,0,0,0,0,0,0.102,0.127,0.093,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
019_AAAT,CRGRO048,1,1,2019-05-13T00:00:00Z,9,493,75,0,6,11,1,8,0,269,0,0,0,0,0,0.055,0.125,0.094,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
