EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,LATFC,DTWT,MWTD,TDFD,TDFC,ROFD,ROSD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW8D,SW9D,SW10D,SW11D,SW12D,SW13D,SW14D
019_AABB,CRGRO048,1,1,2019-05-04T00:00:00Z,0,496,79,0,0,0,0,0,0,274,0,0,0,0,0,0.086,0.086,0.086,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.258,0.182
019_AABB,CRGRO048,1,1,2019-05-05T00:00:00Z,1,500,83,0,3,1,1,8,0,269,0,0,0,0,0,0.171,0.113,0.086,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.235,0.184
019_AABB,CRGRO048,1,1,2019-05-06T00:00:00Z,2,492,75,0,5,1,1,8,0,269,0,0,0,0,0,0.054,0.118,0.087,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.226,0.184
019_AABB,CRGRO048,1,1,2019-05-07T00:00:00Z,3,492,74,0,6,1,1,8,0,269,0,0,0,0,0,0.056,0.116,0.088,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
019_AABB,CRGRO048,1,1,2019-05-08T00:00:00Z,4,492,74,0,6,1,1,8,0,269,0,0,0,0,0,0.056,0.115,0.089,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
019_AABB,CRGRO048,1,1,2019-05-09T00:00:00Z,5,495,77,0,6,4,1,8,0,269,0,0,0,0,0,0.115,0.114,0.089,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
019_AABB,CRGRO048,1,1,2019-05-10T00:00:00Z,6,494,76,0,6,6,1,8,0,269,0,0,0,0,0,0.098,0.115,0.09,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.209,0.222,0.184
019_AABB,CRGRO048,1,1,2019-05-11T00:00:00Z,7,521,104,2,6,38,1,8,0,269,0,0,0,1.59,0,0.206,0.228,0.217,0.14,0.09,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
019_AABB,CRGRO048,1,1,2019-05-12T00:00:00Z,8,524,106,2,6,42,1,8,0,269,0,0,0,0,0,0.181,0.2,0.232,0.177,0.117,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
019_AABB,CRGRO048,1,1,2019-05-13T00:00:00Z,9,520,103,2,6,42,1,8,0,269,0,0,0,0,0,0.094,0.178,0.212,0.183,0.156,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
019_AABB,CRGRO048,1,1,2019-05-14T00:00:00Z,10,518,101,2,6,42,1,8,0,269,0,0,0,0,0,0.058,0.163,0.179,0.169,0.158,0.201,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
019_AABB,CRGRO048,1,1,2019-05-15T00:00:00Z,11,518,101,2,6,42,1,8,0,269,0,0,0,0,0,0.059,0.157,0.166,0.163,0.158,0.213,0.17,0.17,0.215,0.215,0.17,0.209,0.222,0.184
