EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,LATFC,DTWT,MWTD,TDFD,TDFC,ROFD,ROSD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW8D,SW9D,SW10D,SW11D,SW12D,SW13D,SW14D
020_AAAR,CRGRO048,1,1,2020-05-04T00:00:00Z,0,496,79,0,0,0,0,0,0,274,0,0,0,0,0,0.086,0.086,0.086,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.258,0.182
020_AAAR,CRGRO048,1,1,2020-05-05T00:00:00Z,1,499,82,0,3,0,1,8,0,269,0,0,0,0,0,0.162,0.107,0.086,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.235,0.184
020_AAAR,CRGRO048,1,1,2020-05-06T00:00:00Z,2,492,74,0,5,0,1,8,0,269,0,0,0,0,0,0.054,0.11,0.087,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.226,0.184
020_AAAR,CRGRO048,1,1,2020-05-07T00:00:00Z,3,491,73,0,6,0,1,8,0,269,0,0,0,0,0,0.055,0.109,0.087,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
020_AAAR,CRGRO048,1,1,2020-05-08T00:00:00Z,4,491,73,0,6,0,1,8,0,269,0,0,0,0,0,0.055,0.108,0.088,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
020_AAAR,CRGRO048,1,1,2020-05-09T00:00:00Z,5,491,73,0,6,0,1,8,0,269,0,0,0,0,0,0.055,0.107,0.088,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
020_AAAR,CRGRO048,1,1,2020-05-10T00:00:00Z,6,491,73,0,6,0,1,8,0,269,0,0,0,0,0,0.055,0.107,0.089,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.209,0.222,0.184
020_AAAR,CRGRO048,1,1,2020-05-11T00:00:00Z,7,491,73,0,6,0,1,8,0,269,0,0,0,0,0,0.055,0.106,0.089,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
020_AAAR,CRGRO048,1,1,2020-05-12T00:00:00Z,8,491,73,0,6,0,1,8,0,269,0,0,0,0,0,0.055,0.105,0.089,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
020_AAAR,CRGRO048,1,1,2020-05-13T00:00:00Z,9,491,73,0,6,0,1,8,0,269,0,0,0,0,0,0.055,0.105,0.09,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
020_AAAR,CRGRO048,1,1,2020-05-14T00:00:00Z,10,491,73,0,6,0,1,8,0,269,0,0,0,0,0,0.055,0.104,0.09,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
020_AAAR,CRGRO048,1,1,2020-05-15T00:00:00Z,11,490,73,0,6,0,1,8,0,269,0,0,0,0,0,0.055,0.103,0.09,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.17,0.209,0.222,0.184
020_AAAR,CRGRO048,1,1,2020-05-16T00:00:00Z,12,490,73,0,6,0,1,8,0,269,0,0,0,0,0,0.055,0.103,0.09,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.17,0.209,0.221,0.184
020_AAAR,CRGRO048,1,1,2020-05-17T00:00:00Z,13,491,74,0,6,1,1,8,0,269,0,0,0,0,0,0.075,0.102,0.091,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.17,0.209,0.221,0.184
020_AAAR,CRGRO048,1,1,2020-05-18T00:00:00Z,14,490,73,0,6,1,1,8,0,269,0,0,0,0,0,0.055,0.102,0.091,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.17,0.209,0.221,0.184
020_AAAR,CRGRO048,1,1,2020-05-19T00:00:00Z,15,490,73,0,6,1,1,8,0,269,0,0,0,0,0,0.055,0.102,0.091,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.17,0.209,0.221,0.184
020_AAAR,CRGRO048,1,1,2020-05-20T00:00:00Z,16,537,119,12,6,59,1,8,0,269,0,0,0,11.66,0,0.249,0.237,0.237,0.203,0.156,0.17,0.17,0.17,0.215,0.215,0.171,0.209,0.221,0.184
020_AAAR,CRGRO048,1,1,2020-05-21T00:00:00Z,17,532,114,12,6,59,1,8,0,269,0,0,0,0,0,0.094,0.189,0.189,0.177,0.158,0.242,0.193,0.17,0.215,0.215,0.171,0.209,0.221,0.184
020_AAAR,CRGRO048,1,1,2020-05-22T00:00:00Z,18,540,122,12,6,69,1,8,0,269,0,0,0,0,0,0.183,0.182,0.203,0.181,0.172,0.246,0.203,0.17,0.215,0.215,0.171,0.209,0.221,0.184
020_AAAR,CRGRO048,1,1,2020-05-23T00:00:00Z,19,534,117,12,6,69,1,8,0,269,0,0,0,0,0,0.054,0.17,0.191,0.179,0.176,0.25,0.218,0.17,0.215,0.215,0.171,0.209,0.221,0.184
020_AAAR,CRGRO048,1,1,2020-05-24T00:00:00Z,20,534,117,12,6,69,1,8,0,269,0,0,0,0,0,0.059,0.159,0.17,0.167,0.166,0.244,0.241,0.185,0.215,0.215,0.171,0.208,0.221,0.184
020_AAAR,CRGRO048,1,1,2020-05-25T00:00:00Z,21,554,137,12,6,90,1,8,0,269,0,0,0,0.04,0,0.249,0.2,0.217,0.182,0.176,0.249,0.246,0.193,0.215,0.215,0.172,0.208,0.221,0.184
020_AAAR,CRGRO048,1,1,2020-05-26T00:00:00Z,22,555,138,12,6,94,1,8,0,269,0,0,0,0,0,0.179,0.191,0.222,0.19,0.184,0.255,0.251,0.208,0.215,0.215,0.172,0.208,0.221,0.184
