EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,LATFC,DTWT,MWTD,TDFD,TDFC,ROFD,ROSD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW8D,SW9D,SW10D,SW11D,SW12D,SW13D,SW14D
021_AAAA,CRGRO048,1,1,2021-05-04T00:00:00Z,0,496,79,0,0,0,0,0,0,274,0,0,0,0,0,0.086,0.086,0.086,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.258,0.182
021_AAAA,CRGRO048,1,1,2021-05-05T00:00:00Z,1,499,82,0,3,0,1,8,0,269,0,0,0,0,0,0.164,0.109,0.086,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.235,0.184
021_AAAA,CRGRO048,1,1,2021-05-06T00:00:00Z,2,492,74,0,6,1,1,8,0,270,0,0,0,0,0,0.054,0.113,0.087,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.226,0.184
021_AAAA,CRGRO048,1,1,2021-05-07T00:00:00Z,3,491,73,0,7,1,1,8,0,270,0,0,0,0,0,0.055,0.112,0.087,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
021_AAAA,CRGRO048,1,1,2021-05-08T00:00:00Z,4,491,73,0,7,1,1,8,0,270,0,0,0,0,0,0.055,0.111,0.088,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
021_AAAA,CRGRO048,1,1,2021-05-09T00:00:00Z,5,491,73,0,7,1,1,8,0,270,0,0,0,0,0,0.055,0.111,0.089,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
021_AAAA,CRGRO048,1,1,2021-05-10T00:00:00Z,6,491,73,0,7,1,1,8,0,270,0,0,0,0,0,0.055,0.11,0.089,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.209,0.222,0.184
021_AAAA,CRGRO048,1,1,2021-05-11T00:00:00Z,7,491,73,0,7,1,1,8,0,270,0,0,0,0,0,0.061,0.109,0.09,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
021_AAAA,CRGRO048,1,1,2021-05-12T00:00:00Z,8,499,81,0,7,9,1,8,0,270,0,0,0,0,0,0.184,0.128,0.09,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
021_AAAA,CRGRO048,1,1,2021-05-13T00:00:00Z,9,494,77,0,7,9,1,8,0,270,0,0,0,0,0,0.076,0.136,0.092,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
021_AAAA,CRGRO048,1,1,2021-05-14T00:00:00Z,10,494,76,0,7,10,1,8,0,270,0,0,0,0,0,0.063,0.134,0.093,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
021_AAAA,CRGRO048,1,1,2021-05-15T00:00:00Z,11,493,76,0,7,10,1,8,0,270,0,0,0,0,0,0.057,0.132,0.095,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.17,0.209,0.222,0.184
021_AAAA,CRGRO048,1,1,2021-05-16T00:00:00Z,12,493,76,0,7,10,1,8,0,270,0,0,0,0,0,0.056,0.13,0.096,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.17,0.209,0.221,0.184
021_AAAA,CRGRO048,1,1,2021-05-17T00:00:00Z,13,493,76,0,7,10,1,8,0,270,0,0,0,0,0,0.056,0.128,0.097,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.17,0.209,0.221,0.184
021_AAAA,CRGRO048,1,1,2021-05-18T00:00:00Z,14,493,75,0,7,10,1,8,0,270,0,0,0,0,0,0.056,0.127,0.098,0.092,0.09,0.17,0.17,0.17,0.215,0.215,0.17,0.209,0.221,0.184
021_AAAA,CRGRO048,1,1,2021-05-19T00:00:00Z,15,493,75,0,7,10,1,8,0,270,0,0,0,0,0,0.056,0.125,0.099,0.092,0.09,0.17,0.17,0.17,0.215,0.215,0.17,0.209,0.221,0.184
021_AAAA,CRGRO048,1,1,2021-05-20T00:00:00Z,16,493,75,0,7,10,1,8,0,270,0,0,0,0,0,0.056,0.124,0.099,0.092,0.09,0.17,0.17,0.17,0.215,0.215,0.171,0.209,0.221,0.184
021_AAAA,CRGRO048,1,1,2021-05-21T00:00:00Z,17,493,75,0,7,10,1,8,0,270,0,0,0,0,0,0.056,0.122,0.1,0.092,0.09,0.17,0.17,0.17,0.215,0.215,0.171,0.209,0.221,0.184
021_AAAA,CRGRO048,1,1,2021-05-22T00:00:00Z,18,493,75,0,7,10,1,8,0,270,0,0,0,0,0,0.056,0.121,0.1,0.093,0.09,0.17,0.17,0.17,0.215,0.215,0.171,0.209,0.221,0.184
021_AAAA,CRGRO048,1,1,2021-05-23T00:00:00Z,19,492,75,0,7,10,1,8,0,270,0,0,0,0,0,0.056,0.12,0.101,0.093,0.09,0.17,0.17,0.17,0.215,0.215,0.171,0.209,0.221,0.184
021_AAAA,CRGRO048,1,1,2021-05-24T00:00:00Z,20,492,75,0,7,10,1,8,0,270,0,0,0,0,0,0.056,0.119,0.101,0.093,0.09,0.17,0.17,0.17,0.215,0.215,0.171,0.208,0.221,0.184
