EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,LATFC,DTWT,MWTD,TDFD,TDFC,ROFD,ROSD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW8D,SW9D,SW10D,SW11D,SW12D,SW13D,SW14D
021_AAAI,CRGRO048,1,1,2021-05-04T00:00:00Z,0,496,79,0,0,0,0,0,0,274,0,0,0,0,0,0.086,0.086,0.086,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.258,0.182
021_AAAI,CRGRO048,1,1,2021-05-05T00:00:00Z,1,500,83,0,3,1,1,8,0,269,0,0,0,0,0,0.171,0.113,0.086,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.235,0.184
021_AAAI,CRGRO048,1,1,2021-05-06T00:00:00Z,2,492,75,0,5,1,1,8,0,269,0,0,0,0,0,0.054,0.118,0.087,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.226,0.184
021_AAAI,CRGRO048,1,1,2021-05-07T00:00:00Z,3,492,74,0,6,1,1,8,0,269,0,0,0,0,0,0.056,0.116,0.088,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
021_AAAI,CRGRO048,1,1,2021-05-08T00:00:00Z,4,492,74,0,6,1,1,8,0,269,0,0,0,0,0,0.056,0.115,0.089,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
021_AAAI,CRGRO048,1,1,2021-05-09T00:00:00Z,5,492,74,0,6,1,1,8,0,269,0,0,0,0,0,0.055,0.114,0.089,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
021_AAAI,CRGRO048,1,1,2021-05-10T00:00:00Z,6,497,79,0,6,6,1,8,0,269,0,0,0,0,0,0.157,0.113,0.09,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.209,0.222,0.184
021_AAAI,CRGRO048,1,1,2021-05-11T00:00:00Z,7,509,91,0,6,23,1,8,0,269,0,0,0,0,0,0.146,0.19,0.169,0.1,0.09,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
021_AAAI,CRGRO048,1,1,2021-05-12T00:00:00Z,8,525,107,0,6,42,1,8,0,269,0,0,0,0.26,0,0.199,0.225,0.234,0.167,0.101,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
021_AAAI,CRGRO048,1,1,2021-05-13T00:00:00Z,9,520,103,0,6,42,1,8,0,269,0,0,0,0,0,0.086,0.184,0.188,0.161,0.16,0.192,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
021_AAAI,CRGRO048,1,1,2021-05-14T00:00:00Z,10,519,102,0,6,43,1,8,0,269,0,0,0,0,0,0.064,0.166,0.182,0.168,0.164,0.199,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
021_AAAI,CRGRO048,1,1,2021-05-15T00:00:00Z,11,519,101,0,6,43,1,8,0,269,0,0,0,0,0,0.059,0.158,0.167,0.163,0.16,0.215,0.17,0.17,0.215,0.215,0.17,0.209,0.222,0.184
021_AAAI,CRGRO048,1,1,2021-05-16T00:00:00Z,12,518,101,0,6,43,1,8,0,269,0,0,0,0,0,0.059,0.156,0.161,0.16,0.16,0.219,0.171,0.17,0.215,0.215,0.17,0.209,0.221,0.184
021_AAAI,CRGRO048,1,1,2021-05-17T00:00:00Z,13,518,101,0,6,43,1,8,0,269,0,0,0,0,0,0.059,0.154,0.158,0.16,0.159,0.22,0.171,0.17,0.215,0.215,0.17,0.209,0.221,0.184
021_AAAI,CRGRO048,1,1,2021-05-18T00:00:00Z,14,518,101,0,6,43,1,8,0,269,0,0,0,0,0,0.058,0.153,0.158,0.16,0.159,0.219,0.172,0.17,0.215,0.215,0.17,0.209,0.221,0.184
021_AAAI,CRGRO048,1,1,2021-05-19T00:00:00Z,15,518,100,0,6,43,1,8,0,269,0,0,0,0,0,0.058,0.151,0.157,0.16,0.158,0.219,0.172,0.17,0.215,0.215,0.17,0.209,0.221,0.184
021_AAAI,CRGRO048,1,1,2021-05-20T00:00:00Z,16,518,100,0,6,43,1,8,0,269,0,0,0,0,0,0.058,0.149,0.157,0.16,0.158,0.219,0.173,0.17,0.215,0.215,0.171,0.209,0.221,0.184
021_AAAI,CRGRO048,1,1,2021-05-21T00:00:00Z,17,517,100,0,6,43,1,8,0,269,0,0,0,0,0,0.058,0.148,0.156,0.16,0.157,0.219,0.173,0.17,0.215,0.215,0.171,0.209,0.221,0.184
021_AAAI,CRGRO048,1,1,2021-05-22T00:00:00Z,18,517,100,0,6,43,1,8,0,269,0,0,0,0,0,0.058,0.146,0.155,0.16,0.157,0.219,0.173,0.17,0.215,0.215,0.171,0.209,0.221,0.184
021_AAAI,CRGRO048,1,1,2021-05-23T00:00:00Z,19,517,99,0,6,43,1,8,0,269,0,0,0,0,0,0.058,0.144,0.153,0.159,0.156,0.219,0.174,0.17,0.215,0.215,0.171,0.209,0.221,0.184
021_AAAI,CRGRO048,1,1,2021-05-24T00:00:00Z,20,516,99,0,6,43,1,8,0,269,0,0,0,0,0,0.057,0.142,0.152,0.159,0.156,0.219,0.174,0.17,0.215,0.215,0.171,0.208,0.221,0.184
021_AAAI,CRGRO048,1,1,2021-05-25T00:00:00Z,21,516,99,0,6,43,1,8,0,269,0,0,0,0,0,0.057,0.14,0.151,0.158,0.156,0.219,0.175,0.17,0.215,0.215,0.172,0.208,0.221,0.184
021_AAAI,CRGRO048,1,1,2021-05-26T00:00:00Z,22,516,98,0,6,43,1,8,0,269,0,0,0,0,0,0.057,0.138,0.149,0.157,0.155,0.219,0.175,0.17,0.215,0.215,0.172,0.208,0.221,0.184
021_AAAI,CRGRO048,1,1,2021-05-27T00:00:00Z,23,515,98,0,6,43,1,8,0,269,0,0,0,0,0,0.057,0.136,0.148,0.156,0.155,0.219,0.175,0.17,0.215,0.215,0.172,0.208,0.22,0.184
021_AAAI,CRGRO048,1,1,2021-05-28T00:00:00Z,24,515,98,0,6,43,1,8,0,269,0,0,0,0,0,0.057,0.134,0.146,0.155,0.154,0.219,0.176,0.17,0.215,0.215,0.172,0.208,0.22,0.184
021_AAAI,CRGRO048,1,1,2021-05-29T00:00:00Z,25,519,101,0,6,47,1,8,0,269,0,0,0,0,0,0.139,0.132,0.144,0.154,0.153,0.219,0.176,0.17,0.215,0.215,0.172,0.208,0.22,0.184
021_AAAI,CRGRO048,1,1,2021-05-30T00:00:00Z,26,514,97,0,6,47,1,8,0,269,0,0,0,0,0,0.054,0.132,0.142,0.152,0.153,0.218,0.177,0.17,0.215,0.215,0.173,0.208,0.22,0.184
021_AAAI,CRGRO048,1,1,2021-05-31T00:00:00Z,27,514,96,0,6,47,1,8,0,269,0,0,0,0,0,0.056,0.13,0.14,0.151,0.152,0.218,0.177,0.17,0.215,0.215,0.173,0.208,0.22,0.184
021_AAAI,CRGRO048,1,1,2021-06-01T00:00:00Z,28,513,96,0,6,47,1,8,0,269,0,0,0,0,0,0.056,0.128,0.137,0.149,0.15,0.218,0.177,0.17,0.215,0.215,0.173,0.208,0.22,0.184
021_AAAI,CRGRO048,1,1,2021-06-02T00:00:00Z,29,513,95,0,6,47,1,8,0,269,0,0,0,0,0,0.056,0.126,0.135,0.148,0.149,0.218,0.178,0.17,0.215,0.215,0.173,0.208,0.22,0.184
021_AAAI,CRGRO048,1,1,2021-06-03T00:00:00Z,30,512,95,0,6,47,1,8,0,269,0,0,0,0,0,0.056,0.125,0.133,0.146,0.148,0.218,0.178,0.17,0.215,0.215,0.173,0.208,0.22,0.184
021_AAAI,CRGRO048,1,1,2021-06-04T00:00:00Z,31,512,94,0,6,47,1,8,0,269,0,0,0,0,0,0.056,0.123,0.131,0.144,0.147,0.218,0.178,0.171,0.215,0.215,0.174,0.208,0.22,0.184
