EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,LATFC,DTWT,MWTD,TDFD,TDFC,ROFD,ROSD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW8D,SW9D,SW10D,SW11D,SW12D,SW13D,SW14D
022_AAAM,CRGRO048,1,1,2022-05-04T00:00:00Z,0,496,79,0,0,0,0,0,0,274,0,0,0,0,0,0.086,0.086,0.086,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.258,0.182
022_AAAM,CRGRO048,1,1,2022-05-05T00:00:00Z,1,499,82,0,3,0,1,8,0,269,0,0,0,0,0,0.162,0.107,0.086,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.235,0.184
022_AAAM,CRGRO048,1,1,2022-05-06T00:00:00Z,2,499,81,0,6,6,1,8,0,270,0,0,0,0,0,0.14,0.142,0.087,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.226,0.184
022_AAAM,CRGRO048,1,1,2022-05-07T00:00:00Z,3,494,76,0,7,6,1,8,0,270,0,0,0,0,0,0.054,0.141,0.089,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
022_AAAM,CRGRO048,1,1,2022-05-08T00:00:00Z,4,494,76,0,7,6,1,8,0,270,0,0,0,0,0,0.057,0.138,0.091,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
022_AAAM,CRGRO048,1,1,2022-05-09T00:00:00Z,5,494,76,0,7,6,1,8,0,270,0,0,0,0,0,0.057,0.136,0.093,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
022_AAAM,CRGRO048,1,1,2022-05-10T00:00:00Z,6,493,76,0,7,6,1,8,0,270,0,0,0,0,0,0.057,0.134,0.095,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.209,0.222,0.184
022_AAAM,CRGRO048,1,1,2022-05-11T00:00:00Z,7,493,76,0,7,6,1,8,0,270,0,0,0,0,0,0.057,0.132,0.096,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
022_AAAM,CRGRO048,1,1,2022-05-12T00:00:00Z,8,493,76,0,7,6,1,8,0,270,0,0,0,0,0,0.056,0.13,0.097,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
022_AAAM,CRGRO048,1,1,2022-05-13T00:00:00Z,9,494,77,0,7,7,1,8,0,270,0,0,0,0,0,0.082,0.128,0.098,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
022_AAAM,CRGRO048,1,1,2022-05-14T00:00:00Z,10,493,76,0,7,7,1,8,0,270,0,0,0,0,0,0.056,0.127,0.099,0.092,0.09,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
022_AAAM,CRGRO048,1,1,2022-05-15T00:00:00Z,11,493,75,0,7,7,1,8,0,270,0,0,0,0,0,0.056,0.125,0.1,0.092,0.09,0.17,0.17,0.17,0.215,0.215,0.17,0.209,0.222,0.184
022_AAAM,CRGRO048,1,1,2022-05-16T00:00:00Z,12,493,75,0,7,7,1,8,0,270,0,0,0,0,0,0.056,0.124,0.1,0.092,0.09,0.17,0.17,0.17,0.215,0.215,0.17,0.209,0.221,0.184
022_AAAM,CRGRO048,1,1,2022-05-17T00:00:00Z,13,493,75,0,7,7,1,8,0,270,0,0,0,0,0,0.056,0.123,0.101,0.092,0.09,0.17,0.17,0.17,0.215,0.215,0.17,0.209,0.221,0.184
022_AAAM,CRGRO048,1,1,2022-05-18T00:00:00Z,14,493,75,0,7,7,1,8,0,270,0,0,0,0,0,0.056,0.121,0.101,0.092,0.09,0.17,0.17,0.17,0.215,0.215,0.17,0.209,0.221,0.184
022_AAAM,CRGRO048,1,1,2022-05-19T00:00:00Z,15,492,75,0,7,7,1,8,0,270,0,0,0,0,0,0.056,0.119,0.102,0.093,0.09,0.17,0.17,0.17,0.215,0.215,0.17,0.209,0.221,0.184
022_AAAM,CRGRO048,1,1,2022-05-20T00:00:00Z,16,492,75,0,7,7,1,8,0,270,0,0,0,0,0,0.056,0.118,0.102,0.093,0.09,0.17,0.17,0.17,0.215,0.215,0.171,0.209,0.221,0.184
022_AAAM,CRGRO048,1,1,2022-05-21T00:00:00Z,17,493,75,0,7,8,1,8,0,270,0,0,0,0,0,0.066,0.116,0.102,0.093,0.09,0.17,0.17,0.17,0.215,0.215,0.171,0.209,0.221,0.184
022_AAAM,CRGRO048,1,1,2022-05-22T00:00:00Z,18,508,90,0,7,24,1,8,0,270,0,0,0,0,0,0.239,0.166,0.133,0.093,0.09,0.17,0.17,0.17,0.215,0.215,0.171,0.209,0.221,0.184
