EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,LATFC,DTWT,MWTD,TDFD,TDFC,ROFD,ROSD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW8D,SW9D,SW10D,SW11D,SW12D,SW13D,SW14D
023_AAAF,CRGRO048,1,1,2023-05-04T00:00:00Z,0,496,79,0,0,0,0,0,0,274,0,0,0,0,0,0.086,0.086,0.086,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.258,0.182
023_AAAF,CRGRO048,1,1,2023-05-05T00:00:00Z,1,499,82,0,3,0,1,8,0,269,0,0,0,0,0,0.162,0.107,0.086,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.235,0.184
023_AAAF,CRGRO048,1,1,2023-05-06T00:00:00Z,2,493,76,0,5,0,1,8,0,269,0,0,0,0,0,0.088,0.11,0.087,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.167,0.21,0.226,0.184
023_AAAF,CRGRO048,1,1,2023-05-07T00:00:00Z,3,491,73,0,6,0,1,8,0,269,0,0,0,0,0,0.055,0.109,0.087,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
023_AAAF,CRGRO048,1,1,2023-05-08T00:00:00Z,4,491,73,0,6,0,1,8,0,269,0,0,0,0,0,0.055,0.108,0.088,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
023_AAAF,CRGRO048,1,1,2023-05-09T00:00:00Z,5,491,73,0,6,0,1,8,0,269,0,0,0,0,0,0.055,0.107,0.088,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.21,0.222,0.184
023_AAAF,CRGRO048,1,1,2023-05-10T00:00:00Z,6,491,73,0,6,0,1,8,0,269,0,0,0,0,0,0.055,0.107,0.089,0.09,0.09,0.17,0.17,0.17,0.215,0.215,0.168,0.209,0.222,0.184
023_AAAF,CRGRO048,1,1,2023-05-11T00:00:00Z,7,491,73,0,6,0,1,8,0,269,0,0,0,0,0,0.055,0.106,0.089,0.091,0.09,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
023_AAAF,CRGRO048,1,1,2023-05-12T00:00:00Z,8,516,99,0,6,26,1,8,0,269,0,0,0,0.28,0,0.249,0.2,0.182,0.111,0.09,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
023_AAAF,CRGRO048,1,1,2023-05-13T00:00:00Z,9,512,95,0,6,26,1,8,0,269,0,0,0,0,0,0.108,0.174,0.165,0.16,0.11,0.17,0.17,0.17,0.215,0.215,0.169,0.209,0.222,0.184
