EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,LATFC,DTWT,MWTD,TDFD,TDFC,ROFD,ROSD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW8D,SW9D,SW10D,SW11D
019_AAAV,CRGRO048,1,1,2019-05-04T00:00:00Z,0,311,90,0,0,0,0,0,0,189,0,0,0,0,0,0.086,0.086,0.086,0.086,0.086,0.076,0.082,0.135,0.157,0.258,0.258
019_AAAV,CRGRO048,1,1,2019-05-05T00:00:00Z,1,302,81,0,18,5,1,8,0,202,0,0,0,0,0,0.163,0.126,0.107,0.086,0.086,0.076,0.082,0.135,0.157,0.237,0.22
019_AAAV,CRGRO048,1,1,2019-05-06T00:00:00Z,2,288,67,0,28,5,1,8,0,209,0,0,0,0,0,0.035,0.118,0.113,0.106,0.086,0.076,0.082,0.135,0.157,0.228,0.2
019_AAAV,CRGRO048,1,1,2019-05-07T00:00:00Z,3,285,64,0,31,5,1,8,0,212,0,0,0,0,0,0.038,0.114,0.113,0.109,0.086,0.076,0.082,0.135,0.157,0.225,0.192
019_AAAV,CRGRO048,1,1,2019-05-08T00:00:00Z,4,283,62,0,32,5,1,8,0,213,0,0,0,0,0,0.038,0.112,0.113,0.109,0.086,0.076,0.082,0.135,0.158,0.225,0.189
019_AAAV,CRGRO048,1,1,2019-05-09T00:00:00Z,5,283,62,0,32,5,1,8,0,213,0,0,0,0,0,0.038,0.111,0.113,0.109,0.086,0.076,0.082,0.135,0.158,0.225,0.189
019_AAAV,CRGRO048,1,1,2019-05-10T00:00:00Z,6,293,72,0,32,15,1,8,0,213,0,0,0,0,0,0.174,0.125,0.122,0.116,0.088,0.076,0.082,0.135,0.158,0.224,0.189
019_AAAV,CRGRO048,1,1,2019-05-11T00:00:00Z,7,288,67,0,32,15,1,8,0,213,0,0,0,0,0,0.035,0.118,0.116,0.114,0.1,0.076,0.082,0.135,0.158,0.224,0.189
019_AAAV,CRGRO048,1,1,2019-05-12T00:00:00Z,8,309,88,0,32,36,1,8,0,213,0,0,0,0,0,0.255,0.154,0.143,0.131,0.108,0.076,0.082,0.135,0.158,0.224,0.189
019_AAAV,CRGRO048,1,1,2019-05-13T00:00:00Z,9,306,85,0,32,36,1,8,0,213,0,0,0,0,0,0.102,0.129,0.125,0.12,0.119,0.098,0.082,0.135,0.158,0.224,0.189
019_AAAV,CRGRO048,1,1,2019-05-14T00:00:00Z,10,302,81,0,32,36,1,8,0,213,0,0,0,0,0,0.036,0.118,0.117,0.116,0.119,0.105,0.083,0.135,0.158,0.224,0.189
019_AAAV,CRGRO048,1,1,2019-05-15T00:00:00Z,11,302,81,0,32,36,1,8,0,213,0,0,0,0,0,0.038,0.113,0.114,0.116,0.119,0.107,0.083,0.135,0.158,0.224,0.189
019_AAAV,CRGRO048,1,1,2019-05-16T00:00:00Z,12,302,81,0,32,36,1,8,0,213,0,0,0,0,0,0.038,0.111,0.113,0.115,0.119,0.106,0.083,0.135,0.159,0.223,0.189
019_AAAV,CRGRO048,1,1,2019-05-17T00:00:00Z,13,302,81,0,32,36,1,8,0,213,0,0,0,0,0,0.038,0.109,0.112,0.115,0.119,0.106,0.083,0.135,0.159,0.223,0.189
019_AAAV,CRGRO048,1,1,2019-05-18T00:00:00Z,14,301,80,0,32,36,1,8,0,213,0,0,0,0,0,0.038,0.106,0.111,0.115,0.119,0.106,0.083,0.135,0.159,0.223,0.189
019_AAAV,CRGRO048,1,1,2019-05-19T00:00:00Z,15,301,80,0,32,36,1,8,0,213,0,0,0,0,0,0.037,0.104,0.11,0.114,0.119,0.106,0.083,0.135,0.159,0.223,0.189
019_AAAV,CRGRO048,1,1,2019-05-20T00:00:00Z,16,300,79,0,32,36,1,8,0,213,0,0,0,0,0,0.037,0.102,0.108,0.113,0.119,0.106,0.084,0.135,0.159,0.223,0.189
019_AAAV,CRGRO048,1,1,2019-05-21T00:00:00Z,17,300,79,0,32,36,1,8,0,213,0,0,0,0,0,0.037,0.1,0.107,0.112,0.119,0.106,0.084,0.135,0.159,0.223,0.189
019_AAAV,CRGRO048,1,1,2019-05-22T00:00:00Z,18,300,78,0,32,36,1,8,0,213,0,0,0,0,0,0.037,0.098,0.105,0.111,0.119,0.106,0.084,0.135,0.159,0.222,0.189
019_AAAV,CRGRO048,1,1,2019-05-23T00:00:00Z,19,299,78,0,32,36,1,8,0,213,0,0,0,0,0,0.037,0.097,0.103,0.11,0.118,0.106,0.084,0.135,0.159,0.222,0.189
019_AAAV,CRGRO048,1,1,2019-05-24T00:00:00Z,20,298,77,0,32,36,1,8,0,213,0,0,0,0,0,0.037,0.095,0.101,0.108,0.118,0.106,0.084,0.135,0.16,0.222,0.189
019_AAAV,CRGRO048,1,1,2019-05-25T00:00:00Z,21,298,77,0,32,36,1,8,0,213,0,0,0,0,0,0.037,0.093,0.099,0.106,0.118,0.106,0.084,0.135,0.16,0.222,0.189
019_AAAV,CRGRO048,1,1,2019-05-26T00:00:00Z,22,297,76,0,32,36,1,8,0,213,0,0,0,0,0,0.037,0.091,0.097,0.103,0.118,0.106,0.085,0.135,0.16,0.222,0.189
