EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,LATFC,DTWT,MWTD,TDFD,TDFC,ROFD,ROSD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW8D,SW9D,SW10D,SW11D
019_AABB,CRGRO048,1,1,2019-05-04T00:00:00Z,0,311,90,0,0,0,0,0,0,189,0,0,0,0,0,0.086,0.086,0.086,0.086,0.086,0.076,0.082,0.135,0.157,0.258,0.258
019_AABB,CRGRO048,1,1,2019-05-05T00:00:00Z,1,298,77,0,18,1,1,8,0,202,0,0,0,0,0,0.128,0.118,0.094,0.086,0.086,0.076,0.082,0.135,0.157,0.237,0.22
019_AABB,CRGRO048,1,1,2019-05-06T00:00:00Z,2,285,64,0,28,1,1,8,0,209,0,0,0,0,0,0.035,0.114,0.102,0.086,0.086,0.076,0.082,0.135,0.157,0.228,0.2
019_AABB,CRGRO048,1,1,2019-05-07T00:00:00Z,3,282,60,0,31,1,1,8,0,212,0,0,0,0,0,0.038,0.113,0.102,0.086,0.086,0.076,0.082,0.135,0.157,0.225,0.192
019_AABB,CRGRO048,1,1,2019-05-08T00:00:00Z,4,280,59,0,32,1,1,8,0,213,0,0,0,0,0,0.038,0.111,0.102,0.087,0.086,0.076,0.082,0.135,0.158,0.225,0.189
019_AABB,CRGRO048,1,1,2019-05-09T00:00:00Z,5,283,62,0,32,4,1,8,0,213,0,0,0,0,0,0.098,0.11,0.102,0.087,0.086,0.076,0.082,0.135,0.158,0.225,0.189
019_AABB,CRGRO048,1,1,2019-05-10T00:00:00Z,6,282,61,0,32,6,1,8,0,213,0,0,0,0,0,0.065,0.114,0.105,0.087,0.086,0.076,0.082,0.135,0.158,0.224,0.189
019_AABB,CRGRO048,1,1,2019-05-11T00:00:00Z,7,311,90,1,32,38,1,8,0,213,0,0,0,1.34,0,0.224,0.194,0.165,0.134,0.096,0.076,0.082,0.135,0.158,0.224,0.189
019_AABB,CRGRO048,1,1,2019-05-12T00:00:00Z,8,313,92,1,32,42,1,8,0,213,0,0,0,0,0,0.165,0.167,0.17,0.155,0.117,0.076,0.082,0.135,0.158,0.224,0.189
019_AABB,CRGRO048,1,1,2019-05-13T00:00:00Z,9,309,88,1,32,42,1,8,0,213,0,0,0,0,0,0.062,0.141,0.154,0.155,0.126,0.086,0.082,0.135,0.158,0.224,0.189
019_AABB,CRGRO048,1,1,2019-05-14T00:00:00Z,10,308,87,1,32,42,1,8,0,213,0,0,0,0,0,0.038,0.122,0.129,0.13,0.122,0.112,0.082,0.135,0.158,0.224,0.189
019_AABB,CRGRO048,1,1,2019-05-15T00:00:00Z,11,308,87,1,32,42,1,8,0,213,0,0,0,0,0,0.038,0.114,0.118,0.119,0.122,0.119,0.084,0.135,0.158,0.224,0.189
