EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,LATFC,DTWT,MWTD,TDFD,TDFC,ROFD,ROSD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW8D,SW9D,SW10D,SW11D
019_AABC,CRGRO048,1,1,2019-05-04T00:00:00Z,0,311,90,0,0,0,0,0,0,189,0,0,0,0,0,0.086,0.086,0.086,0.086,0.086,0.076,0.082,0.135,0.157,0.258,0.258
019_AABC,CRGRO048,1,1,2019-05-05T00:00:00Z,1,300,79,0,18,3,1,8,0,202,0,0,0,0,0,0.142,0.121,0.099,0.086,0.086,0.076,0.082,0.135,0.157,0.237,0.22
019_AABC,CRGRO048,1,1,2019-05-06T00:00:00Z,2,286,65,0,28,3,1,8,0,209,0,0,0,0,0,0.035,0.116,0.113,0.087,0.086,0.076,0.082,0.135,0.157,0.228,0.2
019_AABC,CRGRO048,1,1,2019-05-07T00:00:00Z,3,283,62,0,31,3,1,8,0,212,0,0,0,0,0,0.038,0.114,0.112,0.088,0.086,0.076,0.082,0.135,0.157,0.225,0.192
019_AABC,CRGRO048,1,1,2019-05-08T00:00:00Z,4,281,60,0,32,3,1,8,0,213,0,0,0,0,0,0.038,0.113,0.112,0.088,0.086,0.076,0.082,0.135,0.158,0.225,0.189
019_AABC,CRGRO048,1,1,2019-05-09T00:00:00Z,5,287,66,0,32,8,1,8,0,213,0,0,0,0,0,0.127,0.115,0.114,0.091,0.086,0.076,0.082,0.135,0.158,0.225,0.189
019_AABC,CRGRO048,1,1,2019-05-10T00:00:00Z,6,296,75,0,32,22,1,8,0,213,0,0,0,0,0,0.153,0.145,0.134,0.118,0.088,0.076,0.082,0.135,0.158,0.224,0.189
019_AABC,CRGRO048,1,1,2019-05-11T00:00:00Z,7,308,87,0,32,39,1,8,0,213,0,0,0,0.01,0,0.153,0.176,0.163,0.145,0.104,0.076,0.082,0.135,0.158,0.224,0.189
019_AABC,CRGRO048,1,1,2019-05-12T00:00:00Z,8,310,89,0,32,44,1,8,0,213,0,0,0,0,0,0.125,0.152,0.159,0.153,0.121,0.079,0.082,0.135,0.158,0.224,0.189
019_AABC,CRGRO048,1,1,2019-05-13T00:00:00Z,9,307,86,0,32,44,1,8,0,213,0,0,0,0,0,0.04,0.131,0.143,0.148,0.126,0.089,0.082,0.135,0.158,0.224,0.189
019_AABC,CRGRO048,1,1,2019-05-14T00:00:00Z,10,306,85,0,32,44,1,8,0,213,0,0,0,0,0,0.038,0.118,0.124,0.127,0.122,0.109,0.082,0.135,0.158,0.224,0.189
019_AABC,CRGRO048,1,1,2019-05-15T00:00:00Z,11,306,85,0,32,44,1,8,0,213,0,0,0,0,0,0.038,0.113,0.117,0.118,0.122,0.115,0.083,0.135,0.158,0.224,0.189
019_AABC,CRGRO048,1,1,2019-05-16T00:00:00Z,12,306,84,0,32,44,1,8,0,213,0,0,0,0,0,0.038,0.11,0.113,0.115,0.122,0.116,0.083,0.135,0.159,0.223,0.189
019_AABC,CRGRO048,1,1,2019-05-17T00:00:00Z,13,305,84,0,32,44,1,8,0,213,0,0,0,0,0,0.038,0.108,0.112,0.114,0.122,0.116,0.083,0.135,0.159,0.223,0.189
019_AABC,CRGRO048,1,1,2019-05-18T00:00:00Z,14,305,84,0,32,44,1,8,0,213,0,0,0,0,0,0.038,0.106,0.111,0.114,0.122,0.116,0.083,0.135,0.159,0.223,0.189
019_AABC,CRGRO048,1,1,2019-05-19T00:00:00Z,15,304,83,0,32,44,1,8,0,213,0,0,0,0,0,0.037,0.103,0.109,0.113,0.122,0.116,0.084,0.135,0.159,0.223,0.189
019_AABC,CRGRO048,1,1,2019-05-20T00:00:00Z,16,304,83,0,32,44,1,8,0,213,0,0,0,0,0,0.037,0.101,0.108,0.112,0.122,0.116,0.084,0.135,0.159,0.223,0.189
019_AABC,CRGRO048,1,1,2019-05-21T00:00:00Z,17,303,82,0,32,44,1,8,0,213,0,0,0,0,0,0.037,0.099,0.106,0.111,0.122,0.116,0.084,0.135,0.159,0.223,0.189
019_AABC,CRGRO048,1,1,2019-05-22T00:00:00Z,18,303,82,0,32,44,1,8,0,213,0,0,0,0,0,0.037,0.097,0.104,0.11,0.121,0.116,0.084,0.135,0.159,0.222,0.189
019_AABC,CRGRO048,1,1,2019-05-23T00:00:00Z,19,302,81,0,32,44,1,8,0,213,0,0,0,0,0,0.037,0.095,0.101,0.108,0.121,0.115,0.085,0.135,0.159,0.222,0.189
019_AABC,CRGRO048,1,1,2019-05-24T00:00:00Z,20,302,80,0,32,44,1,8,0,213,0,0,0,0,0,0.037,0.094,0.099,0.106,0.121,0.115,0.085,0.135,0.16,0.222,0.189
019_AABC,CRGRO048,1,1,2019-05-25T00:00:00Z,21,301,80,0,32,44,1,8,0,213,0,0,0,0,0,0.037,0.092,0.097,0.103,0.121,0.115,0.085,0.135,0.16,0.222,0.189
019_AABC,CRGRO048,1,1,2019-05-26T00:00:00Z,22,300,79,0,32,44,1,8,0,213,0,0,0,0,0,0.037,0.09,0.095,0.1,0.12,0.115,0.085,0.135,0.16,0.222,0.189
019_AABC,CRGRO048,1,1,2019-05-27T00:00:00Z,23,299,78,0,32,44,1,8,0,213,0,0,0,0,0,0.036,0.088,0.093,0.097,0.119,0.115,0.085,0.135,0.16,0.222,0.189
019_AABC,CRGRO048,1,1,2019-05-28T00:00:00Z,24,298,77,0,32,44,1,8,0,213,0,0,0,0,0,0.036,0.086,0.09,0.094,0.118,0.115,0.086,0.135,0.16,0.221,0.189
019_AABC,CRGRO048,1,1,2019-05-29T00:00:00Z,25,297,76,0,32,44,1,8,0,213,0,0,0,0,0,0.036,0.084,0.088,0.091,0.116,0.115,0.086,0.135,0.16,0.221,0.189
019_AABC,CRGRO048,1,1,2019-05-30T00:00:00Z,26,296,75,0,32,44,1,8,0,213,0,0,0,0,0,0.036,0.082,0.086,0.089,0.114,0.114,0.086,0.135,0.16,0.221,0.189
019_AABC,CRGRO048,1,1,2019-05-31T00:00:00Z,27,295,74,0,32,44,1,8,0,213,0,0,0,0,0,0.036,0.08,0.084,0.087,0.112,0.114,0.086,0.135,0.16,0.221,0.189
019_AABC,CRGRO048,1,1,2019-06-01T00:00:00Z,28,294,73,0,32,44,1,8,0,213,0,0,0,0,0,0.036,0.079,0.082,0.086,0.111,0.114,0.087,0.135,0.16,0.221,0.189
019_AABC,CRGRO048,1,1,2019-06-02T00:00:00Z,29,292,71,0,32,44,1,8,0,213,0,0,0,0,0,0.036,0.078,0.081,0.084,0.109,0.113,0.087,0.135,0.161,0.221,0.189
019_AABC,CRGRO048,1,1,2019-06-03T00:00:00Z,30,291,70,0,32,44,1,8,0,213,0,0,0,0,0,0.036,0.076,0.079,0.082,0.107,0.112,0.087,0.135,0.161,0.221,0.189
019_AABC,CRGRO048,1,1,2019-06-04T00:00:00Z,31,290,69,0,32,44,1,8,0,213,0,0,0,0,0,0.036,0.075,0.078,0.081,0.105,0.111,0.087,0.135,0.161,0.22,0.189
019_AABC,CRGRO048,1,1,2019-06-05T00:00:00Z,32,294,73,0,32,49,1,8,0,213,0,0,0,0,0,0.12,0.078,0.077,0.08,0.104,0.11,0.087,0.135,0.161,0.22,0.189
019_AABC,CRGRO048,1,1,2019-06-06T00:00:00Z,33,292,71,0,32,50,1,8,0,213,0,0,0,0,0,0.073,0.085,0.076,0.079,0.103,0.11,0.087,0.135,0.161,0.22,0.189
019_AABC,CRGRO048,1,1,2019-06-07T00:00:00Z,34,290,69,0,32,51,1,8,0,213,0,0,0,0,0,0.061,0.082,0.076,0.078,0.102,0.108,0.088,0.135,0.161,0.22,0.189
019_AABC,CRGRO048,1,1,2019-06-08T00:00:00Z,35,300,79,0,32,63,1,8,0,213,0,0,0,0,0,0.178,0.119,0.09,0.077,0.101,0.107,0.088,0.135,0.161,0.22,0.189
019_AABC,CRGRO048,1,1,2019-06-09T00:00:00Z,36,308,87,0,32,73,1,8,0,213,0,0,0,0,0,0.199,0.14,0.123,0.093,0.1,0.107,0.088,0.135,0.161,0.22,0.189
019_AABC,CRGRO048,1,1,2019-06-10T00:00:00Z,37,308,87,0,32,77,1,8,0,213,0,0,0,0,0,0.135,0.139,0.133,0.119,0.103,0.107,0.088,0.135,0.161,0.22,0.189
019_AABC,CRGRO048,1,1,2019-06-11T00:00:00Z,38,320,99,0,32,95,1,8,0,213,0.01,0,0,0,0,0.164,0.164,0.153,0.138,0.117,0.106,0.088,0.135,0.162,0.219,0.189
019_AABC,CRGRO048,1,1,2019-06-12T00:00:00Z,39,345,124,2,32,125,1,8,0,213,0.01,0,0,2.16,0,0.218,0.225,0.203,0.176,0.13,0.121,0.093,0.135,0.162,0.219,0.189
019_AABC,CRGRO048,1,1,2019-06-13T00:00:00Z,40,339,118,2,32,125,1,8,0,213,0.01,0,0,0,0,0.078,0.153,0.144,0.134,0.122,0.12,0.138,0.194,0.162,0.219,0.189
019_AABC,CRGRO048,1,1,2019-06-14T00:00:00Z,41,333,112,2,32,125,1,8,0,213,0.01,0,0,0,0,0.037,0.118,0.116,0.112,0.118,0.118,0.138,0.195,0.182,0.219,0.189
019_AABC,CRGRO048,1,1,2019-06-15T00:00:00Z,42,330,109,2,32,125,1,8,0,213,0.01,0,0,0,0,0.038,0.104,0.106,0.104,0.117,0.117,0.138,0.195,0.182,0.219,0.189
019_AABC,CRGRO048,1,1,2019-06-16T00:00:00Z,43,326,105,2,32,125,1,8,0,213,0.01,0,0,0,0,0.037,0.094,0.097,0.096,0.115,0.116,0.138,0.195,0.182,0.219,0.189
019_AABC,CRGRO048,1,1,2019-06-17T00:00:00Z,44,322,101,2,32,125,1,8,0,213,0.01,0,0,0,0,0.037,0.087,0.088,0.089,0.11,0.113,0.137,0.195,0.182,0.219,0.189
019_AABC,CRGRO048,1,1,2019-06-18T00:00:00Z,45,319,98,2,32,125,1,8,0,213,0.01,0,0,0,0,0.046,0.083,0.084,0.085,0.107,0.109,0.137,0.194,0.183,0.219,0.189
