EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,LATFC,DTWT,MWTD,TDFD,TDFC,ROFD,ROSD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW8D,SW9D,SW10D,SW11D
021_AAAI,CRGRO048,1,1,2021-05-04T00:00:00Z,0,311,90,0,0,0,0,0,0,189,0,0,0,0,0,0.086,0.086,0.086,0.086,0.086,0.076,0.082,0.135,0.157,0.258,0.258
021_AAAI,CRGRO048,1,1,2021-05-05T00:00:00Z,1,298,77,0,18,1,1,8,0,202,0,0,0,0,0,0.128,0.118,0.094,0.086,0.086,0.076,0.082,0.135,0.157,0.237,0.22
021_AAAI,CRGRO048,1,1,2021-05-06T00:00:00Z,2,285,64,0,28,1,1,8,0,209,0,0,0,0,0,0.035,0.114,0.102,0.086,0.086,0.076,0.082,0.135,0.157,0.228,0.2
021_AAAI,CRGRO048,1,1,2021-05-07T00:00:00Z,3,282,60,0,31,1,1,8,0,212,0,0,0,0,0,0.038,0.113,0.102,0.086,0.086,0.076,0.082,0.135,0.157,0.225,0.192
021_AAAI,CRGRO048,1,1,2021-05-08T00:00:00Z,4,280,59,0,32,1,1,8,0,213,0,0,0,0,0,0.038,0.111,0.102,0.087,0.086,0.076,0.082,0.135,0.158,0.225,0.189
021_AAAI,CRGRO048,1,1,2021-05-09T00:00:00Z,5,280,59,0,32,1,1,8,0,213,0,0,0,0,0,0.038,0.11,0.102,0.087,0.086,0.076,0.082,0.135,0.158,0.225,0.189
021_AAAI,CRGRO048,1,1,2021-05-10T00:00:00Z,6,285,64,0,32,6,1,8,0,213,0,0,0,0,0,0.125,0.113,0.104,0.087,0.086,0.076,0.082,0.135,0.158,0.224,0.189
021_AAAI,CRGRO048,1,1,2021-05-11T00:00:00Z,7,298,76,0,32,23,1,8,0,213,0,0,0,0,0,0.162,0.155,0.138,0.118,0.088,0.076,0.082,0.135,0.158,0.224,0.189
021_AAAI,CRGRO048,1,1,2021-05-12T00:00:00Z,8,314,93,0,32,42,1,8,0,213,0,0,0,0.12,0,0.199,0.188,0.173,0.151,0.107,0.076,0.082,0.135,0.158,0.224,0.189
021_AAAI,CRGRO048,1,1,2021-05-13T00:00:00Z,9,309,88,0,32,42,1,8,0,213,0,0,0,0,0,0.057,0.143,0.137,0.128,0.119,0.107,0.082,0.135,0.158,0.224,0.189
021_AAAI,CRGRO048,1,1,2021-05-14T00:00:00Z,10,308,87,0,32,43,1,8,0,213,0,0,0,0,0,0.044,0.123,0.13,0.129,0.122,0.111,0.083,0.135,0.158,0.224,0.189
021_AAAI,CRGRO048,1,1,2021-05-15T00:00:00Z,11,308,87,0,32,43,1,8,0,213,0,0,0,0,0,0.038,0.115,0.119,0.12,0.12,0.119,0.087,0.135,0.158,0.224,0.189
021_AAAI,CRGRO048,1,1,2021-05-16T00:00:00Z,12,308,87,0,32,43,1,8,0,213,0,0,0,0,0,0.038,0.113,0.115,0.116,0.12,0.119,0.091,0.135,0.159,0.223,0.189
021_AAAI,CRGRO048,1,1,2021-05-17T00:00:00Z,13,307,86,0,32,43,1,8,0,213,0,0,0,0,0,0.038,0.11,0.114,0.115,0.12,0.119,0.091,0.135,0.159,0.223,0.189
021_AAAI,CRGRO048,1,1,2021-05-18T00:00:00Z,14,307,86,0,32,43,1,8,0,213,0,0,0,0,0,0.038,0.108,0.113,0.115,0.12,0.119,0.091,0.135,0.159,0.223,0.189
021_AAAI,CRGRO048,1,1,2021-05-19T00:00:00Z,15,307,86,0,32,43,1,8,0,213,0,0,0,0,0,0.038,0.106,0.112,0.115,0.12,0.118,0.092,0.135,0.159,0.223,0.189
021_AAAI,CRGRO048,1,1,2021-05-20T00:00:00Z,16,306,85,0,32,43,1,8,0,213,0,0,0,0,0,0.037,0.104,0.111,0.115,0.12,0.118,0.092,0.135,0.159,0.223,0.189
021_AAAI,CRGRO048,1,1,2021-05-21T00:00:00Z,17,306,85,0,32,43,1,8,0,213,0,0,0,0,0,0.037,0.102,0.109,0.114,0.12,0.118,0.092,0.135,0.159,0.223,0.189
021_AAAI,CRGRO048,1,1,2021-05-22T00:00:00Z,18,306,84,0,32,43,1,8,0,213,0,0,0,0,0,0.037,0.101,0.108,0.113,0.12,0.118,0.092,0.135,0.159,0.222,0.189
021_AAAI,CRGRO048,1,1,2021-05-23T00:00:00Z,19,305,84,0,32,43,1,8,0,213,0,0,0,0,0,0.037,0.099,0.106,0.113,0.12,0.118,0.092,0.135,0.159,0.222,0.189
021_AAAI,CRGRO048,1,1,2021-05-24T00:00:00Z,20,305,84,0,32,43,1,8,0,213,0,0,0,0,0,0.037,0.097,0.104,0.111,0.12,0.118,0.093,0.135,0.16,0.222,0.189
021_AAAI,CRGRO048,1,1,2021-05-25T00:00:00Z,21,304,83,0,32,43,1,8,0,213,0,0,0,0,0,0.037,0.096,0.102,0.11,0.12,0.118,0.093,0.135,0.16,0.222,0.189
021_AAAI,CRGRO048,1,1,2021-05-26T00:00:00Z,22,304,83,0,32,43,1,8,0,213,0,0,0,0,0,0.037,0.094,0.101,0.108,0.12,0.118,0.093,0.135,0.16,0.222,0.189
021_AAAI,CRGRO048,1,1,2021-05-27T00:00:00Z,23,303,82,0,32,43,1,8,0,213,0,0,0,0,0,0.037,0.093,0.099,0.106,0.12,0.117,0.093,0.135,0.16,0.222,0.189
021_AAAI,CRGRO048,1,1,2021-05-28T00:00:00Z,24,303,82,0,32,43,1,8,0,213,0,0,0,0,0,0.037,0.091,0.097,0.104,0.119,0.117,0.093,0.135,0.16,0.221,0.189
021_AAAI,CRGRO048,1,1,2021-05-29T00:00:00Z,25,306,85,0,32,47,1,8,0,213,0,0,0,0,0,0.115,0.091,0.096,0.102,0.119,0.117,0.094,0.135,0.16,0.221,0.189
021_AAAI,CRGRO048,1,1,2021-05-30T00:00:00Z,26,302,80,0,32,47,1,8,0,213,0,0,0,0,0,0.035,0.091,0.094,0.1,0.119,0.117,0.094,0.135,0.16,0.221,0.189
021_AAAI,CRGRO048,1,1,2021-05-31T00:00:00Z,27,301,80,0,32,47,1,8,0,213,0,0,0,0,0,0.036,0.089,0.092,0.097,0.118,0.117,0.094,0.135,0.16,0.221,0.189
021_AAAI,CRGRO048,1,1,2021-06-01T00:00:00Z,28,300,79,0,32,47,1,8,0,213,0,0,0,0,0,0.036,0.086,0.09,0.094,0.117,0.117,0.094,0.135,0.16,0.221,0.189
021_AAAI,CRGRO048,1,1,2021-06-02T00:00:00Z,29,299,78,0,32,47,1,8,0,213,0,0,0,0,0,0.036,0.085,0.088,0.092,0.116,0.117,0.094,0.136,0.161,0.221,0.189
021_AAAI,CRGRO048,1,1,2021-06-03T00:00:00Z,30,298,77,0,32,47,1,8,0,213,0,0,0,0,0,0.036,0.083,0.086,0.09,0.115,0.117,0.094,0.136,0.161,0.221,0.189
021_AAAI,CRGRO048,1,1,2021-06-04T00:00:00Z,31,297,76,0,32,47,1,8,0,213,0,0,0,0,0,0.036,0.081,0.084,0.088,0.113,0.116,0.095,0.136,0.161,0.22,0.189
021_AAAI,CRGRO048,1,1,2021-06-05T00:00:00Z,32,296,75,0,32,47,1,8,0,213,0,0,0,0,0,0.036,0.08,0.083,0.086,0.111,0.116,0.095,0.136,0.161,0.22,0.189
021_AAAI,CRGRO048,1,1,2021-06-06T00:00:00Z,33,299,78,0,32,50,1,8,0,213,0,0,0,0,0,0.112,0.078,0.081,0.085,0.11,0.116,0.095,0.136,0.161,0.22,0.189
021_AAAI,CRGRO048,1,1,2021-06-07T00:00:00Z,34,304,83,0,32,58,1,8,0,213,0,0,0,0,0,0.14,0.116,0.085,0.085,0.109,0.115,0.095,0.136,0.161,0.22,0.189
021_AAAI,CRGRO048,1,1,2021-06-08T00:00:00Z,35,299,78,0,32,58,1,8,0,213,0,0,0,0,0,0.048,0.11,0.094,0.084,0.108,0.115,0.095,0.136,0.161,0.22,0.189
021_AAAI,CRGRO048,1,1,2021-06-09T00:00:00Z,36,297,76,0,32,58,1,8,0,213,0,0,0,0,0,0.038,0.095,0.09,0.083,0.107,0.114,0.095,0.136,0.161,0.22,0.189
021_AAAI,CRGRO048,1,1,2021-06-10T00:00:00Z,37,295,73,0,32,58,1,8,0,213,0,0,0,0,0,0.037,0.087,0.086,0.082,0.106,0.113,0.096,0.136,0.161,0.22,0.189
021_AAAI,CRGRO048,1,1,2021-06-11T00:00:00Z,38,304,83,0,32,69,1,8,0,213,0,0,0,0,0,0.176,0.114,0.09,0.081,0.104,0.112,0.096,0.136,0.162,0.219,0.189
021_AAAI,CRGRO048,1,1,2021-06-12T00:00:00Z,39,301,80,0,32,71,1,8,0,213,0,0,0,0,0,0.096,0.116,0.107,0.08,0.104,0.111,0.096,0.136,0.162,0.219,0.189
021_AAAI,CRGRO048,1,1,2021-06-13T00:00:00Z,40,295,74,0,32,71,1,8,0,213,0,0,0,0,0,0.036,0.104,0.095,0.08,0.103,0.11,0.096,0.136,0.162,0.219,0.189
021_AAAI,CRGRO048,1,1,2021-06-14T00:00:00Z,41,292,71,0,32,71,1,8,0,213,0,0,0,0,0,0.037,0.084,0.087,0.08,0.102,0.109,0.096,0.136,0.162,0.219,0.189
021_AAAI,CRGRO048,1,1,2021-06-15T00:00:00Z,42,290,69,0,32,71,1,8,0,213,0,0,0,0,0,0.036,0.08,0.083,0.078,0.1,0.107,0.096,0.136,0.162,0.219,0.189
021_AAAI,CRGRO048,1,1,2021-06-16T00:00:00Z,43,288,67,0,32,71,1,8,0,213,0,0,0,0,0,0.036,0.078,0.08,0.077,0.099,0.105,0.096,0.136,0.162,0.219,0.189
021_AAAI,CRGRO048,1,1,2021-06-17T00:00:00Z,44,287,66,0,32,71,1,8,0,213,0,0,0,0,0,0.036,0.075,0.077,0.075,0.097,0.103,0.096,0.136,0.162,0.219,0.189
021_AAAI,CRGRO048,1,1,2021-06-18T00:00:00Z,45,320,99,2,32,107,1,8,0,213,0.01,0,0,2.2,0,0.252,0.191,0.15,0.12,0.1,0.101,0.096,0.136,0.162,0.218,0.189
021_AAAI,CRGRO048,1,1,2021-06-19T00:00:00Z,46,327,106,2,32,117,1,8,0,213,0.01,0,0,0,0,0.227,0.179,0.171,0.149,0.119,0.101,0.096,0.136,0.162,0.218,0.189
021_AAAI,CRGRO048,1,1,2021-06-20T00:00:00Z,47,339,118,2,32,132,1,8,0,213,0.01,0,0,0.06,0,0.207,0.191,0.186,0.17,0.129,0.118,0.097,0.136,0.163,0.218,0.189
021_AAAI,CRGRO048,1,1,2021-06-21T00:00:00Z,48,337,116,2,32,134,1,8,0,213,0.01,0,0,0,0,0.136,0.154,0.168,0.167,0.133,0.127,0.12,0.136,0.163,0.218,0.189
021_AAAI,CRGRO048,1,1,2021-06-22T00:00:00Z,49,375,154,12,32,184,1,8,0,213,0.01,0,0,9.59,0,0.229,0.231,0.231,0.223,0.146,0.137,0.151,0.151,0.163,0.218,0.189
021_AAAI,CRGRO048,1,1,2021-06-23T00:00:00Z,50,390,169,13,32,204,1,8,0,213,0.02,0,0,0.78,0,0.213,0.228,0.228,0.228,0.152,0.145,0.173,0.19,0.163,0.218,0.189
021_AAAI,CRGRO048,1,1,2021-06-24T00:00:00Z,51,386,165,13,32,205,1,8,0,213,0.02,0,0,0,0,0.128,0.165,0.191,0.204,0.15,0.147,0.183,0.213,0.184,0.218,0.189
021_AAAI,CRGRO048,1,1,2021-06-25T00:00:00Z,52,361,140,13,52,205,1,8,0,213,0.02,0,0,0,0,0.07,0.124,0.135,0.141,0.129,0.128,0.155,0.202,0.216,0.223,0.189
021_AAAI,CRGRO048,1,1,2021-06-26T00:00:00Z,53,346,125,13,61,205,1,8,0,213,0.02,0,0,0,0,0.037,0.107,0.113,0.116,0.121,0.121,0.144,0.198,0.216,0.223,0.189
021_AAAI,CRGRO048,1,1,2021-06-27T00:00:00Z,54,341,120,13,61,205,1,8,0,213,0.02,0,0,0,0,0.038,0.095,0.102,0.105,0.118,0.119,0.14,0.198,0.216,0.223,0.189
021_AAAI,CRGRO048,1,1,2021-06-28T00:00:00Z,55,338,117,13,61,205,1,8,0,213,0.02,0,0,0,0,0.037,0.091,0.095,0.098,0.116,0.117,0.139,0.198,0.216,0.223,0.189
021_AAAI,CRGRO048,1,1,2021-06-29T00:00:00Z,56,341,120,13,61,212,1,8,0,213,0.02,0,0,0,0,0.148,0.106,0.087,0.088,0.111,0.114,0.138,0.197,0.216,0.223,0.189
021_AAAI,CRGRO048,1,1,2021-06-30T00:00:00Z,57,381,160,25,61,269,1,8,0,213,0.02,0,0,12.57,0,0.228,0.222,0.219,0.166,0.124,0.119,0.14,0.197,0.219,0.223,0.189
021_AAAI,CRGRO048,1,1,2021-07-01T00:00:00Z,58,402,181,28,63,299,1,8,0,213,0.02,0,0,2.88,0,0.23,0.226,0.226,0.226,0.143,0.132,0.154,0.203,0.221,0.227,0.189
021_AAAI,CRGRO048,1,1,2021-07-02T00:00:00Z,59,400,179,28,65,303,1,8,0,213,0.03,0,0,0,0,0.189,0.174,0.196,0.206,0.146,0.14,0.168,0.211,0.226,0.232,0.191
021_AAAI,CRGRO048,1,1,2021-07-03T00:00:00Z,60,363,142,28,97,303,1,8,0,213,0.03,0,0,0,0,0.122,0.128,0.137,0.142,0.128,0.125,0.149,0.201,0.22,0.227,0.189
021_AAAI,CRGRO048,1,1,2021-07-04T00:00:00Z,61,356,135,28,99,303,1,8,0,213,0.03,0,0,0,0,0.095,0.11,0.117,0.123,0.124,0.123,0.149,0.202,0.221,0.229,0.19
021_AAAI,CRGRO048,1,1,2021-07-05T00:00:00Z,62,348,127,28,104,303,1,8,0,213,0.03,0,0,0,0,0.087,0.105,0.11,0.112,0.12,0.12,0.142,0.198,0.218,0.225,0.19
021_AAAI,CRGRO048,1,1,2021-07-06T00:00:00Z,63,348,127,28,105,308,1,8,0,213,0.03,0,0,0,0,0.138,0.11,0.108,0.108,0.118,0.118,0.139,0.197,0.218,0.225,0.189
021_AAAI,CRGRO048,1,1,2021-07-07T00:00:00Z,64,355,134,28,105,317,1,8,0,213,0.03,0,0,0,0,0.197,0.129,0.12,0.114,0.119,0.117,0.139,0.197,0.218,0.225,0.189
021_AAAI,CRGRO048,1,1,2021-07-08T00:00:00Z,65,355,134,28,105,321,1,8,0,213,0.04,0,0,0,0,0.178,0.131,0.126,0.118,0.119,0.119,0.138,0.196,0.218,0.225,0.189
021_AAAI,CRGRO048,1,1,2021-07-09T00:00:00Z,66,354,133,28,106,324,1,8,0,214,0.04,0,0,0,0,0.159,0.127,0.125,0.12,0.12,0.119,0.139,0.196,0.217,0.225,0.188
021_AAAI,CRGRO048,1,1,2021-07-10T00:00:00Z,67,360,139,28,106,336,1,8,0,213,0.04,0,0,0,0,0.221,0.138,0.132,0.124,0.121,0.119,0.14,0.197,0.217,0.225,0.19
