EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,LATFC,DTWT,MWTD,TDFD,TDFC,ROFD,ROSD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW8D,SW9D,SW10D,SW11D
023_AAAM,CRGRO048,1,1,2023-05-04T00:00:00Z,0,311,90,0,0,0,0,0,0,189,0,0,0,0,0,0.086,0.086,0.086,0.086,0.086,0.076,0.082,0.135,0.157,0.258,0.258
023_AAAM,CRGRO048,1,1,2023-05-05T00:00:00Z,1,298,77,0,18,0,1,8,0,202,0,0,0,0,0,0.131,0.115,0.09,0.086,0.086,0.076,0.082,0.135,0.157,0.237,0.22
023_AAAM,CRGRO048,1,1,2023-05-06T00:00:00Z,2,286,64,0,28,0,1,8,0,209,0,0,0,0,0,0.051,0.115,0.096,0.086,0.086,0.076,0.082,0.135,0.157,0.228,0.2
023_AAAM,CRGRO048,1,1,2023-05-07T00:00:00Z,3,281,60,0,31,0,1,8,0,212,0,0,0,0,0,0.038,0.113,0.097,0.086,0.086,0.076,0.082,0.135,0.157,0.225,0.192
023_AAAM,CRGRO048,1,1,2023-05-08T00:00:00Z,4,280,59,0,32,0,1,8,0,213,0,0,0,0,0,0.038,0.111,0.097,0.086,0.086,0.076,0.082,0.135,0.158,0.225,0.189
023_AAAM,CRGRO048,1,1,2023-05-09T00:00:00Z,5,280,59,0,32,0,1,8,0,213,0,0,0,0,0,0.038,0.11,0.097,0.086,0.086,0.076,0.082,0.135,0.158,0.225,0.189
023_AAAM,CRGRO048,1,1,2023-05-10T00:00:00Z,6,279,58,0,32,0,1,8,0,213,0,0,0,0,0,0.038,0.108,0.097,0.087,0.086,0.076,0.082,0.135,0.158,0.224,0.189
023_AAAM,CRGRO048,1,1,2023-05-11T00:00:00Z,7,279,58,0,32,0,1,8,0,213,0,0,0,0,0,0.038,0.107,0.097,0.087,0.086,0.076,0.082,0.135,0.158,0.224,0.189
023_AAAM,CRGRO048,1,1,2023-05-12T00:00:00Z,8,291,70,0,32,12,1,8,0,213,0,0,0,0,0,0.188,0.127,0.117,0.092,0.086,0.076,0.082,0.135,0.158,0.224,0.189
023_AAAM,CRGRO048,1,1,2023-05-13T00:00:00Z,9,286,65,0,32,12,1,8,0,213,0,0,0,0,0,0.048,0.128,0.124,0.11,0.086,0.076,0.082,0.135,0.158,0.224,0.189
023_AAAM,CRGRO048,1,1,2023-05-14T00:00:00Z,10,286,65,0,32,12,1,8,0,213,0,0,0,0,0,0.038,0.117,0.117,0.113,0.09,0.076,0.082,0.135,0.158,0.224,0.189
023_AAAM,CRGRO048,1,1,2023-05-15T00:00:00Z,11,286,65,0,32,12,1,8,0,213,0,0,0,0,0,0.038,0.113,0.115,0.113,0.092,0.076,0.082,0.135,0.158,0.224,0.189
023_AAAM,CRGRO048,1,1,2023-05-16T00:00:00Z,12,285,64,0,32,12,1,8,0,213,0,0,0,0,0,0.038,0.111,0.114,0.112,0.092,0.076,0.082,0.135,0.159,0.223,0.189
023_AAAM,CRGRO048,1,1,2023-05-17T00:00:00Z,13,315,94,1,32,43,1,8,0,213,0,0,0,1.03,0,0.252,0.186,0.163,0.143,0.107,0.076,0.083,0.135,0.159,0.223,0.189
