EXPERIMENT,RUN,year,soil,AFCON
016_AAAA,1,2016,Dothan Soil,42.08
016_AAAA,2,2016,Dothan Soil,0.45
016_AAAA,3,2016,Dothan Soil,0
016_AAAA,4,2016,Dothan Soil,0
016_AAAA,5,2016,Dothan Soil,0.85
016_AAAA,6,2016,Dothan Soil,0
016_AAAA,7,2016,Dothan Soil,0
016_AAAA,8,2016,Dothan Soil,2.86
016_AAAA,9,2016,Dothan Soil,0
016_AAAA,10,2016,Dothan Soil,0
016_AAAA,11,2016,Dothan Soil,0
016_AAAA,12,2016,Dothan Soil,0.27
016_AAAA,13,2016,Dothan Soil,0
016_AAAA,14,2016,Dothan Soil,0
016_AAAA,15,2016,Dothan Soil,1.06
016_AAAA,16,2016,Dothan Soil,0
016_AAAA,17,2016,Dothan Soil,0
016_AAAA,18,2016,Dothan Soil,2.04
016_AAAA,19,2016,Dothan Soil,0.01
016_AAAA,20,2016,Dothan Soil,0
016_AAAA,21,2016,Dothan Soil,0
016_AAAA,22,2016,Dothan Soil,0.24
016_AAAA,23,2016,Dothan Soil,0
016_AAAA,24,2016,Dothan Soil,0
016_AAAA,25,2016,Dothan Soil,0.8
016_AAAA,26,2016,Dothan Soil,0
016_AAAA,27,2016,Dothan Soil,0
016_AAAA,28,2016,Dothan Soil,1.37
016_AAAA,29,2016,Dothan Soil,0
016_AAAA,30,2016,Dothan Soil,0
016_AAAA,31,2016,Dothan Soil,0.46
016_AAAA,32,2016,Dothan Soil,0.04
016_AAAA,33,2016,Dothan Soil,0
016_AAAA,34,2016,Dothan Soil,0
016_AAAA,35,2016,Dothan Soil,0.02
016_AAAA,36,2016,Dothan Soil,0
016_AAAA,37,2016,Dothan Soil,0
016_AAAA,38,2016,Dothan Soil,0.04
016_AAAA,39,2016,Dothan Soil,0
016_AAAA,40,2016,Dothan Soil,0
016_AAAC,1,2016,Dothan Soil,71.22
016_AAAC,2,2016,Dothan Soil,0.51
016_AAAC,3,2016,Dothan Soil,0
016_AAAC,4,2016,Dothan Soil,0
016_AAAC,5,2016,Dothan Soil,1.74
016_AAAC,6,2016,Dothan Soil,0
016_AAAC,7,2016,Dothan Soil,0
016_AAAC,8,2016,Dothan Soil,4.72
016_AAAC,9,2016,Dothan Soil,0
016_AAAC,10,2016,Dothan Soil,0
016_AAAC,11,2016,Dothan Soil,0
016_AAAC,12,2016,Dothan Soil,0.56
016_AAAC,13,2016,Dothan Soil,0
016_AAAC,14,2016,Dothan Soil,0
016_AAAC,15,2016,Dothan Soil,2.13
016_AAAC,16,2016,Dothan Soil,0.01
016_AAAC,17,2016,Dothan Soil,0
016_AAAC,18,2016,Dothan Soil,3.31
016_AAAC,19,2016,Dothan Soil,0.02
016_AAAC,20,2016,Dothan Soil,0
016_AAAC,21,2016,Dothan Soil,0
016_AAAC,22,2016,Dothan Soil,0.36
016_AAAC,23,2016,Dothan Soil,0
016_AAAC,24,2016,Dothan Soil,0
016_AAAC,25,2016,Dothan Soil,1.01
016_AAAC,26,2016,Dothan Soil,0
016_AAAC,27,2016,Dothan Soil,0
016_AAAC,28,2016,Dothan Soil,3.08
016_AAAC,29,2016,Dothan Soil,0.01
016_AAAC,30,2016,Dothan Soil,0
016_AAAC,31,2016,Dothan Soil,2.26
016_AAAC,32,2016,Dothan Soil,0.07
016_AAAC,33,2016,Dothan Soil,0
016_AAAC,34,2016,Dothan Soil,0
016_AAAC,35,2016,Dothan Soil,0.05
016_AAAC,36,2016,Dothan Soil,0
016_AAAC,37,2016,Dothan Soil,0
016_AAAC,38,2016,Dothan Soil,0.09
016_AAAC,39,2016,Dothan Soil,0
016_AAAC,40,2016,Dothan Soil,0
016_AAAF,1,2016,Dothan Soil,232.67
016_AAAF,2,2016,Dothan Soil,0.53
016_AAAF,3,2016,Dothan Soil,0
016_AAAF,4,2016,Dothan Soil,0
016_AAAF,5,2016,Dothan Soil,2.35
016_AAAF,6,2016,Dothan Soil,0.01
016_AAAF,7,2016,Dothan Soil,0
016_AAAF,8,2016,Dothan Soil,4.04
016_AAAF,9,2016,Dothan Soil,0
016_AAAF,10,2016,Dothan Soil,0
016_AAAF,11,2016,Dothan Soil,0
016_AAAF,12,2016,Dothan Soil,0.31
016_AAAF,13,2016,Dothan Soil,0
016_AAAF,14,2016,Dothan Soil,0
016_AAAF,15,2016,Dothan Soil,1.13
016_AAAF,16,2016,Dothan Soil,0
016_AAAF,17,2016,Dothan Soil,0
016_AAAF,18,2016,Dothan Soil,3.13
016_AAAF,19,2016,Dothan Soil,0.01
016_AAAF,20,2016,Dothan Soil,0
016_AAAF,21,2016,Dothan Soil,0
016_AAAF,22,2016,Dothan Soil,0.15
016_AAAF,23,2016,Dothan Soil,0
016_AAAF,24,2016,Dothan Soil,0
016_AAAF,25,2016,Dothan Soil,1.94
016_AAAF,26,2016,Dothan Soil,0
016_AAAF,27,2016,Dothan Soil,0
016_AAAF,28,2016,Dothan Soil,3
016_AAAF,29,2016,Dothan Soil,0.01
016_AAAF,30,2016,Dothan Soil,0
016_AAAF,31,2016,Dothan Soil,12.25
016_AAAF,32,2016,Dothan Soil,0.27
016_AAAF,33,2016,Dothan Soil,0
016_AAAF,34,2016,Dothan Soil,0
016_AAAF,35,2016,Dothan Soil,0.12
016_AAAF,36,2016,Dothan Soil,0
016_AAAF,37,2016,Dothan Soil,0
016_AAAF,38,2016,Dothan Soil,0.39
016_AAAF,39,2016,Dothan Soil,0
016_AAAF,40,2016,Dothan Soil,0
016_AAAI,1,2016,Dothan Soil,28.04
016_AAAI,2,2016,Dothan Soil,0.66
016_AAAI,3,2016,Dothan Soil,0
016_AAAI,4,2016,Dothan Soil,0
016_AAAI,5,2016,Dothan Soil,0.99
016_AAAI,6,2016,Dothan Soil,0
016_AAAI,7,2016,Dothan Soil,0
016_AAAI,8,2016,Dothan Soil,13.17
016_AAAI,9,2016,Dothan Soil,0
016_AAAI,10,2016,Dothan Soil,0
016_AAAI,11,2016,Dothan Soil,0
016_AAAI,12,2016,Dothan Soil,0.69
016_AAAI,13,2016,Dothan Soil,0
016_AAAI,14,2016,Dothan Soil,0
016_AAAI,15,2016,Dothan Soil,1.92
016_AAAI,16,2016,Dothan Soil,0
016_AAAI,17,2016,Dothan Soil,0
016_AAAI,18,2016,Dothan Soil,14.58
016_AAAI,19,2016,Dothan Soil,0
016_AAAI,20,2016,Dothan Soil,0
016_AAAI,21,2016,Dothan Soil,0
016_AAAI,22,2016,Dothan Soil,0.49
016_AAAI,23,2016,Dothan Soil,0
016_AAAI,24,2016,Dothan Soil,0
016_AAAI,25,2016,Dothan Soil,1.96
016_AAAI,26,2016,Dothan Soil,0
016_AAAI,27,2016,Dothan Soil,0
016_AAAI,28,2016,Dothan Soil,13.81
016_AAAI,29,2016,Dothan Soil,0
016_AAAI,30,2016,Dothan Soil,0
016_AAAI,31,2016,Dothan Soil,12.63
016_AAAI,32,2016,Dothan Soil,0.13
016_AAAI,33,2016,Dothan Soil,0
016_AAAI,34,2016,Dothan Soil,0
016_AAAI,35,2016,Dothan Soil,0.99
016_AAAI,36,2016,Dothan Soil,0
016_AAAI,37,2016,Dothan Soil,0
016_AAAI,38,2016,Dothan Soil,5.37
016_AAAI,39,2016,Dothan Soil,0
016_AAAI,40,2016,Dothan Soil,0
016_AAAK,1,2016,Dothan Soil,0.97
016_AAAK,2,2016,Dothan Soil,0.13
016_AAAK,3,2016,Dothan Soil,0
016_AAAK,4,2016,Dothan Soil,0
016_AAAK,5,2016,Dothan Soil,0.06
016_AAAK,6,2016,Dothan Soil,0
016_AAAK,7,2016,Dothan Soil,0
016_AAAK,8,2016,Dothan Soil,0.18
016_AAAK,9,2016,Dothan Soil,0
016_AAAK,10,2016,Dothan Soil,0
016_AAAK,11,2016,Dothan Soil,0
016_AAAK,12,2016,Dothan Soil,0
016_AAAK,13,2016,Dothan Soil,0
016_AAAK,14,2016,Dothan Soil,0
016_AAAK,15,2016,Dothan Soil,0.08
016_AAAK,16,2016,Dothan Soil,0
016_AAAK,17,2016,Dothan Soil,0
016_AAAK,18,2016,Dothan Soil,0.14
016_AAAK,19,2016,Dothan Soil,0
016_AAAK,20,2016,Dothan Soil,0
016_AAAK,21,2016,Dothan Soil,0
016_AAAK,22,2016,Dothan Soil,0.01
016_AAAK,23,2016,Dothan Soil,0
016_AAAK,24,2016,Dothan Soil,0
016_AAAK,25,2016,Dothan Soil,0.03
016_AAAK,26,2016,Dothan Soil,0
016_AAAK,27,2016,Dothan Soil,0
016_AAAK,28,2016,Dothan Soil,0.15
016_AAAK,29,2016,Dothan Soil,0
016_AAAK,30,2016,Dothan Soil,0
016_AAAK,31,2016,Dothan Soil,0.12
016_AAAK,32,2016,Dothan Soil,0
016_AAAK,33,2016,Dothan Soil,0
016_AAAK,34,2016,Dothan Soil,0
016_AAAK,35,2016,Dothan Soil,0.02
016_AAAK,36,2016,Dothan Soil,0
016_AAAK,37,2016,Dothan Soil,0
016_AAAK,38,2016,Dothan Soil,0.1
016_AAAK,39,2016,Dothan Soil,0
016_AAAK,40,2016,Dothan Soil,0
016_AAAL,1,2016,Dothan Soil,45.42
016_AAAL,2,2016,Dothan Soil,0.11
016_AAAL,3,2016,Dothan Soil,0
016_AAAL,4,2016,Dothan Soil,0
016_AAAL,5,2016,Dothan Soil,0.56
016_AAAL,6,2016,Dothan Soil,0
016_AAAL,7,2016,Dothan Soil,0
016_AAAL,8,2016,Dothan Soil,2.75
016_AAAL,9,2016,Dothan Soil,0.05
016_AAAL,10,2016,Dothan Soil,0
016_AAAL,11,2016,Dothan Soil,0
016_AAAL,12,2016,Dothan Soil,0.44
016_AAAL,13,2016,Dothan Soil,0
016_AAAL,14,2016,Dothan Soil,0
016_AAAL,15,2016,Dothan Soil,1.55
016_AAAL,16,2016,Dothan Soil,0
016_AAAL,17,2016,Dothan Soil,0
016_AAAL,18,2016,Dothan Soil,3.36
016_AAAL,19,2016,Dothan Soil,0.01
016_AAAL,20,2016,Dothan Soil,0
016_AAAL,21,2016,Dothan Soil,0
016_AAAL,22,2016,Dothan Soil,0.32
016_AAAL,23,2016,Dothan Soil,0
016_AAAL,24,2016,Dothan Soil,0
016_AAAL,25,2016,Dothan Soil,1.24
016_AAAL,26,2016,Dothan Soil,0
016_AAAL,27,2016,Dothan Soil,0
016_AAAL,28,2016,Dothan Soil,2.86
016_AAAL,29,2016,Dothan Soil,0.01
016_AAAL,30,2016,Dothan Soil,0
016_AAAL,31,2016,Dothan Soil,4.71
016_AAAL,32,2016,Dothan Soil,0.03
016_AAAL,33,2016,Dothan Soil,0
016_AAAL,34,2016,Dothan Soil,0
016_AAAL,35,2016,Dothan Soil,0.15
016_AAAL,36,2016,Dothan Soil,0
016_AAAL,37,2016,Dothan Soil,0
016_AAAL,38,2016,Dothan Soil,0.2
016_AAAL,39,2016,Dothan Soil,0
016_AAAL,40,2016,Dothan Soil,0
016_AAAM,1,2016,Dothan Soil,39.51
016_AAAM,2,2016,Dothan Soil,0.67
016_AAAM,3,2016,Dothan Soil,0
016_AAAM,4,2016,Dothan Soil,0
016_AAAM,5,2016,Dothan Soil,1.43
016_AAAM,6,2016,Dothan Soil,0
016_AAAM,7,2016,Dothan Soil,0
016_AAAM,8,2016,Dothan Soil,1.11
016_AAAM,9,2016,Dothan Soil,0
016_AAAM,10,2016,Dothan Soil,0
016_AAAM,11,2016,Dothan Soil,0
016_AAAM,12,2016,Dothan Soil,0.29
016_AAAM,13,2016,Dothan Soil,0
016_AAAM,14,2016,Dothan Soil,0
016_AAAM,15,2016,Dothan Soil,0.49
016_AAAM,16,2016,Dothan Soil,0
016_AAAM,17,2016,Dothan Soil,0
016_AAAM,18,2016,Dothan Soil,0.55
016_AAAM,19,2016,Dothan Soil,0.01
016_AAAM,20,2016,Dothan Soil,0
016_AAAM,21,2016,Dothan Soil,0
016_AAAM,22,2016,Dothan Soil,0.26
016_AAAM,23,2016,Dothan Soil,0
016_AAAM,24,2016,Dothan Soil,0
016_AAAM,25,2016,Dothan Soil,1.03
016_AAAM,26,2016,Dothan Soil,0
016_AAAM,27,2016,Dothan Soil,0
016_AAAM,28,2016,Dothan Soil,0.89
016_AAAM,29,2016,Dothan Soil,0
016_AAAM,30,2016,Dothan Soil,0
016_AAAM,31,2016,Dothan Soil,31.45
016_AAAM,32,2016,Dothan Soil,0.12
016_AAAM,33,2016,Dothan Soil,0
016_AAAM,34,2016,Dothan Soil,0
016_AAAM,35,2016,Dothan Soil,0.2
016_AAAM,36,2016,Dothan Soil,0
016_AAAM,37,2016,Dothan Soil,0
016_AAAM,38,2016,Dothan Soil,0.71
016_AAAM,39,2016,Dothan Soil,0.01
016_AAAM,40,2016,Dothan Soil,0
016_AAAR,1,2016,Dothan Soil,139.85
016_AAAR,2,2016,Dothan Soil,1.04
016_AAAR,3,2016,Dothan Soil,0
016_AAAR,4,2016,Dothan Soil,0
016_AAAR,5,2016,Dothan Soil,1.73
016_AAAR,6,2016,Dothan Soil,0.01
016_AAAR,7,2016,Dothan Soil,0
016_AAAR,8,2016,Dothan Soil,3.62
016_AAAR,9,2016,Dothan Soil,0.05
016_AAAR,10,2016,Dothan Soil,0
016_AAAR,11,2016,Dothan Soil,0
016_AAAR,12,2016,Dothan Soil,0.88
016_AAAR,13,2016,Dothan Soil,0
016_AAAR,14,2016,Dothan Soil,0
016_AAAR,15,2016,Dothan Soil,4.56
016_AAAR,16,2016,Dothan Soil,0.03
016_AAAR,17,2016,Dothan Soil,0
016_AAAR,18,2016,Dothan Soil,4.14
016_AAAR,19,2016,Dothan Soil,0
016_AAAR,20,2016,Dothan Soil,0
016_AAAR,21,2016,Dothan Soil,0
016_AAAR,22,2016,Dothan Soil,1.72
016_AAAR,23,2016,Dothan Soil,0
016_AAAR,24,2016,Dothan Soil,0
016_AAAR,25,2016,Dothan Soil,2.99
016_AAAR,26,2016,Dothan Soil,0.01
016_AAAR,27,2016,Dothan Soil,0
016_AAAR,28,2016,Dothan Soil,6.24
016_AAAR,29,2016,Dothan Soil,0.01
016_AAAR,30,2016,Dothan Soil,0
016_AAAR,31,2016,Dothan Soil,74.77
016_AAAR,32,2016,Dothan Soil,0.53
016_AAAR,33,2016,Dothan Soil,0
016_AAAR,34,2016,Dothan Soil,0
016_AAAR,35,2016,Dothan Soil,1.66
016_AAAR,36,2016,Dothan Soil,0
016_AAAR,37,2016,Dothan Soil,0
016_AAAR,38,2016,Dothan Soil,2.97
016_AAAR,39,2016,Dothan Soil,0
016_AAAR,40,2016,Dothan Soil,0
016_AAAT,1,2016,Dothan Soil,100.76
016_AAAT,2,2016,Dothan Soil,0.85
016_AAAT,3,2016,Dothan Soil,0
016_AAAT,4,2016,Dothan Soil,0
016_AAAT,5,2016,Dothan Soil,3.58
016_AAAT,6,2016,Dothan Soil,0
016_AAAT,7,2016,Dothan Soil,0
016_AAAT,8,2016,Dothan Soil,4.62
016_AAAT,9,2016,Dothan Soil,0.02
016_AAAT,10,2016,Dothan Soil,0
016_AAAT,11,2016,Dothan Soil,0
016_AAAT,12,2016,Dothan Soil,0.56
016_AAAT,13,2016,Dothan Soil,0
016_AAAT,14,2016,Dothan Soil,0
016_AAAT,15,2016,Dothan Soil,4.67
016_AAAT,16,2016,Dothan Soil,0.01
016_AAAT,17,2016,Dothan Soil,0
016_AAAT,18,2016,Dothan Soil,4.1
016_AAAT,19,2016,Dothan Soil,0.03
016_AAAT,20,2016,Dothan Soil,0
016_AAAT,21,2016,Dothan Soil,0
016_AAAT,22,2016,Dothan Soil,0.29
016_AAAT,23,2016,Dothan Soil,0
016_AAAT,24,2016,Dothan Soil,0
016_AAAT,25,2016,Dothan Soil,4.53
016_AAAT,26,2016,Dothan Soil,0
016_AAAT,27,2016,Dothan Soil,0
016_AAAT,28,2016,Dothan Soil,4.39
016_AAAT,29,2016,Dothan Soil,0.03
016_AAAT,30,2016,Dothan Soil,0
016_AAAT,31,2016,Dothan Soil,45.28
016_AAAT,32,2016,Dothan Soil,0.36
016_AAAT,33,2016,Dothan Soil,0
016_AAAT,34,2016,Dothan Soil,0
016_AAAT,35,2016,Dothan Soil,2.89
016_AAAT,36,2016,Dothan Soil,0
016_AAAT,37,2016,Dothan Soil,0
016_AAAT,38,2016,Dothan Soil,2.72
016_AAAT,39,2016,Dothan Soil,0.02
016_AAAT,40,2016,Dothan Soil,0
016_AAAV,1,2016,Dothan Soil,49.82
016_AAAV,2,2016,Dothan Soil,0.23
016_AAAV,3,2016,Dothan Soil,0
016_AAAV,4,2016,Dothan Soil,0
016_AAAV,5,2016,Dothan Soil,1.22
016_AAAV,6,2016,Dothan Soil,0
016_AAAV,7,2016,Dothan Soil,0
016_AAAV,8,2016,Dothan Soil,5.35
016_AAAV,9,2016,Dothan Soil,0.01
